"New Shipment for Order #%1","New Shipment for Order #%1"
"Submit Shipment","Submit Shipment"
"You are trying to add a quantity for some products that doesn\'t match the quantity that was shipped.","You are trying to add a quantity for some products that doesn\'t match the quantity that was shipped."
"Products should be added to package(s)","Products should be added to package(s)"
"The value that you entered is not valid.","The value that you entered is not valid."
"Add Tracking Number","Add Tracking Number"
"Custom Value","Custom Value"
Add,Add
"Send Tracking Information","Send Tracking Information"
"Are you sure you want to send a Shipment email to customer?","Are you sure you want to send a Shipment email to customer?"
Print,Print
"the shipment email was sent","the shipment email was sent"
"the shipment email is not sent","the shipment email is not sent"
"Shipment #%1 | %3 (%2)","Shipment #%1 | %3 (%2)"
"Create Shipping Label...","Create Shipping Label..."
"Print Shipping Label","Print Shipping Label"
"Show Packages","Show Packages"
"About Your Shipment","About Your Shipment"
"Order # %1","Order # %1"
"Back to My Orders","Back to My Orders"
"View Another Order","View Another Order"
"Please enter a comment.","Please enter a comment."
"Cannot add new comment.","Cannot add new comment."
"Please specify a carrier.","Please specify a carrier."
"Please enter a tracking number.","Please enter a tracking number."
Shipments,Shipments
"We can\'t initialize shipment for adding tracking number.","We can\'t initialize shipment for adding tracking number."
"Cannot add tracking number.","Cannot add tracking number."
"You created the shipping label.","You created the shipping label."
"An error occurred while creating shipping label.","An error occurred while creating shipping label."
"You sent the shipment.","You sent the shipment."
"Cannot send shipment information.","Cannot send shipment information."
"There are no shipping labels related to selected orders.","There are no shipping labels related to selected orders."
"New Shipment","New Shipment"
"We don\'t recognize or support the file extension in this shipment: %1.","We don\'t recognize or support the file extension in this shipment: %1."
"We can\'t initialize shipment for delete tracking number.","We can\'t initialize shipment for delete tracking number."
"We can\'t delete tracking number.","We can\'t delete tracking number."
"We can\'t load track with retrieving identifier right now.","We can\'t load track with retrieving identifier right now."
"We can\'t save the shipment right now.","We can\'t save the shipment right now."
"The shipment has been created.","The shipment has been created."
"Cannot save shipment.","Cannot save shipment."
"The order no longer exists.","The order no longer exists."
"Cannot do shipment for the order separately from invoice.","Cannot do shipment for the order separately from invoice."
"Cannot do shipment for the order.","Cannot do shipment for the order."
"There are no shipping labels related to selected shipments.","There are no shipping labels related to selected shipments."
"Page not found.","Page not found."
"Tracking Information","Tracking Information"
"Sorry, but we can\'t deliver to the destination country with this shipping module.","Sorry, but we can\'t deliver to the destination country with this shipping module."
"The shipping module is not available.","The shipping module is not available."
"This shipping method is not available. Please specify the zip code.","This shipping method is not available. Please specify the zip code."
"No packages for request","No packages for request"
"Security validation of XML document has been failed.","Security validation of XML document has been failed."
"All Allowed Countries","All Allowed Countries"
"Specific Countries","Specific Countries"
Development,Development
Live,Live
"Divide to equal weight (one request)","Divide to equal weight (one request)"
"Use origin weight (few requests)","Use origin weight (few requests)"
Packages,Packages
Package,Package
Type,Type
Length,Length
"Signature Confirmation","Signature Confirmation"
