"Action","アクション"
"Add Sitemap","サイトマップを追加"
"Always","常に"
"CMS Pages Options","CMSページオプション"
"Categories Options","カテゴリオプション"
"Daily","毎日"
"Edit Sitemap","サイトマップ編集"
"Enabled","有効"
"Error Email Recipient","エラーメール受信者"
"Error Email Sender","エラーメール送信者"
"Error Email Template","エラーメールテンプレート"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","ファイル ""%s"" は保存できません。ディレクトリ ""%s"" がウェブサーバより書き込み可能であることを確認してください。"
"Filename","ファイル名"
"Frequency","頻度"
"Generate","生成"
"Generation Settings","生成設定"
"Google Sitemap","Googleサイトマップ"
"Hourly","1時間ごと"
"ID","ID"
"Last Time Generated","最終生成時"
"Link for Google","Googleへリンク"
"Monthly","月ごと"
"Never","まだ"
"New Sitemap","新しいサイトマップ"
"Path","パス"
"Please create the specified folder ""%s"" before saving the sitemap.","サイトマップを保存する前に保存先フォルダ ""%s"" を指定してください。"
"Please define correct path","正しいパスを指定してください"
"Please make sure that ""%s"" is writable by web-server."," ""%s"" がウェブサーバより書き込み可能であることを確認してください。"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","ファイル名には、アルファベット(a-z or A-Z), 数字(0-9) またはアンダースコア(_) のみ使用してください。空白や他の文字は使用不可です。"
"Priority","優先度"
"Products Options","商品オプション"
"Sitemap","サイトマップ"
"Sitemap generate Warnings","サイトマップ生成警告"
"Start Time","開始時間"
"Store View","ストアビュー"
"The priority must be between 0 and 1.","優先順位は0から1の間で指定してください。"
"The sitemap ""%s"" has been generated.","サイトマップ""%s""を生成しました。"
"The sitemap has been deleted.","サイトマップは削除されました。"
"The sitemap has been saved.","サイトマップを保存しました。"
"This sitemap no longer exists.","サイトマップは存在していません。"
"Unable to find a sitemap to delete.","削除するサイトマップが見つかりません。"
"Unable to find a sitemap to generate.","生成するサイトマップが見つかりません。"
"Unable to generate the sitemap.","サイトマップを生成できません。"
"Valid values range: from 0.0 to 1.0.","正しい値の範囲は0.0から1.0までです。"
"Weekly","週ごと"
"Yearly","年ごと"
