"Current store is not active.","Current store is not active."
"Environment emulation nesting is not allowed.","Environment emulation nesting is not allowed."
"Only default scope allowed","Only default scope allowed"
"Invalid scope object","Invalid scope object"
"Store with the same code","Store with the same code"
"Website with the same code","Website with the same code"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_),' ' and the first character must be a letter.","Website code may only contain letters (a-z), numbers (0-9) or underscore (_),' ' and the first character must be a letter."
"Store Manager has been initialized not properly","Store Manager has been initialized not properly"
"Invalid website id/code requested.","Invalid website id/code requested."
"Invalid store group id requested.","Invalid store group id requested."
"Store Manager has not been initialized properly","Store Manager has not been initialized properly"
"Name is required","Name is required"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_),' ' and the first character must be a letter.","The store code may contain only letters (a-z), numbers (0-9) or underscore (_),' ' and the first character must be a letter."
"All Store Views","All Store Views"
"-- Please Select --","-- Please Select --"
Admin,Admin
"Your Language:","Your Language:"
"Your Language","Your Language"
Language,Language
"Select Store","Select Store"
Configuration,Configuration
"Various XML configurations that were collected across modules and merged.","Various XML configurations that were collected across modules and merged."
Layouts,Layouts
"Layout building instructions.","Layout building instructions."
"Blocks HTML output","Blocks HTML output"
"Page blocks HTML.","Page blocks HTML."
"View files fallback","View files fallback"
"Paths to view files (e.g., PHTML templates, images, CSS, JS files).","Paths to view files (e.g., PHTML templates, images, CSS, JS files)."
"View files pre-processing","View files pre-processing"
"Paths to pre-processed view files (e.g, CSS files with fixed paths or generated from LESS files).","Paths to pre-processed view files (e.g, CSS files with fixed paths or generated from LESS files)."
"Collections Data","Collections Data"
"Collection data files.","Collection data files."
"Database DDL operations","Database DDL operations"
"Results of DDL queries, such as describing tables or indexes.","Results of DDL queries, such as describing tables or indexes."
