None,None
Cancel,Cancel
Back,Back
Subtotal,Subtotal
"Excl. Tax","Excl. Vat"
Total,Total
"Incl. Tax","Incl. Vat"
Reset,Reset
"Unit Price","Unit Price"
Tax,Vat
Save,Save
Name,Name
Code,Code
"Sort Order","Sort Order"
"Save and Continue Edit","Save and Continue Edit"
"Are you sure you want to do this?","Are you sure you want to do this?"
"New Rule","New Rule"
Priority,Priority
"Edit Rule","Edit Rule"
Country,Country
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
Sales,Sales
CSV,CSV
"Excel XML","Excel XML"
Rate,Rate
"Shipping Incl. Tax (%1)","Shipping Incl. Vat (%1)"
"Shipping Excl. Tax (%1)","Shipping Excl. Vat (%1)"
"Grand Total Excl. Tax","Grand Total Excl. Vat"
"Grand Total Incl. Tax","Grand Total Incl. Vat"
"Subtotal (Excl. Tax)","Subtotal (Excl. Vat)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Vat)"
"Row Total","Row Total"
"Tax Rate Information","Vat Rate Information"
"Tax Identifier","Vat Identifier"
"Zip/Post is Range","Zip/Post is Range"
"Zip/Post Code","Zip/Post Code"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1."
"Range From","Range From"
"Range To","Range To"
State,State
"Rate Percent","Rate Percent"
"Tax Titles","Vat Titles"
"Add New Tax Rate","Add New Vat Rate"
"Delete Rate","Delete Rate"
"Save Rate","Save Rate"
"Manage Tax Rules","Manage Vat Rules"
"Add New Tax Rule","Add New Vat Rule"
"Save Rule","Save Rule"
"Delete Rule","Delete Rule"
"Tax Rule Information","Vat Rule Information"
"Customer Tax Class","Customer Vat Class"
"Product Tax Class","Product Vat Class"
"Tax Rate","Vat Rate"
"Tax rates at the same priority are added, others are compounded.","Vat rates at the same priority are added, others are compounded."
"Calculate Off Subtotal Only","Calculate Off Subtotal Only"
"Do you really want to delete this tax class?","Do you really want to delete this Vat class?"
"Add New Tax Class","Add New Vat Class"
