"-- Please Select --","-- 请选择 --"
"Add New Class",添加新类
"Add New Tax Class",添加新的税类
"Add New Tax Rate",添加新税率
"Add New Tax Rule",添加新税率规则
"After Discount",折扣后
"An error occurred while deleting this tax rate.",当删除税率时发生错误。
"Are you sure you want to do this?",您是否确认要这样做？
Back,返回
"Before Discount",折前
CSV,CSV
Code,代码
Country,国家
"Custom price if available",可用时的自定义价格
"Customer Tax Class",客户税务类型
"Delete Rate",删除费率
"Delete Rule",删除规则
"Do you really want to delete this tax class?",你确定要删除该税类吗？
"Do you really want to delete this tax rate?",你真的要删除该税率吗？
"Edit Rule",修改规则
"Edit Tax Rate",编辑税率
"Excel XML","Excel XML"
"Excl. Tax",不含税
"Excl. Tax:",不含税：
"Excluding Tax",不含税
"Export Tax Rates",导出税率
"Grand Total (Excl. Tax)",合计（不含税）
"Grand Total (Excl.Tax)",合计（不含税）
"Grand Total (Incl. Tax)",合计（含税）
"Grand Total (Incl.Tax)",合计（含税）
"Grand Total Excl. Tax",合计不含税
"Grand Total Incl. Tax",合计含税
"Import Tax Rates",导入税率
"Inc. Tax",含税
"Incl. Tax",含税
"Incl. Tax:",含税：
"Including Tax",含税
"Including and Excluding Tax",包含和不包含税
"Invalid file upload attempt",文件无效的上传企图
"Invalid name of tax class specified.",指定了无效的税名字。
"Invalid type of tax class specified.",指定了无效的税类型。
"Leave this field empty if you wish to use the tax identifier.",如果你希望使用这个税标识符请留空。
"Manage Tax Rates",管理税率
"Manage Tax Rules",管理税务规则
"Maximum zip code length is 9.",最大邮编长度为9。
Name,姓名
"New Rule",新规则
"New Tax Rate",新税率
"New Tax Rule",新的税规则
No,否
None,无
"Original price only",仅原价
"Please fill all required fields with valid information.",请正确填写所有必填字段。
Priority,优先级
"Product Tax Class",产品税务类型
"Range From",范围从
"Range To",范围到
"Range To should be equal or greater than Range From.",截止范围应该大于等于开始区间。
Rate,费率
"Rate Percent",税率百分率
"Rate Percent should be a positive number.",比率百分比应该是一个正数。
Reset,重置状态
"Row Total",总行数
Sales,销售
"Save Rate",保存税率
"Save Rule",保存规则
"Save and Continue Edit",保存并继续编辑
"Shipping & Handling (Excl.Tax)",运费和手续费（不含税）
"Shipping & Handling (Incl.Tax)",运费和手续费（含税）
"Shipping & Handling Tax",处理、运送及税金费用
"Shipping (Excl. Tax)",运费（不含税）
"Shipping (Incl. Tax)",运费（含税）
"Shipping Excl. Tax (%1)",运费不含税（%1）
"Shipping Incl. Tax (%1)",运费含税（%1）
"Something went wrong deleting this rate because of an incorrect rate ID.",由于税率ID不正确，当删除它时发生错误。
"Something went wrong deleting this rate.",当删除税率时发生错误。
"Something went wrong deleting this tax class.",当删除税类时发生错误。
"Something went wrong deleting this tax rule.",当删除税规则时发生错误。
"Something went wrong saving this rate.",当存储税率时发生错误。
"Something went wrong saving this tax class because a class with the same name already exists.","由于已经存在同名的类， 当存储税类的时候发生错误。"
"Something went wrong saving this tax class.",当存储税类时发生错误。
"Something went wrong saving this tax rule.",当存储税规则时发生错误。
"Sort Order",排序顺序
State,州
"Subtotal (Excl. Tax)",小计（不含税）
"Subtotal (Excl.Tax)",小计（不含税）
"Subtotal (Incl. Tax)",小计（含税）
"Subtotal (Incl.Tax)",小计（含税）
Tax,传真
"Tax Identifier",税务识别符
"Tax Rate",税率
"Tax Rate Information",税率信息
"Tax Rule Information",税务规则信息
"Tax Rules",税务规则
"Tax Titles",税务标题
"Tax Zones and Rates",税区域和比率
"Tax rates at the same priority are added, others are compounded.",同一优先级的税率已被添加，其它的是集合的。
"The tax rate cannot be removed. It exists in a tax rule.",税率不能被移除，因为它正在被税规则使用。
"The tax rate has been deleted.",该税率已被删除。
"The tax rate has been imported.",该税率已被导入。
"The tax rate has been saved.",该税率已保存。
"The tax rule has been deleted.",该税务规则已被删除。
"The tax rule has been saved.",该税务规则已保存。
"This class no longer exists.",该类不在存在。
"This rule no longer exists",该规则不存在。
"This rule no longer exists.",该规则已不存在。
Total,总数
"Unit Price",单价
Yes,是
"You cannot delete this tax class because it is used for %1 %2(s).","您不能删除税类，因为它正在被%1 %2（s）使用。"
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.",由于该税类被用于税规则所以你不能删除它。必须首先删除这个规则。
"Zip code should not contain characters other than digits.",邮编必须为数字。
"Zip/Post Code",邮政编码
"Zip/Post is Range",邮编范围
"customer group",客户组
product,产品
