Code,Code
Country,Country
State,State
"Zip/Post Code","Zip/Post Code"
Rate,Rate
"Zip/Post is Range","Zip/Post is Range"
"Range From","Range From"
"Range To","Range To"
"Tax Zones and Rates","Tax Zones and Rates"
"Import and Export Tax Rates","Import and Export Tax Rates"
"The tax rate has been imported.","The tax rate has been imported."
"Invalid file upload attempt","Invalid file upload attempt"
"Invalid file upload attempt.","Invalid file upload attempt."
"Invalid file format.","Invalid file format."
"One of the countries has invalid code.","One of the countries has invalid code."
"Import Tax Rates","Import Tax Rates"
"Export Tax Rates","Export Tax Rates"
CSV,CSV
"Excel XML","Excel XML"
