Custom,Custom
Back,Back
ID,ID
SKU,SKU
No,No
Custom,Custom
Back,Back
ID,ID
SKU,SKU
No,No
Action,Action
Reset,Reset
Edit,Edit
"Two and more slashes together are not permitted in request path","Two and more slashes together are not permitted in request path"
"Anchor symbol (#) is not supported in request path","Anchor symbol (#) is not supported in request path"
"Request Path for Specified Store","Request Path for Specified Store"
"Temporary (302)","Temporary (302)"
"Permanent (301)","Permanent (301)"
"Edit URL Rewrite for a Category","Edit URL Rewrite for a Category"
"Add URL Rewrite for a Category","Add URL Rewrite for a Category"
"Category:","Category:"
"We can't set up a URL rewrite because the product you chose is not associated with a website.","We can't set up a URL rewrite because the product you chose is not associated with a website."
"We can't set up a URL rewrite because the category your chose is not associated with a website.","We can't set up a URL rewrite because the category your chose is not associated with a website."
"Edit URL Rewrite for a Product","Edit URL Rewrite for a Product"
"Add URL Rewrite for a Product","Add URL Rewrite for a Product"
"Product:","Product:"
"Skip Category Selection","Skip Category Selection"
"Name","Name"
"Status","Status"
"Edit URL Rewrite for CMS page","Edit URL Rewrite for CMS page"
"Add URL Rewrite for CMS page","Add URL Rewrite for CMS page"
"CMS page:","CMS page:"
"Chosen cms page does not associated with any website.","Chosen cms page does not associated with any website."
"Title","Title"
"URL Key","URL Key"
"Store View","Store View"
"Edit URL Rewrite","Edit URL Rewrite"
"Add New URL Rewrite","Add New URL Rewrite"
"Delete","Delete"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save","Save"
"Block Information","Block Information"
"URL Rewrite Information","URL Rewrite Information"
"Request Path","Request Path"
"Target Path","Target Path"
"Redirect","Redirect"
"Description","Description"
"Store","Store"
"URL Rewrite Management","URL Rewrite Management"
"Add URL Rewrite","Add URL Rewrite"
"For category","For category"
"For product","For product"
"For CMS page","For CMS page"
"Create URL Rewrite:","Create URL Rewrite:"
"URL Rewrites","URL Rewrites"
"[New/Edit] URL Rewrite","[New/Edit] URL Rewrite"
"The URL Rewrite has been saved.","The URL Rewrite has been saved."
"An error occurred while saving URL Rewrite.","An error occurred while saving URL Rewrite."
"The URL Rewrite has been deleted.","The URL Rewrite has been deleted."
"An error occurred while deleting URL Rewrite.","An error occurred while deleting URL Rewrite."
"Select Category","Select Category"
"Options","Options"
