Custom,Custom
No,No
System,System
"Two and more slashes together are not permitted in request path","Two and more slashes together are not permitted in request path"
"Anchor symbol (#) is not supported in request path","Anchor symbol (#) is not supported in request path"
"Two and more slashes together are not permitted in url rewrite suffix","Duas ou mais barras juntas não são permitidas em sufixo url reescrito"
"Anchor symbol (#) is not supported in url rewrite suffix","Símbolo âncora (#) não é suportado no sufixo url reescrito"
"ID Path for Specified Store","ID Path for Specified Store"
"Request Path for Specified Store","Request Path for Specified Store"
"Temporary (302)","Temporary (302)"
"Permanent (301)","Permanent (301)"
