Custom,Custom
No,No
System,System
"Two and more slashes together are not permitted in request path","Two and more slashes together are not permitted in request path"
"Anchor symbol (#) is not supported in request path","Anchor symbol (#) is not supported in request path"
"Two and more slashes together are not permitted in url rewrite suffix","两个或更多斜杠在 URL 重写后缀中不被允许"
"Anchor symbol (#) is not supported in url rewrite suffix","URL 重写后缀不支持固定标志 (#)"
"ID Path for Specified Store","ID Path for Specified Store"
"Request Path for Specified Store","Request Path for Specified Store"
"Temporary (302)","Temporary (302)"
"Permanent (301)","Permanent (301)"
