" was not delivered nor scanned","was niet geleverd nog gescand"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","Met ""Per bestelling"" hoeft er slechts eenmaal verzendkosten te worden betaald voor de complete bestelling. Met ""Per Pakket"" dient er voor ieder pakket verzendkosten te worden betaald."
"1 Day Freight","1 Dag Vracht"
"2 Day","2 Dagen"
"2 Day Freight","2 Dagen Vracht"
"2Day","Vandaag"
"2nd Day Air","Arriveert 2 werkdagen na verzenddatum"
"2nd Day Air AM","Arriveert 2 werkdagen na verzenddatum in de middag"
"2nd Day Air AM Letter","2de Dag Lucht AM Brief"
"2nd Day Air Letter","2de Dag Luchtpost"
"3 Day Freight","3 Dagen Vracht"
"3 Day Select","Levering aan het eind van de 3e werkdag"
"Access ID","Toegang ID"
"Access License Number","Toegang Licentie Nummer"
"Account ID","Account ID"
"Account Number","Account nummer"
"Additional Protection Configuration Value","Additionele Bescherming Configuratie Waarde"
"Additional Protection Enabled","Additionele Bescherming Ingesteld"
"Additional Protection Min Subtotal","Additionele Bescherming Min Subtotaal"
"Additional Protection Value","Additionele Bescherming Waarde"
"Additional Protection Value Rounding Method","Additionele Bescherming Waarde Afrond Methode"
"Adult","Volwassen"
"Adult Signature Required","Handtekening van een volwassene vereist."
"Allowed Methods","Toegestane Methoden"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Sta toe dat het totale bestelgewicht in kleinere stukken wordt opgedeeld als het %s %s overstijgt om voor een nauwkeurige berekening van de verzendkosten te zorgen."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Sta toe dat het totale bestelgewicht in kleinere stukken wordt opgedeeld als het de 70kg overstijgt om voor een nauwkeurige berekening van de verzendkosten te zorgen."
"Bound Printed Matter","Ingebonden Geprint Materiaal"
"Break bulk economy","Stukgoed economie"
"Break bulk express","Stukgoed expres"
"Business Service Center","Business Service Center"
"Calculate Handling Fee","Bereken Behandelingskosten"
"Canada Standard","Canada standaard"
"Cannot identify measure unit for %s","Kan meeteenheid voor %s niet vaststellen"
"Cannot identify weight unit for %s","Kan de weegeenheid voor %s niet vaststellen"
"Cannot retrieve shipping rates","Kan verzendkosten niet ophalen"
"Centimeters","Centimeters"
"Commercial","Reclame"
"Configuration","Configuratie"
"Container","Container"
"Content Type","Inhoudstype"
"Customer Packaging","Klant verpakking"
"Customer Supplied Package","Door klant geleverde verpakking"
"Customer services","Klantenservice"
"DHL","DHL"
"DHL (Deprecated)","DHL (Afgekeurd)"
"Debug","Debug"
"Default Package Height","Standaard pakkethoogte"
"Default Package Length","Standaard pakketlengte"
"Default Package Width","Standaard pakketbreedte"
"Delivered","Bezorgd"
"Delivery Confirmation","Afleveringsbevestiging"
"Depth","Diepte"
"Destination Type","Bestemmingstype"
"Destination facility code is empty","Voorzieningscode van de bestemming is leeg"
"Development","Ontwikkeling"
"Direct","Direct"
"Displayed Error Message","Geef Foutmelding Weer"
"Divide Order Weight","Verdeel Bestel Gewicht"
"Documents","Documenten"
"Domestic Shipment Days","Dagen voor binnenlandse verzending"
"Domestic economy select","Kies binnenlandse economie"
"Domestic express","Binnenlandse expres"
"Drop Box","Drop Box"
"Dropoff","Dropoff"
"Easy shop","Winkel gemakkelijk"
"Economy select","Kies economie"
"Empty response","Leeg antwoord"
"Enable Negotiated Rates","Onderhandelde tarieven aanzetten"
"Enabled for Checkout","Aangezet voor de afrekening"
"Enables/Disables SSL verification of Magento server by UPS.","Aanzetten/Uitzetten van SSL verificatie van de Magento server door UPS."
"Error #%s : %s","Fout #%s : %s"
"Error #%s : %s (%s)","Fout #%s : %s (%s)"
"Error #%s: %s","Fout #%s: %s"
"Europack","Europack"
"Europe First Priority","Europa Hoogste Prioriteit"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","Wisselkoers % s (basisvaluta) ->% s niet gevonden. DHL methode % s overgeslagen"
"Express","Expresse"
"Express 10:30","Express 10:30"
"Express 10:30 AM","Expresse 10:30"
"Express 12:00","Express 12:00"
"Express 9:00","Expres 9:00"
"Express Mail","Express Post"
"Express Saturday","Expresse Zaterdag"
"Express Saver","Express Bespaarder"
"Express easy","Expres easy"
"Express envelope","Expres envelop"
"Express worldwide","Expres wereldwijd"
"Failed to parse xml document: %s","Niet instaat om XML document: %s te ontleden"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"FedEx Box","FedEx Box"
"FedEx Envelope","FedEx Enveloppe"
"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx Buis"
"First Overnight","Levering eerstvolgende ochtend van een werkdag"
"First-Class","Eerste Klas"
"Flat","Plat"
"Flat-Rate Box","Plat Tarief Box"
"Flat-Rate Envelope","Plat Tarief Enveloppe"
"Free Method","Gratis Methode"
"Free Shipping with Minimum Order Amount","Gratis Verscheping met Minimale Bestel Grote"
"Freight","Vracht"
"Freight worldwide","Vrachtkosten wereldwijd"
