"All Websites","Tous les sites web"
"Apply Discounts To FPT","Appliquer les réductions aux taxes sur les produits fixes"
"Apply Tax To FPT","Appliquer les taxes sur les produits fixes"
"Display Prices In Emails","Afficher les prix dans les mails"
"Display Prices In Product Lists","Afficher les prix dans les listes de produits"
"Display Prices In Sales Modules","Afficher les prix dans les modules de vente"
"Display Prices On Product View Page","Afficher les prix sur la page de vue du produit"
"Enable FPT","Permettre les taxes sur les produits fixes"
"Excluding FPT","Exclure les taxes sur les produits fixes"
"Excluding FPT, FPT description, final price","Exclure les taxes sur les produits fixes, les descriptions, et le prix final"
"Fixed Product Tax","Taxe sur le produit fixe"
"Fixed Product Taxes","Taxes sur le produit fixe"
"Include FPT In Subtotal","Inclure la taxe sur les produits fixes dans le sous-total"
"Including FPT and FPT description","Inclure les taxes sur les produits fixes et leur description"
"Including FPT and FPT description [incl. FPT VAT]","Inclure les taxes sur les produits fixes et leur description (incluant la TVA)"
"Including FPT only","Inclure uniquement les taxes sur les produits fixes"
"Total","Total"
"Total Incl. Tax","Total incluant les taxes"
"Total incl. tax","Total dont taxes"
