All,Alle
Close,Schließen
Products,Produkte
Apply,Anwenden
"Design Theme","Design Theme"
"-- Please Select --","-- Bitte auswählen --"
"Sort Order",Sortierreihenfolge
"Save and Continue Edit","Speichern und Bearbeitung fortsetzen"
Type,Typ
Page,Seite
label,label
"Frontend Properties",Oberflächeneigenschaften
Categories,Kategorien
name,name
Continue,Fortsetzen
CMS,CMS
%1,%1
"Open Chooser","Chooser öffnen (Auswählfunktion öffnen)"
Settings,Einstellungen
Template,Vorlage
"Not Selected","Nicht ausgewählt"
"Widget Insertion",Widget-Einbindung
"Insert Widget","Widgt einfügen"
Choose...,Auswählen...
Widget,Widget
"Widget Type",Widget-Typ
"Manage Widget Instances","Widget-Instanzen verwalten"
"Add New Widget Instance","Neue Widget-Instanz hinzufügen"
"Widget ""%1""","Widget ""%1"""
"New Widget Instance","Neue Widget-Instanz"
"Custom Layouts","Custom Layouts"
"Page Layouts","Page Layouts"
"Please Select Container First","Please Select Container First"
"Design Package/Theme",Design-Paket/Theme
"Widget Instance Title",Widget-Instanz-Titel
"Assign to Store Views","Zu Shopansichten zuweisen"
"Sort Order of widget instances in the same container","Sort Order of widget instances in the same container"
"Layout Updates",Layout-Updates
"Anchor Categories",Grundkategorien
"Non-Anchor Categories","nicht grundlegende Kategorien"
"All Product Types","Alle Produkttypen"
"Generic Pages","Generische Seiten"
"All Pages","Alle Seiten"
"Specified Page","Bestimmte Seite"
"Add Layout Update","Layout-Update hinzufügen"
"Remove Layout Update","Layout-Update entfernen"
"Widget Options",Widget-Optionen
"Widget Instance",Widget-Instanz
"Please specify a Widget Type.","Please specify a Widget Type."
"Widgets","Widgets"
"Please specify a correct widget.","Please specify a correct widget."
"New Widget","New Widget"
"The widget instance has been saved.","Die Widget-Instanz wurde gespeichert."
"The widget instance has been deleted.","Die Widget-Instanz wurde gelöscht."
description,description
"We cannot create the widget instance because it is missing required information.","We cannot create the widget instance because it is missing required information."
Container,Container
"Specific %1","Specific %1"
"Widget ID",Widget-ID
