All,All
Close,Close
Products,Products
Apply,Apply
"Design Theme","Design Theme"
"-- Please Select --","-- Please Select --"
"Sort Order","Sort Order"
"Save and Continue Edit","Save and Continue Edit"
Type,Type
Page,Page
label,label
"Frontend Properties","Frontend Properties"
Categories,Categories
name,name
Continue,Continue
CMS,CMS
%1,%1
"Open Chooser","Open Chooser"
Settings,Settings
Template,Template
"Not Selected","Not Selected"
"Widget Insertion","Widget Insertion"
"Insert Widget","Insert Widget"
Choose...,Choose...
Widget,Widget
"Widget Type","Widget Type"
"Manage Widget Instances","Manage Widget Instances"
"Add New Widget Instance","Add New Widget Instance"
"Widget ""%1""","Widget ""%1"""
"New Widget Instance","New Widget Instance"
"Custom Layouts","Custom Layouts"
"Page Layouts","Page Layouts"
"Please Select Container First","Please Select Container First"
"Design Package/Theme","Design Package/Theme"
"Widget Instance Title","Widget Instance Title"
"Assign to Store Views","Assign to Store Views"
"Sort Order of widget instances in the same container","Sort Order of widget instances in the same container"
"Layout Updates","Layout Updates"
"Anchor Categories","Anchor Categories"
"Non-Anchor Categories","Non-Anchor Categories"
"All Product Types","All Product Types"
"Generic Pages","Generic Pages"
"All Pages","All Pages"
"Specified Page","Specified Page"
"Add Layout Update","Add Layout Update"
"Remove Layout Update","Remove Layout Update"
"Widget Options","Widget Options"
"Widget Instance","Widget Instance"
"Please specify a Widget Type.","Please specify a Widget Type."
"Widgets","Widgets"
"Please specify a correct widget.","Please specify a correct widget."
"New Widget","New Widget"
"The widget instance has been saved.","The widget instance has been saved."
"The widget instance has been deleted.","The widget instance has been deleted."
description,description
"We cannot create the widget instance because it is missing required information.","We cannot create the widget instance because it is missing required information."
Container,Container
"Specific %1","Specific %1"
"Widget ID","Widget ID"
