All,Tous
Close,Fermer
Products,Produits
Apply,Appliquer
"Design Theme","Design Theme"
"-- Please Select --","-- Veuillez sélectionner --"
"Sort Order","Trier les widgets"
"Save and Continue Edit","Sauvegarder et continuer l'édition"
Type,Type
Page,Page
label,label
"Frontend Properties","Propriétés de l'interface"
Categories,Catégories
name,name
Continue,Continuer
CMS,CMS
%1,%1
"Open Chooser","Ouvrir le sélecteur"
Settings,Options
Template,"Modèle visuel"
"Not Selected","Non sélectionné"
"Widget Insertion","Insertion de widgets "
"Insert Widget","Insérer un widget"
Choose...,Choisir
Widget,Widget
"Widget Type","Type de widget"
"Manage Widget Instances","Gérer les widgets lancés"
"Add New Widget Instance","Ajouter un nouveau widget"
"Widget ""%1""","Widget ""%1"""
"New Widget Instance","Nouveau widget"
"Custom Layouts","Custom Layouts"
"Page Layouts","Page Layouts"
"Please Select Container First","Please Select Container First"
"Design Package/Theme","Thème visuel"
"Widget Instance Title","Titre du widget"
"Assign to Store Views","Assigner aux vues de la boutique"
"Sort Order of widget instances in the same container","Sort Order of widget instances in the same container"
"Layout Updates","Mise à jour de la disposition"
"Anchor Categories","Catégories fixes"
"Non-Anchor Categories","Catégories non fixes"
"All Product Types","Tous les types de produits"
"Generic Pages","Pages génériques"
"All Pages","Toutes les pages"
"Specified Page","Page spécifiée"
"Add Layout Update","Ajouter une mise à jour"
"Remove Layout Update","Supprimer la mise à jour de la disposition"
"Widget Options","Options des widgets"
"Widget Instance",Widget
"Please specify a Widget Type.","Please specify a Widget Type."
"Widgets","Widgets"
"Please specify a correct widget.","Please specify a correct widget."
"New Widget","New Widget"
"The widget instance has been saved.","Ce widget a été sauvegardé."
"The widget instance has been deleted.","Ce widget a été supprimé."
description,description
"We cannot create the widget instance because it is missing required information.","We cannot create the widget instance because it is missing required information."
Container,Container
"Specific %1","Specific %1"
"Widget ID","Identifiant du widget"
