"%1 for ""%2"".","%1 为 ""%2""."
"%1 has been added to your wishlist. Click <a href=""%2"">here</a> to continue shopping.","%1已经被加入到你的收藏夹.单击<a href=""%2"">这里</a>继续购物."
"%1 has been moved to wishlist %2","%1 已被移动到收藏清单 %2"
"%1 has been updated in your wish list.",收藏清单里%1已经被更新.
"%1 product(s) have been added to shopping cart: %2.","%1个产品已经被添加到购物车: %2."
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s 已添加到您的收藏清单。单击<a href=""%2$s"">这里</a>来继续购物。"
"%1$s has been updated in your wishlist.","%1$s 已在您的收藏清单中更新。"
"%1's Wishlist","%1 的收藏清单"
"%d product(s) have been added to shopping cart: %1.","%d 个产品已添加到购物车：%1。"
"* Required Fields",*必要字段
"Add All to Cart",全部添加到购物车
"Add Date",添加日期
"Add Locale",已添加，来自
"Add to Cart",添加到购物车
"Add to Compare",添加并比较
"Add to Wishlist",添加到收藏
"An error occurred while adding item to wish list.",当添加条目到收藏清单时发生错误.
"An error occurred while adding item to wish list: %1",当添加条目%1到收藏清单时发生错误
"An error occurred while adding item to wishlist.",当添加项目到收藏清单时发生错误。
"An error occurred while adding item to wishlist: %1","当添加项目到收藏清单 %1 时发生错误"
"An error occurred while deleting the item from wish list.",当从收藏清单删除该条目是出错.
"An error occurred while deleting the item from wish list: %1",当从收藏清单中删除条目%1时发生错误
"An error occurred while deleting the item from wishlist.",当从收藏清单删除项目时发生错误。
"An error occurred while deleting the item from wishlist: %1","当从收藏清单 %1 删除项目时发生错误"
"An error occurred while updating wish list.",当更新收藏清单时发生错误.
"An error occurred while updating wishlist.",更新收藏清单时发生错误。
"Are you sure you want to remove this product from your wish list?",您确定要从收藏清单里移除该产品吗?
"Are you sure you want to remove this product from your wishlist?",您是否确认要从收藏清单中删除该产品？
"Are you sure you would like to remove this item from the wishlist?",您确认要从收藏清单中删除该项目？
Back,返回
"Can't delete item from wishlist",不能从收藏清单里删除条目
"Can't save description %1","不能存储描述 %1"
"Can't update wish list",不能更新收藏清单
