"* Required Fields","* Pflichtfelder"
"-- Select --","-- Auswählen --"
"Add New Option","Neue Option hinzufügen"
"Add Selection","Auswahl hinzufügen"
"As Low as","So niedrig wie"
"As low as","So niedrig wie"
"Bundle Items","Bundleartikel"
"Bundle Product","Bundleprodukt"
"Buy %1$s with %2$s discount each","Kaufen Sie %1$s mit je %2$s Rabatt"
"Catalog Product View (Bundle)","Katalog Produkt Ansicht (Bundle)"
"Checkbox","Checkbox"
"Choose a selection...","Wählen Sie eine Auswahl..."
"Close","Schließen"
"Default","Standard"
"Default Qty","Standardanzahl"
"Default Title","Standardtitel"
"Drop-down","Drop-down"
"Dynamic","Dynamisch"
"Excl. Tax","Steuer weglassen"
"Fixed","Fix"
"From","Von"
"From:","Von:"
"Gift Message","Geschenkmitteilung"
"Incl. Tax","Steuer inkludieren"
"Input Type","Eingabetyp"
"Is Required","Ist erforderlich"
"Message:","Nachricht:"
"Multiple Select","Mehrfache Auswahl"
"N/A","Nicht verfügbar"
"No options of this product are available.","Es sind keine Optionen dieses Produkts verfügbar."
"None","Keine"
"Percent","Prozent"
"Percent Discount","Prozent Rabatt"
"Please Select Products to Add","Bitte wählen Sie hinzuzufügende Produkte"
"Please enter search conditions to view products.","Bitte geben Sie Suchbedingungen ein, um Produkte zu sehen."
"Please select options for product.","Bitte wählen Sie Optionen für das Produkt."
"Please specify product option(s).","Bitte spezifizieren Sie Produktoption(en)."
"Position","Position"
"Price Range","Preisklasse"
"Price Type","Preistyp"
"Price as configured","Preis wie konfiguriert"
"Qty:","Anzahl:"
"Radio Buttons","Radiobutton"
"Required options are not selected.","Pflichtoptionen sind nicht ausgewählt."
"Selected required options are not available.","Ausgewählte Pflichtoptionen sind nicht verfügbar."
"Separately","Separat"
"Ship Bundle Items","Bundleartikel versenden"
"Shipment","Versand"
"Store View Title","Shopansicht Titel"
"There is no defined renderer for ""%s"" option type.","Es gibt keine bestimmten Angaben für den ""%s"" Option-Typ."
"This product is also part of bundle(s)","Dieses Produkt ist Teil eines Bundles."
"To","An"
"To:","An:"
"Together","Zusammen"
"Use Default Value","Standardwert verwenden"
"User Defined Qty","Benutzerdefinierte Anzahl"
