"3D Secure CAVV","CAVV Seguro 3D"
"3D Secure Card Validation","Validación segura 3D de tarjeta"
"3D Secure Cardholder Validation","Validación segura 3D del títular de la tarjeta"
"3D Secure Electronic Commerce Indicator","Indicador comercio electrónico seguro 3D"
"3D Secure Verification Result","Resultados de la verificación segura 3D"
"3D Secure XID","XID Seguro 3D"
"Card Issuer Liability","Responsabilidad del emisor de la tarjeta"
"Card Verification","Verificación de tarjeta"
"Enrolled","Inscrito"
"Enrolled but Authentication Unavailable","Inscrito pero autentificación no disponible"
"Failed","Ha fallado"
"MasterCard SecureCode","MasterCard Código Seguro"
"Merchant Liability","Responsabilidad del comerciante"
"Not Enrolled","No inscrito"
"Order cannot be placed.","El pedido no puede ser realizado."
"Payment information error. Please start over.","Error de información de pago. Por favor, comience de nuevo."
"Please continue with placing order.","Por favor continue con su pedido."
"Please verify the card with the issuer bank before placing the order.","Por favor verifique la tarjeta con el banco emisor antes de realizar el pedido."
"Please verify the card with the issuer bank:","Por favor verifique la tarjeta con el banco emisor:"
"Start/Reset Validation...","Comenzar/Resetear validación..."
"Successful","Exitoso"
"Successful attempt","Intento exitoso"
"The card has failed verification with the issuer bank.","La tarjeta ha fallado la verificación con el banco emisor."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Se ha enviado información errónea o el límite de tiempo ha expirado. Por favor, inténtelo de nuevo."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Se ha enviado información errónea o el límite de tiempo ha expirado. Por favor, inténtelo de nuevo."
"This card has failed validation and cannot be used.","Esta tarjeta ha fallado su validación y no puede ser usada."
"To ensure the security of your transactions","Para asegurar la seguridad de sus transacciones"
"Unable to complete","No se ha podido completar"
"Validation failed.","Validación errónea."
"Verification Failed","Verificación errónea"
"Verification Successful","Verificación exitosa"
"Verification cannot be processed","La verificación no puede ser procesada"
"Verified by Visa","Verificado por Visa"
