"%s was added to your shopping cart.","%s foi adicionado ao seu carrinho de compras."
"%s was updated in your shopping cart.","%s foi atualizado no seu carrinho de compras."
"* Required Fields","* Campos obrigatórios"
"Add New Address","Adicionar Novo Endereço"
"Add New Condition","Adicionar Nova Condição"
"Add coupon code for shopping cart","Adicionar o código de cupom para carrinho de compras"
"Add gift messages to shopping cart","Adicionar mensagens de presente a carrinho de compras"
"Add product to shopping cart","Adicionar produto ao carrinho de compras"
"Add product(s) to shopping cart","Adicionar produto(s) ao carrinho de compras"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para Comparar"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Additional Product Info","Informação Adicional do Produto"
"Address","Endereço"
"Address %s of %s","Endereço %s de %s"
"After Adding a Product Redirect to Shopping Cart","Após Adicionar um Produto Redirecionar para o Carrinho de Compras"
"Allow Guest Checkout","Permitir Caixa de Saída a Visitante"
"Already registered?","Já está registado?"
"An error occurred in the process of payment","Ocorreu um erro no processo de pagamento"
"An error occurred while deleting this condition.","Ocorreu um erro durante a exclusão desta condição."
"An error occurred while saving this condition.","Ocorreu um erro ao salvar esta condição."
"Apply Coupon","Aplicar Coupon"
"Are you sure you would like to remove this item from the shopping cart?","Tem certeza de que deseja remover este item do carrinho de compras?"
"Back","Voltar"
"Back to Billing Information","Voltar para Informações de Faturamento"
"Back to Select Addresses","Voltar para Selecionar Endereços"
"Back to Shipping Information","Voltar para Informações de Envio/Frete"
"Back to Shopping Cart","Voltar para Carrinho de Compras"
"Based on your selection, you may be interested in the following items:","Com base em sua seleção, você pode se interessar pelos seguintes itens:"
"Billing Address","Endereço de faturamento"
"Billing Information","Dados de Faturamento"
"Billing Information - %s","Dados de Faturamento - %s"
"Cancel Coupon","Cancelar Cupom"
"Cannot add item to the shopping cart.","Impossível adicionar item ao carrinho."
"Cannot add the item to shopping cart","Impossível adicionar o item ao carrinho"
"Cannot add the item to shopping cart.","Impossível adicionar item ao carrinho."
"Cannot apply the coupon code.","Impossível aplicar o código do cupom."
"Cannot configure product.","Impossível configurar produto."
"Cannot open the overview page","Impossível abrir a página de panorama"
"Cannot process the item.","Impossível processar o item."
"Cannot remove the item.","Impossível remover o item."
"Cannot update shopping cart.","Impossível atualizar carrinho de compras."
"Cannot update the item.","Impossível atualizar o item."
"Card Verification Number Visual Reference","Referência Visual de Número de Verificação do Cartão"
"Cart Product API","API para Produtos no Carrinho"
"Cart Subtotal:","Subtotal do Carrinho:"
"Change","Mudar"
"Change Billing Address","Alterar o endereço de faturamento"
"Checkbox Text","Texto para Caixa de Verificação"
"Checkout","Encerrar Compra"
"Checkout Conditions","Condições para Encerrar Compra"
"Checkout Method","Método para Encerrar Compra"
"Checkout Options","Opções para Encerrar Compra"
"Checkout Progress Wrapper","Código referente ao Progresso do Encerramento da Compra"
"Checkout Section","Seção do Encerramento de Compra"
"Checkout Terms and Conditions","Verificação dos Termos e Condições"
"Checkout as Guest","Checkout como Visitante"
"Checkout as a Guest or Register","Checkout como um Visitante ou se Registe"
"Checkout with Multiple Addresses","Encerrar Compra com Vários Endereços"
"City","Cidade"
"Clear Shopping Cart","Limpar Carrinho de Compras"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Clique <a href=""%s"">aqui para imprimir</a> uma cópia da confirmação de seu pedido."
"Click <a href=""%s"">here</a> to continue shopping.","Clique <a href=""%s"">aqui</a> para continuar as compras."
"Close","Fechar"
"Company","Companhia"
"Condition Name","Nome de Condição"
"Configurable Product Image","Imagem Configurável de Produto"
"Configure Cart Item","Configurar Item de Carrinho"
"Confirm Password","Confirmar a senha"
"Content","Conteúdo"
"Content Height","Altura do Conteúdo"
"Content Height (css)","Altura do Conteúdo (CSS)"
"Continue","Continue"
"Continue Shopping","Continuar Comprando"
"Continue to Billing Information","Continuar para Dados de Faturamento"
"Continue to Review Your Order","Continuar para Rever Seu Pedido"
"Continue to Shipping Information","Continuar para Informações de Envio/Frete"
"Country","País"
"Coupon code ""%s"" is not valid.","O código de cupom ""%s"" é inválido."
"Coupon code ""%s"" was applied.","O código de cupom ""%s"" foi aplicado."
"Coupon code was canceled.","O código de cupom ""%s"" foi cancelado."
"Create Billing Address","Criar Endereço para Faturamento"
"Create Shipping Address","Criar Endereço para Entrega"
"Create an order from shopping cart","Criar pedido a partir do carrinho"
"Create shopping cart","Criar carrinho de compras"
"Customer Address is not valid.","O endereço do cliente não é válido."
"Customer Information","Dados do Cliente"
"Customer's information","Dados do Cliente"
"Data saving problem","Problema ao salvar dados"
"Default Billing","Faturamento-Padrão"
"Default Shipping","Frete-Padrão"
"Delete Condition","Apagar Condição"
"Details","Detalhes"
"Disabled","Desativado"
"Discount Codes","Códigos de Desconto"
"Display Cart Summary","Exibir Resumo de Carrinho"
"Display Shopping Cart Sidebar","Exibir Barra Lateral do Carrinho"
"Display item quantities","Exibir quantidades do item"
"Display number of items in cart","Exibir número de itens no carrinho"
"Display number of items in wishlist","Exibir número de itens na lista de desejos"
"Easy access to your order history and status","Fácil acesso ao seu histórico de pedidos e estado"
"Edit","Editar"
"Edit Address","Editar endereço"
"Edit Billing Address","Editar Endereço de Faturamento"
"Edit Condition","Editar condição"
"Edit Items","Editar Itens"
"Edit Shipping Address","Editar Endereço de Entrega"
"Edit Terms and Conditions","Editar Termos e Condições"
"Edit Your Cart","Editar Seu Carrinho"
"Edit item","Editar Item"
"Edit item parameters","Editar parâmetros de item"
"Email Address","Endereço de e-mail"
"Enable Onepage Checkout","Habilitar Encerramento de Conta Onepage"
"Enable Terms and Conditions","Habilitar Termos e Condições"
"Enabled","Ativado"
"Enter a New Address","Informar Endereço Novo"
"Enter your coupon code if you have one.","Informe seu código de cupom, caso o tenha."
"Enter your destination to get a shipping estimate.","Informe seu destino, para cálculo estimado do frete."
"Estimate Shipping and Tax","Cálculo Estimado de Frete e Imposto"
"Excl. Tax","Excluir taxas"
"Fast and easy check out","Checkout rápido e fácil"
"Fax","Fax"
"Forgot an Item?","Esqueceu algum item?"
"Forgot your password?","Esqueceu sua senha?"
"Get a Quote","Receber Orçamento"
"Get list of available payment methods","Receber lista de métodos de pagamento disponíveis"
"Get list of available shipping methods","Receber lista de formas de envio disponíveis"
"Get list of products in shopping cart","Receber lista de produtos no carrinho"
"Get terms and conditions","Receber Termos e Condições"
"Get total prices for shopping cart","Totalizar preços no carrinho de compras"
"Gift Message","Mensagem de presente"
"Grand Total:","Total geral:"
"Grouped Product Image","Imagem de Produto Agrupado"
"HTML","HTML"
"ID","Identidade"
"Incl. Tax","Incluir taxas"
"Invalid checkout type.","Tipo de checkout inválido."
"Invalid data.","Dados inválidos."
"Invalid email address ""%s""","Endereço de e-mail inválido ""%s"""
"Invalid method: %s","Método inválido: %s"
"Invalid shipping method.","Método de envio inválido."
"Item not found or already ordered","Item não encontrado ou já encomendado"
"Items","Itens"
"Items After","Itens Após"
"Items Before","Itens Antes"
"Load customer quote error","Carregar erro de orçamento do cliente"
"Loading next step...","Carregando próximo passo..."
"Login","Conectar-se"
"Login/Registration Before","Login/Registro Antes"
"Manage Terms and Conditions","Gerenciar Termos e Condições"
"Maximum Display Recently Added Item(s)","Item(ns) Adicionado(s) Recentemente Mais Exibido(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Qtde. máxima permitida para entrega em vários endereços é %s"
"Minimum order amount is %s","A quantidade mínima de pedido é %s"
"Move","Mover"
"Move to Wishlist","Mover para lista de presentes"
"Multishipping Checkout","Encerramento de Compra com Várias Entregas"
"Multishipping Checkout Address (Any) Form","Encerrar Compra c/ Várias Entregas: Endereço (Qualquer um)"
"Multishipping Checkout Billing Address Creation","Encerrar Compra c/ Várias Entregas: Endereço de Faturamento"
"Multishipping Checkout Billing Address Edit Form","Encerrar Compra c/ Várias Entregas: Editar Endereço de Faturamento"
"Multishipping Checkout Billing Address Selection","Seleção de Endereço Multienvio de Faturamento de Saída"
"Multishipping Checkout Billing Information Step","Passo de Informação de Faturamento de Multienvio de Saída"
"Multishipping Checkout Customer Address Edit Form","Formulário de Edição do Endereço do Cliente de Multienvio de Saída"
"Multishipping Checkout Overview","Resumo de Caixa de Multienvio"
"Multishipping Checkout Shipping Address Creation","Criação do Endereço de Envio de Multienvio de Saída"
"Multishipping Checkout Shipping Address Edit Form","Formulário de Edição do Endereço de Envio de Multienvio de Saída"
"Multishipping Checkout Shipping Address Selection","Seleção do Endereço de Envio de Multienvio de Saída"
"Multishipping Checkout Shipping Information Step","Passo de Informação de Envio de Multienvio de Saída"
"Multishipping Checkout Success","Sucesso na Multisaída de Saída"
"My Cart","Meu Carrinho"
"My Cart (%s item)","Meu Carrinho (%s item)"
"My Cart (%s items)","Meu Carrinho (%s itens)"
"My Cart Link","Ligação do Meu Carrinho"
"New Address","Novo Endereço"
"New Condition","Nova Condição"
"New Terms and Conditions","Novos Termos e Condições"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","O TOTAL DO PEDIDO SERÁ EXIBIDO ANTES DE VOCÊ ENVIAR O PEDIDO"
"One Page Checkout","Saída de Uma Página"
"One Page Checkout Failure","Falha na Saída de Uma Página"
"One Page Checkout Overview","Resumo da Saída de Uma Página"
"One Page Checkout Success","Sucesso na Saída de Uma Página"
"One item of products do not have identifier or sku","Um item de produtos não têm identificador ou sku"
"One item of products is not belong any of quote item","Um item de produtos não pertence a qualquer item citado"
"Order #","Ordem #"
"Order Review","Revisão da Ordem"
"Order Success","Sucesso da Ordem"
"Order place error.","Erro de colocação da ordem."
"Other Items in Your Order","Outros itens em Sua Ordem"
"Overview Items After","Resumo Geral de Itens Depois"
"Password","Senha"
"Payment Failed Email Reciever","Recetor do Email de Pagamento Falhado"
"Payment Failed Email Sender","Remetente do Email de Pagamento Falhado"
"Payment Failed Emails","Emails de Pagamento Falhado"
"Payment Failed Template","Modelo de Pagamento Falhado"
"Payment Information","Informação de Pagamento"
"Payment Method","Método de Pagamento"
"Payment Methods After Checkout Button","Método de Pagamento Após Botão de Checkout"
"Payment Methods Before Checkout Button","Método de Pagamento Antes de Botão de Checkout"
"Payment method information","Informação de método de pagamento"
"Payment method is not defined","Método de pagamento não definido"
"Payment methods in shopping cart","Método de pagamento no carrinho de compras"
"Payment profile # %s: ""%s"".","Perfil de pagamento # %s: ""%s""."
"Place Order","Colocar Ordem"
"Please agree to all Terms and Conditions before placing the order.","Por favor concorde com todos os Termos e Condições antes de colocar a ordem."
"Please agree to all Terms and Conditions before placing the orders.","Por favor concorde com todos os Termos e Condições antes de colocar as ordens."
"Please agree to all the terms and conditions before placing the order.","Por favor concorde com todos os Termos e Condições antes de colocar a ordem."
"Please check billing address information.","Por favor cheque as informações do endereço de cobrança."
"Please check shipping address information.","Por favor cheque as informações do endereço de envio."
"Please check shipping addresses information.","Por favor cheque as informações dos endereços de envio."
"Please choose to register or to checkout as a guest","Por favor escolha registrar ou fazer checkout como um convidado"
"Please log in below:","Por favor, faça o login abaixo:"
"Please select region, state or province","Selecione a região, estado ou província"
"Please select shipping address for applicable items","Por favor selecione endereço de entrega para os itens aplicáveis"
"Please select shipping methods for all addresses","Por favor selecione os métodos de transporte para todos os endereços"
"Please select valid payment method.","Por favor selecione uma forma de pagamento válida."
"Please specify payment method.","Por favor especifique o método de pagamento."
"Please specify shipping method.","Por favor especifique o método de envio."
"Please specify shipping methods for all addresses.","Por favor especifique as formas de envio para todos os endereços."
"Price","Preço"
"Proceed to Checkout","Prosseguir para a verificação"
"Product","Produto"
"Product Name","Nome do produto"
"Products","Produtos"
"Qty","Quant."
"Qty:","Quantidade:"
"Quantity was recalculated from %d to %d","A quantidade foi recalculada de %d para %d"
"Quote Lifetime (days)","Duração de cotação (dias)"
"Quote item does not exist.","O item da cotação não existe."
"Quote item is not found.","O item da cotação não foi encontrado."
"Recently added item(s)","Item(ns) adicionado(s) recentemente"
"Register","Registrar"
"Register and save time!","Cadastre-se e poupe tempo!"
"Register to Create an Account","Cadastre-se para Criar uma Conta"
"Register with us for future convenience:","Faça um cadastro conosco para ter comodidade no futuro:"
"Remove Item","Remover Item"
"Remove This Item","Remover Este Item"
"Remove coupon code from shopping cart","Remover código do cupom do carrinho de compras"
"Remove item","Remover item"
"Remove product from shopping cart","Remover produto do carrinho de compras"
"Remove product(s) from shopping cart","Remover produto(s) do carrinho de compras"
"Require Customer To Be Logged In To Checkout","Requerer que o cliente esteja logado para fazer checkout"
"Retrieve information about shopping cart","Recuperar informações sobre o carrinho de compras"
"Review Order","Analisar o pedido"
"Review Order - %s","Analisar o pedido - %s"
"Sales","Vendas"
"Save Condition","Salvar Condição"
"Save in address book","Salvar no catálogo de endereços"
"See price before order confirmation.","Ver preço antes de confirmar pedido."
"Select Address","Selecionar Endereço"
"Select Addresses","Selecionar Endereços"
"Select Shipping Method","Selecionar Tipo de Frete"
"Select State/Province...","Selecione Estado/Província..."
"Select a billing address from your address book or enter a new address.","Selecione um endereço de cobrança de seu catálogo de endereços ou insira um novo endereço"
"Select a shipping address from your address book or enter a new address.","Selecione um endereço para envio do seu livro de endereços ou insira um novo endereço."
"Send Payment Failed Email Copy Method","Falha no Envio de Pagamento - Enviar Por Email"
"Send Payment Failed Email Copy To","Falha no Envio de Pagamento - Enviar Por Email para"
"Send To","Enviar Para"
"Separate by "","".","Separados por "",""."
"Set customer for shopping cart","Configurar cliente para carrinho de compras"
"Set customer's addresses in shopping cart","Configurar endereços de clientes para carrinho de compras"
"Set payment method","Configurar método de pagamento"
"Set shipping method","Configurar tipo de frete"
