"Add","Añadir"
"Add New Row","Agregar nueva fila"
"Add links and samples to downloadable product","Añadir enlaces y muestras al producto de descarga"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Se recomiendan los caracteres alfanuméricos, guión y guión bajo para los nombres de fichero. Los caracteres incorrectos se reemplazarán con '_'."
"An error occurred while getting requested content. Please contact the store owner.","Ocurrió un error mientras se recibía el contenido solicitado. Por favor, póngase en contacto con el propietario de la tienda."
"An error occurred while getting the requested content.","Ocurrió un error mientras se recibía el contenido solicitado."
"An error occurred while getting the requested content. Please contact the store owner.","Ocurrió un error mientras se recibía el contenido solicitado. Por favor, póngase en contacto con el propietario de la tienda."
"An error occurred while saving the file(s).","Ocurrió un error mientras se guardaba(n) el(los) fichero(s)."
"Availability:","Disponibilidad:"
"Back","Volver"
"Canceled","Cancelado"
"Cannot connect to remote host, error: %s.","No se puede conectar con el servidor remoto, error: %s."
"Catalog Product View (Downloadable)","Vista de los Productos en Catálogo (Descargable)"
"Category API","Categoría API"
"Customer My Account Downloadable Items","Cliente Mi Cuenta Artículos Descargables"
"Date","Fecha"
"Default Link Title","Título de Enlace por Defecto"
"Default Maximum Number of Downloads","Número Máximo de Descargas por Defecto"
"Default Sample Title","Título de Muestra por Defecto"
"Delete","Eliminar"
"Disable Guest Checkout if Cart Contains Downloadable Items","Inutilizar la Facturación del Cliente si el Carrito Contiene Artículos Descargables"
"Downloadable Information","Información Descargable"
"Downloadable Product","Producto Descargable"
"Downloadable Product Options","Opciones de Producto Descargable"
"Downloadable Product Section","Sección de producto de descarga"
"Edit","Editar"
"Edit item parameters","Editar parámetros del artículo"
"Excl. Tax","Impuestos no incluidos"
"File","Fichero"
"From:","Desde:"
"Gift Message","Mensaje de Regalo"
"Go to <a href=""%s"">My Downloadable Products</a>","Vaya a <a href=""%s"">Mis productos descargables</a>"
"Guest checkout will only work with shareable.","La facturación de cliente sólo funcionará si se puede compartir"
"In stock","En stock"
"Incl. Tax","Impuestos incluidos"
"Invalid download URL host.","Servidor de URL de descarga no válido."
"Invalid download URL scheme.","Esquema de URL de descarga no válido."
"Invalid download link type.","Tipo de enlace de descarga no válido."
"Invoiced","Facturado"
"Links can be purchased separately","Los enlaces pueden adquirirse por separado"
"List","Lista"
"Max. Downloads","Máximo de Descargas"
"Message:","Mensaje:"
"Move","Mover"
"My Downloadable Products","Mis Productos Descargables"
"Open Links in New Window","Abrir Enlaces en una Nueva Ventana"
"Order #","Número de pedido"
"Order Item Status to Enable Downloads","Pedir Situación del Artículo para Permitir las Descargas"
"Order id cannot be null","El ID del pedido no puede ser nulo"
"Order item id cannot be null","El ID del artículo del pedido no puede ser nulo"
"Ordered","Pedido"
"Out of stock","Agotado"
"Pending","Pendiente"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Por favor, acceda a su cuenta para descargar su producto o compra  <a href=""%s"">%s</a>."
"Please log in to download your product.","Por favor, entre en el sistema para descargar su producto."
"Please set resource file and link type.","Por favor, asigne el fichero de recurso y el tipo de enlace."
"Please specify product link(s).","Por favor, especifique el(los) enlace(s) de producto."
"Price","Precio"
"Product downloadable links","Enlaces de descarga de productos"
"Qty","Cantidad"
"Refunded","Reembolsado"
"Remaining Downloads","Descargas Pendientes"
"Remove","Borrar"
"Remove Item","Eliminar Artículo"
"Remove links and samples from downloadable product","Eliminar los enlaces y las muestras del producto de descarga"
"Requested link does not exist.","El enlace solicitado no existe."
"Retrieve links and samples list from downloadable product","Recupere la lista de enlaces y muestras del producto de descarga"
"Sample","muestra"
"See price before order confirmation.","Ver precio antes de la confirmación del pedido."
"Shareable","Se puede compartir"
"Shipped","Enviado"
"Sort Order","Ordenar Pedido"
"Start Download","Comenzar la Descarga"
"Status","Estado"
"The file does not exist.","El fichero no existe"
"The link has expired.","El enlace ha caducado."
"The link is not available.","En enlace no está disponible."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Hay archivos que se han seleccionado pero aún no se han subido. Por favor, súbalos o elimínelos primero"
"Title","Título"
"To:","A:"
"U","U"
"Unlimited","Ilimitado"
"Use Content-Disposition","Utilizar Contenido-Disposición"
"Use Default Value","Usar Valor por Defecto"
"View Order","Ver Pedido"
"What's this?","¿Qué es esto?"
"You have not purchased any downloadable products yet.","Todavía no ha adquirido ningún producto descargable."
"attachment","documento adjunto"
"download","descarga"
"inline","en línea"
"sample","muestra"
