"""%s"" contains not only digit characters.","""%s"" bevat niet alleen numerieke tekens."
"""%s"" does not fit the entered date format.","""%s"" past niet in het ingevoegde datum format."
"""%s"" exceeds the allowed file size.","""%s"" overschrijdt de toegestane bestandsgrootte."
"""%s"" exceeds the allowed length.","""%s"" overschrijdt de toegestane lengte"
"""%s"" has not only alphabetic and digit characters.","""%s"" bevat niet alleen alfabetische en numerieke tekens."
"""%s"" has not only alphabetic characters.","""%s"" bevat niet alleen alfabetische tekens."
"""%s"" height exceeds allowed value of %s px.","""%s"" hoogte overschrijd de toegestane waarde van %s px."
"""%s"" invalid type entered.","""%s"" ongeldige type ingevoerd."
"""%s"" is a required value.","""%s"" is een vereiste waarde."
"""%s"" is an empty string.","""%s"" is een lege string."
"""%s"" is not a valid URL.","""%s"" is een ongeldige URL."
"""%s"" is not a valid date.","""%s"" is een ongeldige datum."
"""%s"" is not a valid email address.","""%s"" is een ongeldig e-mail adres."
"""%s"" is not a valid file","""%s"" is een ongeldig bestand."
"""%s"" is not a valid file extension.","""%s"" is een ongeldige bestandsextensie."
"""%s"" is not a valid file.","""%s"" is een ongeldig bestand."
"""%s"" is not a valid hostname.","""%s"" is een ongeldige bestandsnaam."
"""%s"" is not a valid image format","""%s"" is een ongeldige afbeeldings indeling"
"""%s"" length must be equal or greater than %s characters.","""%s"" lengte moet groter zijn dan of gelijk zijn aan %s karakters."
"""%s"" length must be equal or less than %s characters.","""%s"" lengte moet kleiner zijn dan of gelijk zijn aan %s karakter."
"""%s"" width exceeds allowed value of %s px.","""%s"" breedte overschrijd de toegestane waarde van %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' lijkt een DNS hostnaam te zijn maar kan geen TLD deel eruit halen."
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' lijkt een DNS hostnaam te zijn maar komt niet overeen met de TLD in de eigen bekende lijst."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' lijkt een DNS hostnaam te zijn maar kan niet overeenkomen met de hostnaam voor het TLD schema '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' lijkt een DNS hostnaam te zijn maar bevat een liggende streep op een ongeldige positie"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' lijkt een DNS hostnaam te zijn maar de gegeven punycode kan niet worden gedecodeerd"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' lijkt een lokale netwerk naam te zijn maar, lokale netwerk namen zijn niet toegestaan"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' lijkt een IP adres te zijn, maar IP adressen zijn niet toegestaan"
"'%value%' does not appear to be a valid URI hostname","'%value%' blijkt geen geldige URI hostnaam te zijn"
"'%value%' does not appear to be a valid local network name","'%value%' blijkt geen geldige lokale netwerk naam te zijn"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' komt niet overeen met de verwachte structuur van een DNS hostnaam"
"A joint field with this alias (%s) is already declared","Een samengesteld veld met deze alias (%s) is al opgegeven"
"Add Option","Voeg Optie toe"
"An error occurred while loading a record, aborting. Error: %s","Er is een fout opgetreden tijdens het laden van een record, afbreken. Fout: %s"
"An error occurred while loading the collection, aborting. Error: %s","Er is een fout opgetreden tijdens het laden van de collectie, afbreken. Fout: %s"
"An error occurred while saving a record, aborting. Error: ","Er is een fout opgetreden tijdens het opslaan van een record, afbreken. Fout:"
"Attempt to add an invalid object","Poging een ongeldig object toe te voegen"
"Attribute '%s' used in configurable products","Attribuut '%s' gebruikt in configureerbare producten"
"Attribute Code","Attribuutcode"
"Attribute Label","Attribuutlabel"
"Attribute Properties","Attribuut Eigenschappen"
"Attribute object is undefined","Attribuut object is ongedefinieerd"
"Attribute set with the ""%s"" name already exists.","Attributenset met naam ""%s"" bestaat al."
"Attribute with the same code","Attribuut met zelfde code"
"Can\'t create table: %s","Kan geen tabel creëren: %s"
"Catalog Input Type for Store Owner","Catalogus Input Type voor Winkeleigenaar"
"Current module EAV entity is undefined","Huidige module EAV eenheid in ongedefinieerd"
"Current module pathname is undefined","Huidige module padnaam is ongedefinieerd"
"Data integrity: No header row found for attribute","Data integriteit: Geen koptekst rij gevonden voor attribuut"
"Date","Datum"
"Decimal Number","Decimaal Getal"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Default Product Listing Sort by bestaat niet op Available Product Listing Sort By"
"Default Value","Vaststaande Waarde"
"Default option value is not defined","Vaststaande optie waarde is niet gedefinieerd."
"Delete","Verwijderen"
"Dropdown","Dropdown"
"Email","Email"
"Entity collection expected.","Eenheidscollectie verwacht."
"Entity collections expected.","Eenheidscollecties verwacht."
"Entity instance is not defined","Voorbeeld eenheid is niet gedefinieerd"
"Entity is not initialized","Eenheid is niet geïnitialiseerd"
"Entity object is undefined","Doel eenheid is niet gedefinieerd"
"Failed to load node %s from config","Knooppunt %s van config laden mislukt"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","Voor intern gebruik. Moet uniek zijn zonder spaties. Maximale lengte van attribuut code moet minder dan %s tekens zijn"
"Form Element with the same attribute","Vorm element met zelfde attribuut"
"Form Fieldset with the same code","Vorm Fieldset met zelfde code"
"Form Type with the same code","Vorm Type met zelfde code"
"Form code is not defined","Vorm code is niet gedefinieerd"
"Frontend label is not defined","Front end label is niet gedefinieerd"
"Input Validation for Store Owner","Input Validatie voor Winkeleigenaar"
"Integer Number","Integer Getal"
"Invalid EAV attribute.","Ongeldig EAV attribuut."
"Invalid alias, already exists in joint attributes","Ongeldige alias, bestaat al in samengestelde attributen"
"Invalid attribute name: %s","Ongeldige attribuutnaam: %s"
"Invalid attribute requested: %s","Ongeldig attribuut gevraagd: %s"
"Invalid attribute type","Ongeldig attribuut type"
"Invalid character encountered in increment ID: %s","Ongeldig teken gevonden in increment ID: %s"
"Invalid date","Ongeldige datum"
"Invalid default date","Ongeldige standaarddatum"
"Invalid default decimal value","Ongeldige standaard decimale waarde"
"Invalid entity specified","Ongeldige entiteit gespecificeerd"
"Invalid entity supplied.","Ongeldige entiteit geleverd."
"Invalid entity supplied: %s","Ongeldige entiteit geleverd: %s"
"Invalid entity type","Ongeldig type entiteit"
"Invalid entity_id, skipping the record.","Ongeldige entiteit_id, record wordt overgeslagen."
"Invalid entity_type specified: %s","Ongeldige entiteit_type gespecificeerd: %s"
"Invalid foreign key","Ongeldige vreemde sleutel"
"Invalid form type.","Ongeldig type formulier."
"Invalid joint fields","Ongeldige verbonden velden"
"Invalid store specified","Ongeldige winkel gespecificeerd"
"Invalid type given. String expected","Ongeldog type opgegeven. String verwacht"
"Joined field with this alias is already declared","Verbonden veld met deze alias is reeds gedeclareerd"
"Joint field or attribute expression with this alias is already declared","Verbonden veld of attribuut expressie met deze alias is reeds gedeclareerd"
"Letters","Letters"
"Letters (a-z, A-Z) or Numbers (0-9)","Letters (a-z, A-Z) or cijfers (0-9)"
"Loaded %d records","%d Records geladen"
"Maximum length of attribute code must be less then %s symbols","Maximale lengte van attribuutcode moet minder zijn dan %s symbolen"
"Multiple Select","Multiple Selecteer"
"No","Nee"
"No options found in config node %s","Geen opties gevonden in config node %s"
"None","Geen"
"Not shared with other products","Niet gedeeld met andere producten"
"Problem loading the collection, aborting. Error: %s","Probleem bij laden van collectie, laden wordt geaborteerd. Fout: %s"
"Problem saving the collection, aborting. Error: %s","Probleem bij opslaan van verzameling, opslaan wordt geborteerd. Fout: %s"
"Required","Benodigd"
"Saved %d record(s).","%d Record(s) opgeslagen."
"Source model ""%s"" not found for attribute ""%s""","Bronmodel ""%s"" niet gevonden voor attribuut ""%s"""
"System","Systeem"
"Text Area","Tekstgebied"
"Text Field","Tekstveld"
"The attribute code \'%s\' is reserved by system. Please try another attribute code","De attribuutcode \'%s\' is door het systeem gereserveerd. Probeer alsjeblieft een andere attribuutcode."
"The value of attribute ""%s"" must be unique","De waarde van attribuut ""%s"" moet uniek zijn"
"The value of attribute ""%s"" must be unique.","De waarde van attribute ""%s"" moet uniek zijn."
"This attribute is used in configurable products","Dit attribuut wordt gebruikt in configureerbare producten"
"URL","URL"
"Unique Value","Unieke waarde"
"Unique Value (not shared with other products)","Unieke waarde (niet gedeeld met andere producten)"
"Unknown parameter","Onbekende parameter"
"Values Required","Waardes verplicht"
"Wrong attribute group ID","Verkeerde attribuut groep ID"
"Wrong attribute set ID","Verkeerde attribuut set ID"
"Wrong entity ID","Verkeerde entiteit ID"
"Wrong type definition for %s","Verkeerde soort definitie voor %s"
"Yes","Ja"
"Yes/No","Ja/Nee"
