"(Make sure you keep it in a safe place.)","(Bitte bewahren Sie es sicher auf.)"
"(Optional. Leave blank for no prefix)","(Optional. Lassen Sie es aus, wenn sie kein Präfix brauchen)"
"(ver. %s)","(ver. &s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Zusätzlicher Pfad nach Base URL hinzugefügt um auf Administrationskonsole zuzugreifen (z.B. admin, backend, control etc.)."
"Admin Path","Admin Pfad"
"After successfull installation please click the button below.","Bitte klicken Sie den untenstehenden Link nach erfolgreicher Installation."
"All packages were installed, click 'OK' to continue with installation.","Alle Packages wurden installiert, klicken Sie OK um mit der Installation fortzufahren."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternativ können Sie die 'Manuelle Downloads und Upgrades' Methode verwenden."
"Base URL","Base URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Bevor Sie zu Ihrem Shop gehen, bitte beachten Sie Ihren Kodierungsschlüssel. (Magento verwendet ihn um Passwörter, Kreditkarten und mehr zu verschlüsseln)."
"Check out our","Probieren Sie unser"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Wählen Sie diese Box nur an, wenn es nicht möglich ist, die Secure URL automatisch zu validieren, wie zum Beispiel wenn eine HTTP Authentifizierung erforderlich ist."
"Check this box only if it is not possible to automatically validate the Base URL.","Wählen Sie diese Box nur an, wenn es nicht möglich ist, die Base URL automatisch zu validieren."
"Choose this if you would like to test frontend and backend functionality.","Wählen Sie dies, wenn Sie Frontend- und Backendfunktionalität testen wollen."
"Configuration","Konfiguration"
"Confirm Password","Passwort bestätigen"
"Connection","Verbindung"
"Continue","Fortsetzen"
"Continue After Manual Download","Nach manuellem Download fortfahren"
"Continue Full Download / SVN Installation","Vollen Download / SVN Installation fortfahren"
"Create Admin Account","Adminkonto erstellen"
"Currently this is the most stable state available for Magento packages.","Dies ist der derzeitig stabileste Zustand für Magento Packages."
"Database","Datenbank"
"Database Connection","Datenbankverbindung"
"Database Name","Datenbankname"
"Database Name cannot be empty.","Datenbankname kann nicht leergelassen werden."
"Database Type","Datenbanktyp"
"Database connection error.","Datenbankverbindungsfehler."
"Database host","Datenbankhost"
"Database server does not support the InnoDB storage engine.","Der Datenbankserver unterstützt die InnoDB Storage-Engine nicht."
"Database user name","Datenbank Benutzername"
"Database user password","Datebank Benutzerpasswort"
"Default Currency","Standardwährung"
"Download","Download"
"Download Magento Core Modules and Updates","Magento Core Modules und Updates herunterladen"
"Downloading and installing Magento, please wait...","Magento wird heruntergeladen und installiert, bitte warten..."
"Email","E-Mail"
"Email Address","E-Mail-Adresse"
"Enable Charts","Tabellen aktivieren"
"Enable this option if you want the charts to be displayed on Dashboard.","Aktivieren Sie diese Option, wenn sie die Tabellen auf dem Armaturenbrett angezeigt haben wollen."
"Enable this option only if you have SSL available.","Aktivieren Sie diese Option nur, wenn Sie über SSL verfügen."
"Encryption Key","Kodierungsschlüssel"
"File System","Dateisystem"
"First Name","Vorname"
"Full Download / SVN Installation","Volles Download / SVN Installation"
"Get ready to experience Open-Source eCommerce Evolved.","Machen Sie sich bereit, Open-Source eCommerce Evolved zu erleben."
"Go to Backend","Zum Backend gehen"
"Go to Frontend","Zum Frontend gehen"
"Having trouble installing Magento?","Probleme bei der Installation von Magento?"
"Help Us to Keep Magento Healthy","Helfen Sie uns, Magento gesund zu halten"
"Host","Host"
"I agree to the above terms and conditions.","Ich stimme den allgemeinen Geschäftsbedingungen zu."
"If you are a developer and would like to have the latest public updates, choose this option.","Wenn Sie Entwickler sind und gerne die neusten öffentlichen Updates erhalten wollen, wählen Sie diese Option."
