"%s %s cycle.","Ciclo %s %s."
"--Please Select--","--Por Favor, Escolha--"
"3D Secure Card Validation","Validação de Cartão 3D Secure"
"3D Secure Credit Card Validation","Validação de Cartão de Crédito 3D Secure"
"<label>Make Check payable to:</label> %s","<label>Faça Cheque pagável a:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Um valor é necessário para o modo ao vivo. Consulte o seu contrato CardinalCommerce."
"Allow Initial Fee Failure","Permitir Falha de Taxa Inicial"
"An internal reference ID is required to save the payment profile.","Um ID interno de referência é necessário para salvar o perfil de pagamento."
"Authorize action is not available.","Ação de autorização não está disponível."
"Auto Bill on Next Cycle","Faturar Automaticamente no Próximo Ciclo"
"Automatically Invoice All Items","Faturar Automaticamente Todos os Itens"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Faturar automaticamente o valor do balanço em destaque no próximo ciclo de faturamento (se houve falha de pagamentos)."
"Billing Agreement status is not set.","Acordo de estado de Faturamento não está definido."
"Billing Amount","Valor de Faturamento"
"Billing Frequency","Frequência de Faturamento"
"Billing Period","Período de Faturamento"
"Billing Period Unit","Unidade de Período de Faturamento"
"Billing period unit is not defined or wrong.","Unidade de período de faturamento não está definida ou errada."
"Cannot retrieve payment method instance.","Não é possível recuperar instância do método de pagamento."
"Cannot retrieve the payment info model object.","Não é possível recuperar a informação objeto modelo do pagamento."
"Cannot retrieve the payment information object instance.","Não foi possível recuperar instância de objeto de informações de pagamento."
"Cannot retrieve the payment method code.","Não foi possível recuperar o código de forma de pagamento."
"Cannot retrieve the payment method model object.","Não é possível recuperar o método objeto modelo do pagamento."
"Capture action is not available.","Ação de captura não está disponível."
"Card Verification Number","Número de Verificação do Cartão"
"Centinel API URL","URL Centinel API"
"Check / Money Order","Cheque/Ordem de Pagamento"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Type","Tipo de Cartão de Crédito"
"Credit Card Types","Tipos de Cartão de Crédito"
"Credit card number mismatch with credit card type.","O número de cartão de crédito não corresponde ao tipo de cartão de crédito."
"Credit card type is not allowed for this payment method.","O tipo de cartão de crédito não é permitido para esta forma de pagamento."
"Currency","Moeda"
"Currency code is undefined.","Código de moeda indefinido"
"Customer ID is not set.","A ID do cliente não está definida"
"Day","Dia"
"Debug Mode","Modo de Depuração"
"Enabled","Ativado"
"Expiration Date","Data de Validade"
"Full name of the person receiving the product or service paid for by the recurring payment.","Nome completo da pessoa que recebe o produto ou serviço pago pelo pagamento recorrente."
"Incorrect credit card expiration date.","Data de validade do cartão de crédito incorreta."
"Initial Fee","Taxa inicial"
"Initial non-recurring payment amount due immediately upon profile creation.","Valor do pagamento inicial não-recorrentes imediatamente após a criação do perfil."
"Internal Reference ID","Identificação de referência interna"
"Invalid Credit Card Number","Número de cartão de crédito inválido"
"Issue Number","Número de Emissão"
"Make Check Payable to","Faça Cheque Nominal a"
"Make Check payable to:","Faça Cheque nominal a:"
"Make Check payable to: %s","Faça Cheque nominal a: %s"
"Maximum Billing Cycles","Ciclos de faturamento máximo"
"Maximum Order Total","Total Máximo do Pedido"
"Maximum Payment Failures","Falhas de pagamento máximo"
"Maximum Trial Billing Cycles","Ciclos de faturamento de avaliação máximo"
"Merchant ID","Identificação do comerciante"
"Minimum Order Total","Total Mínimo do Pedido"
"Month","Mês"
"N/A","Indisponível"
"Name on Card","Nome no Cartão"
"Name on the Card","Nome no Cartão"
"New Order Status","Status do Novo Pedido"
"Number of billing periods that make up one billing cycle.","Número de períodos de emissão de faturas que formam um ciclo de faturamento."
"Order action is not available.","Ação de pedido não está disponível."
"Overrides API URL that may be specified by a payment method.","Substitui URL da API que pode ser especificada por um método de pagamento."
"Password","Senha"
"Payment ID: %s","Identificação de Pagamento: %s"
"Payment Method","Método de Pagamento"
"Payment Methods","Métodos de Pagamento"
"Payment Methods Section","Seção de Métodos de Pagamento"
"Payment Reference ID","Identificação de Referência para Pagamento"
"Payment Services","Serviços de Pagamento"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"Payment method code is not set.","Código de método de pagamento não está configurado."
"Payment method code is undefined.","Código de método de pagamento não está definido."
"Payment profile is invalid:\n%s","Perfil de pagamento inválido: \n%s"
"Period frequency is wrong.","Frequência de período está errada."
"Please enter a valid credit card verification number.","Por favor insira um número de verificação de cartão de crédito válido."
"Processor ID","Identificação do Processador"
"Purchase Order","Ordem de Compra"
