"Actions","操作"
"Add Answer","添加答案"
"Add New Answer","添加新答案"
"Add New Poll","添加新投票"
"Answer Title","答案标题"
"Answer Title:","答案标题："
"Answer with the same title in this poll","在投票中使用相同标题回答"
"Are you sure you want to delete it?","您是否确认要将其删除？"
"Assigned Answers","分配的答案"
"Closed","已关闭"
"Community Poll","社区投票"
"Date Closed","关闭日期"
"Date Posted","发布日期"
"Delete","删除"
"Delete Answer","删除答案"
"Delete Poll","删除投票"
"Disallow Voting in a Poll Multiple Times from Same IP-address","不允许相同IP地址多次参与同一个投票"
"Edit Answer '%s'","编辑答案 '%s'"
"Edit Poll '%s'","编辑投票 '%s'"
"Edit Poll Answer","编辑投票答案"
"ID","ID"
"Invalid Answer.","无效答案。"
"New Poll","新投票"
"Number of Responses","响应次数"
"Open","打开"
"Poll Answers","投票答案"
"Poll Information","投票信息"
"Poll Manager","投票管理器"
"Poll Question","投票问题"
"Poll information","投票信息"
"Poll with the same question","使用相同问题投票"
"Polls","投票"
"Save Answer","保存答案"
"Save Poll","保存投票"
"Status","状态"
"The answer has been saved.","答案已被保存。"
"The poll does not exist.","该投票不存在。"
"Unable to find an answer to delete.","无法找到要删除的答案。"
"Visible In","可见性"
"Vote","投票"
"Votes Count","投票统计"
"Votes Count:","投票统计："
