"ALL","TUDO"
"ANY","QUALQUER UM"
"Add","Adicionar"
"Apply","Solicitar"
"Conditions Combination","Combinação de condições"
"Customer Groups must be specified.","Os Grupos de Clientes devem ser especificados."
"End Date must be greater than Start Date.","Data Final deve ser maior do que a Data de Início."
"FALSE","FALSO"
"If %s of these conditions are %s:","Se %s dessas condições são %s:"
"Invalid discount amount.","Quantidade de desconto inválida."
"Open Chooser","Abrir Seletor"
"Perform following actions","Executar seguintes ações"
"Please choose a condition to add...","Por favor escolha uma condição para adicionar..."
"Please choose an action to add...","Por favor, selecione uma ação para adicionar..."
"Remove","Remover"
"TRUE","VERDADEIRO"
"Websites must be specified.","Os Websites devem ser especificados."
"by","por"
"contains","contém"
"does not contain","não contém"
"does not contains","não contêm"
"equals or greater than","é igual ou maior que"
"equals or less than","é igual ou menor que"
"for","para"
"for greater than","para mais de"
"for or greater than","para ou superior a"
"found","encontrado"
"from","de"
"greater than","superior a"
"is","é"
"is not","não é"
"is not one of","não é um de"
"is one of","é um de"
"less than","menos que"
"not found","não encontrado"
"not from","não de"
"to","para"
"was","era"
"was not","não era"
