" for more information or ","para mais informações ou"
"# of Items (and above)","nº de Itens (e acima)"
"# of Items vs. Destination","nº de Itens vs. Destino"
"Allow Shipping to Multiple Addresses","Permitir Envio a Múltiplos Endereços"
"An error occurred while import table rates.","Ocorreu um erro ao importar as tabelas de tarifas."
"Calculate Handling Fee","Calcular a Taxa de Manuseio"
"Carrier:","Transportadora:"
"City","Cidade"
"Close Window","Fechar Janela"
"Condition","Estado"
"Country","País"
"Custom Value","Valor Aduaneiro"
"Date","Data"
"Delivered on:","Entregado dia:"
"Delivered to:","Entregado a:"
"Description","Descrição"
"Displayed Error Message","Mensagem de Erro Apresentada"
"Divide to equal weight (one request)","Dividir para peso igual (um pedido)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplicar Linha #%s (País ""%s"", Região/Estado ""%s"", CEP ""%s"" e Valor ""%s"")."
"Enabled","Ativado"
"Error:","Erro:"
"Export","Exportar"
"File has not been imported. See the following list of errors: %s","O arquivo não foi importado. Veja a lista de erros a seguir: %s"
"Fixed","Fixado"
"Flat Rate","Taxa Fixa"
"Free Shipping","Frete Grátis"
"Google Sitemap Section","Seção Google Sitemap"
"Handling Fee","Taxa de Manuseio"
"Import","Importar"
"Include Virtual Products in Price Calculation","Incluir Produtos Virtuais no Cálculo de Preço"
"Info:","Informação:"
"Invalid %s ""%s"" in the Row #%s.","%s ""%s"" Inválido na Linha #%s."
"Invalid Country ""%s"" in the Row #%s.","País Inválido ""%s"" na Linha #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Região/Estado Inválido ""%s"" na Linha #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Custo de Entrega Inválido ""%s"" na Linha #%s."
"Invalid Table Rate code for type %s: %s","Código da Tabela de Tarifa inválido para tipo %s: %s"
"Invalid Table Rate code type: %s","Código da Tabela de Tarifa tipo: %s"
"Invalid Table Rates File Format","Formato de Arquivo da Tabela de Tarifas Inválido"
"Invalid Table Rates format in the Row #%s","Formato Inválido de Taxas de Tabela na Linha #%s"
"Local Time","Hora Local"
"Location","Local"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Quant. Máxima Permitida para Envio a Múltiplos Endereços"
"Method Name","Nome do Método"
"Minimum Order Amount","Valor Mínimo do Pedido"
"N/A","Indisponível"
"None","Nenhum"
"Options","Opções"
"Order Subtotal (and above)","Subtotal do Pedido (e acima)"
"Origin","Origem"
"Per Order","Por Ordem"
"Per Package","Por Embalagem"
"Percent","Percentagem"
"Price","Preço"
"Price vs. Destination","Preço vs. Destino"
"Region/State","Região/Estado"
"Service Type:","Tipo de Serviço:"
"Ship to Applicable Countries","Enviar a Países Aplicáveis"
"Ship to Specific Countries","Enviar a Países Específicos"
"Shipment #","Remessa #"
"Shipment Tracking Popup","Popup de Rastreamento de Entrega"
"Shipped or billed on:","Enviado ou faturado em:"
"Shipping Methods","Tipos de Frete"
"Shipping Methods Section","Seção de Métodos de Entrega"
"Shipping Settings","Configurações de Entrega"
"Shipping Settings Section","Seção de Configurações de Entrega"
"Show Method if Not Applicable","Mostrar Método se Não Aplicável"
"Signed by:","Assinado por:"
"Sort Order","Classificar pedido"
"Status:","Estado atual:"
"Store Pickup","Retirada na Loja"
"Street Address","Endereço da Rua"
"Street Address Line 2","Endereço Linha 2"
"Table Rates","Taxas de Tabela"
"The shipping module is not available for selected delivery country.","O módulo de entrega não está disponível para o país de entrega selecionado."
"The shipping module is not available.","O módulo de entrega não está disponível."
"There is no tracking available for this shipment.","Não há disponibilidade de rastreamento para este método de entrega."
"There is no tracking available.","Não há disponibilidade de rastreamento."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Este método de entrega está atualmente indisponível. Se você deseja utilizar este método de entrega, por favor, entre em contato conosco."
"This shipping method is not available, please specify ZIP-code","Este método de entrega não está disponível, por favor, especifique o CEP"
"Title","Título"
"Track:","Rastrear:"
"Tracking Information","Informações de Rastreamento"
"Tracking Number:","Número de Rastreamento:"
"Tracking information is currently not available. Please ","O rastreamento de informações não está disponível no momento. Por favor"
"Tracking information is currently unavailable.","O rastreamento de informações não está disponível no momento."
"Type","Tipo"
"Use origin weight (few requests)","Usar peso de origem (poucos pedidos)"
"Weight (and above)","Peso (e acima)"
"Weight vs. Destination","Peso vs. Destino"
"Weight:","Peso:"
"ZIP/Postal Code","CEP/Código Postal"
"contact us","entre em contato conosco"
"email us at ","envie um email para nós -"
