"Action","Action"
"Add Sitemap","Ajouter une sitemap"
"Always","Toujours"
"CMS Pages Options","Options des pages SGC"
"Categories Options","Options des catégories"
"Daily","Tous les jours"
"Edit Sitemap","Éditer la sitemap"
"Enabled","Activé"
"Error Email Recipient","Erreur dans le destinataire du mail"
"Error Email Sender","Erreur dans l'expéditeur du mail"
"Error Email Template","Erreur dans le modèle du mail"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Le fichier ""%s"" n'a pas pu être enregistré. Assurez-vous que le répertoire ""%s"" est accessible en écriture pour le serveur web."
"Filename","Nom de fichier"
"Frequency","Fréquence"
"Generate","Générer"
"Generation Settings","Réglages de génération"
"Google Sitemap","Google Sitemap"
"Hourly","Toutes les heures"
"ID","ID"
"Last Time Generated","Généré pour la dernière fois"
"Link for Google","Lien pour Google"
"Monthly","Tous les mois"
"Never","Jamais"
"New Sitemap","Nouvelle sitemap"
"Path","Chemin"
"Please create the specified folder ""%s"" before saving the sitemap.","Veuillez créer le dossier spécifié ""%s"" avant d'enregistrer le plan du site."
"Please define correct path","Définissez un chemin correct"
"Please make sure that ""%s"" is writable by web-server.","Veuillez vous assurer que ""%s"" est accessible en écriture par le serveur web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","N'utilisez que des lettres (a-z ou A-Z), des nombres (0-9) ou un blanc souligné (_) dans le nom du fichier. Aucune espace ou autre caractère ne sont autorisés."
"Priority","Priorité"
"Products Options","Options de produit"
"Sitemap","Sitemap"
"Sitemap generate Warnings","Avertissements de génération de sitemap"
"Start Time","Heure de début"
"Store View","Vue du magasin"
"The priority must be between 0 and 1.","La priorité est comprise entre 0 et 1"
"The sitemap ""%s"" has been generated.","Le plan du site ""%s"" a été généré."
"The sitemap has been deleted.","La sitemap a été supprimée."
"The sitemap has been saved.","La sitemap a été sauvegardée."
"This sitemap no longer exists.","La sitemap n'existe plus."
"Unable to find a sitemap to delete.","Impossible de trouver une sitemap à supprimer."
"Unable to find a sitemap to generate.","Impossible de trouver une sitemap à générer."
"Unable to generate the sitemap.","Impossible de générer une sitemap."
"Valid values range: from 0.0 to 1.0.","Intervalles de valeurs valides: de 0.0 à 1.0"
"Weekly","Toutes les semaines"
"Yearly","Tous les ans"
