"Action","Ação"
"Add Sitemap","Adicionar Mapa do Site"
"Always","Sempre"
"CMS Pages Options","Opções de páginas CMS"
"Categories Options","Opções de Categorias"
"Daily","Diário"
"Edit Sitemap","Editar Mapa do Site"
"Enabled","Ativado"
"Error Email Recipient","Erro de Destinatário de Email"
"Error Email Sender","Erro de Remetente de Email"
"Error Email Template","Erro de Template de Email"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","O arquivo ""%s"" não pode ser salvo. Certifique-se de que o diretório ""%s"" é  gravável pelo servidor web."
"Filename","Nome do arquivo"
"Frequency","Freqüência"
"Generate","Gerar"
"Generation Settings","Configurações de Geração"
"Google Sitemap","Google Sitemap"
"Hourly","Horário"
"ID","Identidade"
"Last Time Generated","Último Momento Gerado"
"Link for Google","Link para o Google"
"Monthly","Mensal"
"Never","Nunca"
"New Sitemap","Novo Sitemap"
"Path","Caminho"
"Please create the specified folder ""%s"" before saving the sitemap.","Por favor crie a pasta especificada ""%s"" antes de salvar o mapa do site."
"Please define correct path","Por favor defina o caminho correto"
"Please make sure that ""%s"" is writable by web-server.","Por favor certifique-se que ""%s"" é gravável pelo servidor web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Por favor use apenas letras (a-z ou A-Z), números (0-9) ou underscore (_) no nome do arquivo. Nenhuns espaços ou outros caracteres são permitidos."
"Priority","Prioridade"
"Products Options","Opções de Produtos"
"Sitemap","Mapa do Site"
"Sitemap generate Warnings","Mapa do site gera Avisos"
"Start Time","Tempo de Início"
"Store View","Visualização da loja"
"The priority must be between 0 and 1.","A prioridade deve ser entre 0 e 1."
"The sitemap ""%s"" has been generated.","O mapa do site ""%s"" foi gerado."
"The sitemap has been deleted.","O mapa do site foi apagado."
"The sitemap has been saved.","O mapa do site foi salvo."
"This sitemap no longer exists.","Este mapa do site não existe mais."
"Unable to find a sitemap to delete.","Incapaz de encontrar um mapa do site para apagar."
"Unable to find a sitemap to generate.","Incapaz de encontrar um mapa do site para gerar."
"Unable to generate the sitemap.","Incapaz de gerar o mapa do site."
"Valid values range: from 0.0 to 1.0.","Valores válidos variam: de 0,0 a 1,0."
"Weekly","Semanalmente"
"Yearly","Anualmente"
