"All Websites","所有网站"
"Apply Discounts To FPT","应用折扣到 FPT"
"Apply Tax To FPT","应用税费到 FPT"
"Display Prices In Emails","在电子邮件专用显示价格"
"Display Prices In Product Lists","在产品列表中显示价格"
"Display Prices In Sales Modules","在销售模块中显示价格"
"Display Prices On Product View Page","在产品查看页面中显示价格"
"Enable FPT","启用 FPT"
"Excluding FPT","不包含 FPT"
"Excluding FPT, FPT description, final price","不包含 FPT，FPT 描述，最终价格"
"Fixed Product Tax","固定产品税费"
"Fixed Product Taxes","固定产品税费"
"Include FPT In Subtotal","在小计中包含 FPT"
"Including FPT and FPT description","包含 FPT 和 FPT 描述"
"Including FPT and FPT description [incl. FPT VAT]","包含 FPT 和 FPT 描述 [包含 FPT VAT]"
"Including FPT only","仅包含 FPT"
"Total","总数"
"Total Incl. Tax","含税总计"
"Total incl. tax","总价含税"
