" But cart has some errors."," But cart has some errors."
"""Description"" is more than %d characters long","""Description"" is more than %d characters long"
"""Title"" is more than %d characters long","""Title"" is more than %d characters long"
"""id"" attribute is required for a ""%s"" field.","""id"" attribute is required for a ""%s"" field."
"""line_count"" attribute is required for ""multiline"" element.","""line_count"" attribute is required for ""multiline"" element."
"""message"" attribute is required for ""%s"" validator rule.","""message"" attribute is required for ""%s"" validator rule."
"%1$s has been added to your wishlist.","%1$s has been added to your wishlist."
"%1$s incl tax.","%1$s incl tax."
"%s API Key required.","%s API Key required."
"%s Application ID required.","%s Application ID required."
"%s Secret Key required.","%s Secret Key required."
"%s attribute is required.","%s attribute is required."
"%s has been added to your cart.","%s has been added to your cart."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)"
"*Subject to change","*Subject to change"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","A Catalog Only App will not support functions such as add to cart, add to wishlist, or login."
"A new password has been sent.","A new password has been sent."
"Account","Account"
"Account confirmation is required. Please check your email for the confirmation link.","Account confirmation is required. Please check your email for the confirmation link."
"Account information has been saved.","Account information has been saved."
"Action","Action"
"Activate","Activate"
"Activate PayPal Checkout","Activate PayPal Checkout"
"Activate PayPal MECL","Activate PayPal MECL"
"Activation Key","Activation Key"
"Add App","Add App"
"Add New Template","Add New Template"
"Add Page","Add Page"
"Add to Cart","Add to Cart"
"Add to Wishlist","Add to Wishlist"
"Additional Address","Additional Address"
"Address","Address"
"Address 2","Address 2"
"Address data not specified.","Address data not specified."
"Address does not belong to this customer.","Address does not belong to this customer."
"Address has been deleted.","Address has been deleted."
"Address has been saved.","Address has been saved."
"Administrative contact for this app and for app submission issues.","Administrative contact for this app and for app submission issues."
"Advanced Settings","Advanced Settings"
