"%s","%s"
"%s already exist.","%s existieren bereits."
"%s already exists.","%s existiert bereits."
"-- Please Select --","-- Bitte auswählen --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Vorsicht!</strong> Wenn Sie CDN verwenden, kann  es in einigen Fällen vorkommen, dass JavaScript nicht korrekt läuft, wenn CDN nicht in Ihrer Subdomain enthalten ist."
"A category object is required for determining the product request path.","Es wird ein Kategorieobjekt benötigt um den Produktanfragepfad herauszufinden."
"Add Block Names to Hints","Blocknamen zu Hinweisen hinzufügen"
"Add Secret Key to URLs","Geheimschlüssel zu URLs hinzufügen"
"Add Store Code to Urls","Storecode zu URLs hinzufügen"
"Admin","Admin"
"Admin Base URL","Admin Basis-URL"
"Admin User Emails","Admin Benutzeremails"
"Advanced","Fortgeschritten"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Nachdem Sie einen neuen Medienspeicherort gewählt haben, drücken Sie den ""Synchronisieren""-Knopf, um alle Medien an diesen Ort zu übertragen. Medien sind an diesem neuen Ort erst verfügbar, wenn der Synchronisierungsprozess abgeschlossen ist."
"Allow Countries","Länder zulassen"
"Allow Symlinks","Symlinks erlauben"
"Allowed IPs (comma separated)","Zugelassene IPs (durch Kommata getrennt)"
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","Zugelassene Dateiformate: ICO, PNG, GIF, JPEG, APNG, SVG. Nicht alle Browser unterstützen alle diese Formate!"
"Allows customers to stay logged in when switching between different stores.","Erlaubt Kunden eingeloggt zu bleiben nachdem zu einem anderen Store gewechselt wurde."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternativtext für den Weiter-Link in der Seitenübersicht. Sollte diese Angabe leer sein, wird das Standard-Pfeilsymbol verwendet."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternativtext für den Zurück-Link in der Seitenübersicht. Sollte diese Angabe leer sein, wird das Standard-Pfeilsymbol verwendet."
"An error occurred while saving. Please review the error log.","Beim Speichern trat ein Fehler auf. Bitte sehen Sie im Fehlerverlauf nach."
"Anchor Text for Next","Link-Text für Weiter"
"Anchor Text for Previous","Link-Text für Zurück"
"Anchor symbol (#) is not supported in request path","Das Doppelkreuz (#) wird im Anforderungspfad nicht unterstützt"
"Anchor symbol (#) is not supported in url rewrite suffix","Das Doppelkreuz (#) wird beim URL-Überschreiben-Suffix nicht unterstützt"
"Are you sure?","Sind Sie sicher?"
"Auto-redirect to Base URL","Automatische Weiterleitung zur Basis-URL"
"Back","Zurück"
"Backup Options","Sicherungsoptionen"
"Base JavaScript URL","Basis-URL Javascript"
"Base Link URL","Basis-URL Links"
"Base Media URL","Baiss-URL Medien"
"Base Skin URL","Bais-URL Skins"
"Base URL","Base URL"
"Before modifying the store view code please make sure that it is not used in index.php.","Bevor Sie den Store-View-Quelltext bearbeiten, sehen Sie bitte nach, dass es nicht in index.php verwendet wird."
"Before modifying the website code please make sure that it is not used in index.php.","Bevor Sie den Webseitenquelltext bearbeiten, sehen Sie bitte nach, dass er nicht in index.php verwendet wird."
"Block with name ""%s"" already exists","Ein Block mit dem Namen ""%s"" existiert bereits"
"Browser Capabilities Detection","Browserunterstützungstest"
"CSS Settings","CSS-Einstellungen"
"Cache Storage Management","Zwischenspeicherverwaltung (Caching)"
"Cache storage may contain additional data. Are you sure that you want flush it?","Der Cachespeicher könnte weitere Daten enthalten. Sind Sie sicher, dass Sie diese löschen möchten?"
"Can not create invoice. Order was not found.","Rechnung konnte nicht erstellt werden. Es wurde keine Bestellung gefunden."
"Can't retrieve request object","Objekt kann nicht abgefragt werden"
"Can\'t retrieve entity config: %s","Kann Entität config: %s nicht auffinden"
"Cancel","Abbrechen"
"Cannot complete this operation from non-admin area.","Diese Aktion kann nicht außerhalb des Admin-Bereichs fertiggestellt werden."
"Card type does not match credit card number.","Kartentyp entspricht nicht der Kreditkartennummer."
"Code","Code"
"Controller file was loaded but class does not exist","Controller-Datei wurde geladen, Klasse existiert jedoch nicht"
"Cookie Domain","Cookie-Domain"
"Cookie Lifetime","Cookie-Lebensdauer"
"Cookie Path","Cookie-Pfad"
"Copyright","Copyright"
"Countries Options","Länderoptionen"
"Create Store","Erstelle Store"
"Create Store View","Erstelle Store-View"
"Create Website","Erstelle Website"
"Credit card number does not match credit card type.","Kreditkartennummer entspricht nicht dem Kreditkartentyp."
"Current Package Name","Aktueller Paketname"
"Custom Admin Path","Benutzerdefinierter Administratorpfad"
"Custom Design","Eigene Gestaltung"
"Custom Email 1","Angepasste Email 1"
"Custom Email 2","Angepasste Email 2"
"Custom Variables","Angepasste Variablen"
"Customer Support","Kundensupport"
"Dashboard","Dashboard"
"Date From","Datum ab"
"Date To","Datum bis"
"Date/time format ""%s"" is not supported.","Datum/Zeit-Format ""%s"" wird nicht unterstützt."
"Debug","Debug"
"Default","Standard"
"Default Country","Standard Land"
"Default Description","Standard-Beschreibung"
"Default Keywords","Standard-Schlüsselwörter"
"Default No-route URL","Standard-No-Route-URL"
"Default Pages","Standardseiten"
"Default Robots","Standard-Robots"
"Default Store","Standard-Store"
"Default Store View","Standard-Store-View"
"Default Title","Standardtitel"
"Default Web URL","Standard-Web-URL"
"Delete","Löschen"
"Delete Store","Shop löschen"
"Delete Store View","Shopansicht löschen"
"Delete Website","Webseite löschen"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Das Löschen von %1$s löscht nicht die Informationen die mit %1$s verbunden sind (z.B. Kategorien, Produkte, etc.), die %1$s können aber nicht mehr wiederhergestellt werden. Es ist empfohlen ein Datenbank Backup vor dem Löschen von %1$s zu machen."
"Design","Gestaltung"
"Design Change","Designänderung"
"Developer","Developer"
"Developer Client Restrictions","Developer Client Restrictions"
"Disable Email Communications","E-Mail Kommunikation deaktivieren"
"Disable Modules Output","Modul Output deaktivieren"
"Display Demo Store Notice","Demo Shop Nachricht anzeigen"
"Duplicate Of Template Name","Duplikat von Templatename"
"Edit Design Change","Designänderung bearbeiten"
"Edit Store","Shop bearbeiten"
"Edit Store View","Shopansicht bearbeiten"
"Edit Website","Webseite bearbeiten"
"Empty identifier field name","Leerer Bezeichnerfeldname"
"Empty main table name","Leerer Haupttabllenname"
"Enable Charts","Tabellen aktivieren"
"Enable Prototype Deprecation Log","Prototype Deprecation Log aktivieren"
"Enabled","Aktiviert"
"Enabled for Admin","Für Admin aktivieren"
"Enabled for Frontend","Für Frontend aktivieren"
"Environment Update Time","Umgebungs-Update-Zeit"
"Error in file: ""%s"" - %s","Fehler in Datei: ""%s"" - %s"
"Error: Passwords do not match","Fehler: Passwörter stimmen nicht überein"
"Exceptions Log File Name","Exceptions Logfile Name"
"Favicon Icon","Favicon Icon"
"File %s does not exist","Datei %s existiert nicht"
"File %s is not readable","Datei %s kann nicht gelesen werden"
"File system","Dateisystem"
"First Day of Week","Erster Tag der Woche"
"Flush Cache Storage","Cache Storage entleeren"
"Flush Magento Cache","Magento Cache entleeren"
"Footer","Fußzeile"
"Forgot Password Email Sender","Passwort vergessen E-Mail Sender"
"Forgot Password Email Template","Passwort vergessen E-Mail Template"
"General","Allgemein"
"General Contact","Allgemeiner Kontakt"
"General Settings","Allgemeine Einstellungen"
"Global","Global"
"HTML Head","HTML Kopf"
