"""%s"" contains not only digit characters.","""%s"" besteht nicht nur aus Ziffern."
"""%s"" does not fit the entered date format.","""%s"" stimmt nicht mit dem eingegebenen Datumsformat überein."
"""%s"" exceeds the allowed file size.","""%s"" überschreitet die vorgeschriebene Dateigröße."
"""%s"" exceeds the allowed length.","""%s"" überschreitet die vorgeschriebene Länge."
"""%s"" has not only alphabetic and digit characters.","""%s"" besteht nicht nur aus Buchstaben und Ziffern."
"""%s"" has not only alphabetic characters.","""%s"" besteht nicht nur aus Buchstaben."
"""%s"" height exceeds allowed value of %s px.","Die Größe von ""%s"" überschreitet den möglichen Wert von %s px"
"""%s"" invalid type entered.","Ungültiger ""%s""-Typ eingegeben."
"""%s"" is a required value.","""%s"" ist ein Zwangsfeld."
"""%s"" is an empty string.","""%s"" ist ein leerer String."
"""%s"" is not a valid URL.","""%s"" ist eine ungültige URL."
"""%s"" is not a valid date.","""%s"" ist ein ungültiges Datum."
"""%s"" is not a valid email address.","""%s"" ist eine ungültige E-Mail-Adresse."
"""%s"" is not a valid file","""%s"" ist eine ungültige Datei."
"""%s"" is not a valid file extension.","""%s"" ist eine ungültige Dateierweiterung."
"""%s"" is not a valid file.","""%s"" ist eine ungültige Datei."
"""%s"" is not a valid hostname.","""%s"" ist eine ungültiger Hostname."
"""%s"" is not a valid image format","""%s"" ist ein ungültiges Bildformat."
"""%s"" length must be equal or greater than %s characters.","""%s"" muss %s oder mehr Zeichen haben."
"""%s"" length must be equal or less than %s characters.","""%s"" muss %s oder weniger Zeichen haben."
"""%s"" width exceeds allowed value of %s px.","Die Breite von ""%s"" überschreitet den vorgeschriebenen Wert von %s Pixeln."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' ist offenbar ein DNS-Hostname, aber die Hauptdomäne (TLD) lässt sich nicht extrahieren."
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","%value%' ist offenbar ein DNS-Hostname, aber die Hauptdomäne (TLD) lässt sich nicht unter den bekannten Einträgen finden."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","%value%' ist offenbar ein DNS-Hostname, aber die Hauptdomäne (TLD) entspricht keinem Hostnamen -Schema für TLD '%tld%'."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","%value%' ist offenbar ein DNS-Hostname mit einem Strich an einer ungültigen Stelle."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' scheint ein DNS-Hostname zu sein, aber die angegebene Punycode-Notation konnte nicht entschlüsselt werden."
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' scheint der Name eines lokalen Netzwerks zu sein. Namen lokaler Netzwerke sind allerdings nicht erlaubt."
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' scheint eine IP-Adresse zu sein. IP-Adressen sind allerdings nicht erlaubt."
"'%value%' does not appear to be a valid URI hostname","'%value%' scheint kein gültiger URI-Hostname zu sein"
"'%value%' does not appear to be a valid local network name","'%value%' scheint kein gültiger Name für ein lokales Netzwerk zu sein."
"'%value%' does not match the expected structure for a DNS hostname","'%value%' entspricht nicht der erwarteten Struktur eines DNS-Hostnames."
"A joint field with this alias (%s) is already declared","Ein gemeinsames Feld mit diesem Alias (%s) ist bereits deklariert"
"Add Option","Option hinzufügen"
"An error occurred while loading a record, aborting. Error: %s","Fehler beim Laden eines Eintrags, Abbruch. Fehler: %s"
"An error occurred while loading the collection, aborting. Error: %s","Fehler beim Laden der Zusammenstellung, Abbruch. Fehler: %s"
"An error occurred while saving a record, aborting. Error: ","Fehler beim Speichern eines Eintrags, Abbruch. Fehler:"
"Attempt to add an invalid object","Versuch, ein ungültiges Objekt hinzuzufügen"
"Attribute '%s' used in configurable products","Attribut '%s' wird für konfigurierbare Produkte verwendet"
"Attribute Code","Attributcode"
"Attribute Label","Attributlabel"
"Attribute Properties","Attributeigenschaften"
"Attribute object is undefined","Attributobjekt ist undefiniert"
"Attribute set with the ""%s"" name already exists.","Attributset mit dem Namen ""%s"" besteht bereits."
"Attribute with the same code","Attribut mit dem gleichen Code"
"Can\'t create table: %s","Kann keine Tabelle erstellen: %s"
"Catalog Input Type for Store Owner","Katalog Eingabetyp für Shopbesitzer"
"Current module EAV entity is undefined","Aktuelles Modul EAV-Einheit ist nicht definiert"
"Current module pathname is undefined","Der derzeitige Modulpfad ist undefiniert"
"Data integrity: No header row found for attribute","Datenrichtigkeit: Keine Kopfzeile für dieses Attribut"
"Date","Datum"
"Decimal Number","Dezimalzahl"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Standard Produkt-Listing Sortierung wenn keine verfügbaren Sortierungen für Produkte definiert sind"
"Default Value","Vorgegebener Wert"
"Default option value is not defined","Standard-Optionswert ist nicht definiert"
"Delete","Löschen"
"Dropdown","DropDown"
"Email","E-Mail"
"Entity collection expected.","Datensatz Zusammenstellung erwartet."
"Entity collections expected.","Datensatz Zusammenstellungen erwartet."
"Entity instance is not defined","Entity-Instanz ist nicht definiert"
"Entity is not initialized","Entity ist nicht initialisiert"
"Entity object is undefined","Entity-Objekt ist undefiniert"
"Failed to load node %s from config","Fehler beim Laden des Knotens %s von der Konfiguration"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","Zum internen Gebrauch. Muss einzigartig sein und darf keine Leerzeichen enthalten. Die maximale Länge des Attribut-Codes muss weniger als %s Zeichen betragen"
"Form Element with the same attribute","Formular-Element mit gleichem Attribut"
"Form Fieldset with the same code","Formular-Fieldset mit gleichem Code"
"Form Type with the same code","Formulartyp mit gleichem Code"
"Form code is not defined","Formularcode ist nicht definiert"
"Frontend label is not defined","Frotend-Label ist nicht definiert"
"Input Validation for Store Owner","Eingabeprüfung für Shopbesitzer"
"Integer Number","Ganze Zahl"
"Invalid EAV attribute.","Ungültiges EAV-Attribut."
"Invalid alias, already exists in joint attributes","Ungültiger Alias, existiert bereits in gemeinsamen Attributen"
"Invalid attribute name: %s","Ungültiger Attributname: %s"
"Invalid attribute requested: %s","Ungültiges Attribut angefragt: %s"
"Invalid attribute type","Ungültiger Attributtyp: %s"
"Invalid character encountered in increment ID: %s","Ungültiges Zeichen in hochgezählter ID gefunden: %s"
"Invalid date","Ungültiges Datum"
"Invalid default date","Ungültiges Standarddatum"
"Invalid default decimal value","Ungültiger dezimaler Standardwert"
"Invalid entity specified","Ungültiger Datensatz angegeben"
"Invalid entity supplied.","Ungültiger Datensatz angegeben."
"Invalid entity supplied: %s","Ungültige Entity eingegeben: %s"
"Invalid entity type","Ungültiger Entity-Typ"
"Invalid entity_id, skipping the record.","Ungültige Datensatz ID, Eintrag wird übersprungen."
"Invalid entity_type specified: %s","Ungültiger Datensatztyp angegeben: %s"
"Invalid foreign key","Ungültiger ausländischer Schlüssel"
"Invalid form type.","Ungültiger Formulartyp."
"Invalid joint fields","Ungültige gemeinsame Felder"
"Invalid store specified","Ungültiger Store definiert"
"Invalid type given. String expected","Ungültigen Typ angegeben. Zeichenfolge erwartet."
"Joined field with this alias is already declared","Mit diesem Alias verbundenes Feld ​​ist bereits deklariert"
