"Actions","Aktionen"
"Add Answer","Antwort hinzufügen"
"Add New Answer","Neue Antwort hinzufügen"
"Add New Poll","Neue Umfrage hinzufügen"
"Answer Title","Antworttitel"
"Answer Title:","Antworttitel:"
"Answer with the same title in this poll","Antwort mit gleichem Titel in dieser Umfrage"
"Are you sure you want to delete it?","Sind Sie sicher, dass Sie es löschen wollen?"
"Assigned Answers","Zugewiesene Antworten"
"Closed","Geschlossen"
"Community Poll","Community-Umfrage"
"Date Closed","Datum Geschlossen"
"Date Posted","Datum Eingestellt"
"Delete","Löschen"
"Delete Answer","Antwort löschen"
"Delete Poll","Umfrage löschen"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Verbieten mehrerer Umfrageteilnahmen von der selben IP-Adresse"
"Edit Answer '%s'","Antwort '%s' bearbeiten"
"Edit Poll '%s'","Umfrage '%s' bearbeiten"
"Edit Poll Answer","Umfrageantwort bearbeiten"
"ID","ID"
"Invalid Answer.","Ungültige Antwort."
"New Poll","Neue Umfrage"
"Number of Responses","Anzahl an Umfragereaktionen"
"Open","Offen"
"Poll Answers","Umfrageantworten"
"Poll Information","Umfrageinformation"
"Poll Manager","Umfragenverwalter"
"Poll Question","Frage in Umfrage"
"Poll information","Umfrageinformation"
"Poll with the same question","Umfrage mit gleicher Frage"
"Polls","Umfragen"
"Save Answer","Antwort speichern"
"Save Poll","Umfrage speichern"
"Status","Status"
"The answer has been saved.","Die Antwort wurde gespeichert."
"The poll does not exist.","Die Umfrage existiert nicht."
"Unable to find an answer to delete.","Zu löschende Antwort konnte nicht gefunden werden."
"Visible In","Sichtbar in"
"Vote","Stimme"
"Votes Count","Stimmenanzahl"
"Votes Count:","Stimmenanzahl:"
