" was not delivered nor scanned","wurde weder zugestellt noch eingescannt"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Pro Bestellung"" bedeutet einzelne Bearbeitungsgebühr für die gesamte Bestellung. ""Pro Paket"" bedeutet individuelle Bearbeitungsgebühr für jedes Paket."
"1 Day Freight","1-Tag Fracht"
"2 Day","2 Tage"
"2 Day Freight","2-Tage-Fracht"
"2Day","2 Tage"
"2nd Day Air","2. Tag Luftpost"
"2nd Day Air AM","2. Tag Luftpost vormittags"
"2nd Day Air AM Letter","2. Tag Luftpost vormittags Briefsendung"
"2nd Day Air Letter","2. Tag Luftpost Briefsendung"
"3 Day Freight","3-Tage-Fracht"
"3 Day Select","3-Tage-Select"
"Access ID","Zugangsnummer"
"Access License Number","Zugangslizenznummer"
"Account ID","Kundenkonto-ID"
"Account Number","Kundenkontonummer"
"Additional Protection Configuration Value","Zusätzliche Absicherung Konfigurationswert"
"Additional Protection Enabled","Zusätzliche Absicherung aktiviert"
"Additional Protection Min Subtotal","Zusätzliche Absicherung Mindestzwischensumme"
"Additional Protection Value","Zusätzliche Absicherung Wert"
"Additional Protection Value Rounding Method","Zusätzliche Absicherung Rundungsmethode für den Wert"
"Adult","Erwachsener"
"Adult Signature Required","Unterschrift eines Erwachsenen erforderlich"
"Allowed Methods","Erlaubte Mittel"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Das Gewicht der Gesamtbestellung kann in kleinere Stücke geteilt werden, wenn es %s %s überschreitet, um genaue Berechnung der Versandkosten zu gewährleisten."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Das Gewicht der Gesamtbestellung kann in kleinere Stücke geteilt werden, wenn es 70 kg überschreitet, um genaue Berechnung der Versandkosten zu gewährleisten."
"Bound Printed Matter","Gebundene Drucksache"
"Break bulk economy","Sperrgut-Economy"
"Break bulk express","Sperrgut-Express"
"Business Service Center","Geschäftskundenservicezentrum"
"Calculate Handling Fee","Bearbeitungsgebühr berechnen"
"Canada Standard","Kanada Standard"
"Cannot identify measure unit for %s","Maßeinheit für %s kann nicht identifiziert werden"
"Cannot identify weight unit for %s","Gewichtseinheit für %s kann nicht identifiziert werden."
"Cannot retrieve shipping rates","Versandkosten konnten nicht abgerufen werden."
"Centimeters","Zentimeter"
"Commercial","Kommerziell"
"Configuration","Konfiguration"
"Container","Container"
"Content Type","Art des Inhaltes"
"Customer Packaging","Kundenverpackung"
"Customer Supplied Package","Vom Kunden geliefertes Paket"
"Customer services","Kundenservice"
"DHL","DHL"
"DHL (Deprecated)","DHL (veraltet)"
"Debug","Debug"
"Default Package Height","Standard Verpackungshöhe"
"Default Package Length","Standard Verpackungslänge"
"Default Package Width","Standard Verpackungsbreite"
"Delivered","Zugestellt"
"Delivery Confirmation","Lieferbestätigung"
"Depth","Tiefe"
"Destination Type","Zieltyp"
"Destination facility code is empty","Ziel Einrichtungscode ist leer"
"Development","Entwicklung"
"Direct","Direkt"
"Displayed Error Message","Angezeigte Fehlermeldung"
"Divide Order Weight","Teilen Sie das Bestellgewicht"
"Documents","Dokumente"
"Domestic Shipment Days","Versandtage im Inland"
"Domestic economy select","Auswahl heimische Wirtschaft"
"Domestic express","Inland Express"
"Drop Box","Briefkasten"
"Dropoff","Einwurf"
"Easy shop","Katalog"
"Economy select","Auswahl Wirtschaft"
"Empty response","Leere Rückmeldung"
"Enable Negotiated Rates","Vereinbarte Kosten aktivieren"
"Enabled for Checkout","Fertig zum Checkout"
"Enables/Disables SSL verification of Magento server by UPS.","Aktiviert/Deaktiviert die SSL-Überprüfung des Magneto Servers von UPS."
"Error #%s : %s","Fehler #%s : %s"
"Error #%s : %s (%s)","Fehler #%s: %s (%s)"
"Error #%s: %s","Fehler #%s: %s (%s)"
"Europack","Europack"
"Europe First Priority","Europa Höchste Priorität (Europe First Priority)"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","Umtauschkurs %s (Basiswährung) -> %s nicht gefunden. DHL-Methode %s übersprungen"
"Express","Express"
"Express 10:30","Express 10:30"
"Express 10:30 AM","Express bis 10:30 Uhr"
"Express 12:00","Express 12:00"
"Express 9:00","Express 9:00"
"Express Mail","Express-Sendung"
"Express Saturday","Express-Samstagszustellung"
"Express Saver","Express-Saver"
"Express easy","Express easy"
"Express envelope","Express-Umschlag"
"Express worldwide","Express Weltweit"
"Failed to parse xml document: %s","Konnte das XML-Dokument nicht analysieren: %s"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"FedEx Box","FedEx Box"
"FedEx Envelope","FedEx Brief (FedEx Envelope)"
"FedEx Pak","FedEx Paket (FedEx Pak)"
"FedEx Tube","FedEx Röhre (FedEx Tube)"
"First Overnight","Erste Klasse Übernacht-Service (First Overnight)"
"First-Class","Erste Klasse (First-Class)"
"Flat","Einheitstarif (Flat)"
"Flat-Rate Box","Flatrate Box"
"Flat-Rate Envelope","Flatrate Envelope"
"Free Method","Kostenloses Mittel"
"Free Shipping with Minimum Order Amount","Kostenloser Versand dank Mindestsumme der Bestellung"
"Freight","Fracht"
"Freight worldwide","Fracht Weltweit"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Gift","Geschenk"
"Girth","Umfang"
"Globalmail business","Globalmail Business"
"Ground","Ground"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Commercial"
"Handling Applied","Hinzugefügte Bearbeitungsgebühren"
"Handling Fee","Bearbeitungsgebühren"
"Height","Höhe"
"Height, width and length should be equal or greater than %s","Höhe, Breite und Tiefe sollten gleich oder größer als %s sein"
"Home Delivery","Lieferung frei Haus"
"Inches","Zoll"
"Indirect","Indirekt"
"International Economy","International Economy"
"International Express","International Express"
"International First","International Erste Klasse (International First)"
"International Ground","International Landweg"
"International Priority","International Priorität (International Priority)"
"International Shipment Days","International Versandtage"
"Intl Economy Freight","International Economy Fracht"
"Intl Priority Freight","International Priority Fracht"
"Jetline","Jetline"
"Jumbo box","Jumbo Box"
"Key","Schlüssel"
"Kilograms","Kilogramm"
"Large","Groß"
"Large Express Box","Große Expressbox"
"Length","Länge"
"Letter","Brief"
"Library","Sammlung"
"Live","Live"
"Machinable","Maschinell bearbeitbar"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Höchstgewicht pro Sendung (Bitte fragen Sie Ihren Versanddienstleister nach dem Höchstgewicht der Sendung.)"
"Media Mail","Media Mail"
"Medical express","Medikamente Express"
"Medium Express Box","Mittlere Expressbox"
"Merchandise","Trikots"
"Meter Number","Anzahl Meter"
"Minimum Order Amount for Free Shipping","Mindestbestellmenge für kostenlosen Versand."
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Mindestgewicht der Verpackung (bitte wenden Sie sich an Ihren Frachtführer, um das zulässige Mindestgewicht der Verpackung zu erfragen)"
"Mode","Modus"
"National Freight","Nationale Fracht"
"Next Afternoon","Am nächsten Nachmittag"
"Next Day Air","Am nächsten Tag per Luftpost"
"Next Day Air Early AM","Am nächsten Tag per Luftpost am frühen Vormittag"
"Next Day Air Early AM Letter","Am nächsten Tag per Luftbrief am frühen Vormittag"
"Next Day Air Intra (Puerto Rico)","Am nächsten Tag per Inlands-Luftpost (Puerto Rico)"
"Next Day Air Letter","Am nächsten Tag per Luftbrief"
"Next Day Air Saver","Am nächsten Tag per Air Saver"
"Next Day Air Saver Letter","Am nächsten Tag per Air Saver Brief"
"No","Nein"
"No packages for request","Keine Sendungen angefordert"
"Non Documents","Keine Dokumente"
"Non documents","Keine Dokumente"
"Non-rectangular","Nicht rechteckig"
"None","Keins"
"Not Required","Nicht erforderlich"
"Order","Bestellung"
"Origin of the Shipment","Herkunftsort der Sendung"
"Origin serviceAreaCode is missing","Ursprungsservice AreaCode fehlt"
"Other","Sonstige"
"Others","Anderes"
"PAK","PAK"
"Package","Verpackung"
"Package Description","Beschreibung der Verpackung"
"Packages Request Type","Pakete-Anforderungstyp"
"Packaging","Verpackungsmaterial"
"Pallet","Strohsack"
"Parcel","Paket"
"Parcel Post","Paketpost"
"Password","Passwort"
"Pickup Method","Abholmethode"
"Piece Id barcode is missing","Stück ID Barcode fehlt"
"Piece number information is missing","Information zur Stückzahl fehlt"
"Please make sure to use only digits here. No dashes are allowed.","Bitte geben Sie hier nur Ziffern ein. Striche sind unzulässig."
"Pounds","Pfund"
"Priority Mail","Eilpost"
"Priority Overnight","Eilpost Übernacht"
"Product content code is invalid","Produkt-Inhaltscode ist ungültig"
"Product name is missing","Produktname fehlt"
"Receiver","Empfänger"
"Rectangular","Rechteckig"
"Regular","Regulär"
"Regular Pickup","Reguläre Abholung"
"Request Courier","Kurier anfordern"
"Required","Erforderlich"
"Required for negotiated rates; 6-character UPS.","Für vereinbarte Raten erforderlich; 6-Buchstaben UPS"
"Residential","Stationär"
"Residential Delivery","Lieferung an den stationären Wohnsitz"
"Response is in the wrong format","Antwort im falschen Format"
"Return","Retoure / Rücksendung"
"Round","Rund"
"Routing barcode is missing","Routen-Barcode fehlt"
"Same day","Am selben Tag"
"Sample","Beispiel"
"Sandbox Mode","Sandkasten-Modus"
"Second Day Service","Lieferung am zweiten Tag"
"Secure Gateway URL","Sichere Eingangs-URL"
"Secureline","Secureline"
"Sender","Absender"
"Sender city info is missing","Stadtinformation Absender fehlt"
"Sender contact name is missing","Kontaktname Absender fehlt"
"Sender country info is missing","Information Absenderland fehlt"
"Service type does not match","Service-Typ stimmt nicht überein"
"Ship to Applicable Countries","Versand in zutreffende Länder"
"Ship to Specific Countries","Versand in angegebene Länder"
"Shipment Contains Hazardous Materials","Sendung enthält gefährliche Substanzen"
"Shipment Dutiable","Sendung zollpflichtig"
"Shipment Duty Payment Type","Versand Zoll Zahlungstyp"
"Shipment Type","Versandtyp"
"Shipment is not available.","Versand nicht verfügbar."
"Shipment picked up","Sendung abgeholt"
"Shipper Number","Nummer des Spediteurs"
"Shipping Key","Sendungsnummer"
"Shipping Key (International)","Sendungsnummer (International)"
"Show Method if Not Applicable","Wenn nicht anwendbar, Verfahren anzeigen"
"Signature Required","Unterschrift erforderlich"
"Size","Grösse"
"Small Express Box","Kleine Express Box"
"Smart Post","Smart Post"
"Sort Order","Sortierreihenfolge"
"Specific","Spezifik"
"Sprintline","Sprintline"
"Standard Overnight","Standard über Nacht"
"Station","Station"
"Subtotal","Zwischensumme"
"Subtotal With Discount","Zwischensumme mit Preisnachlass"
"The response is in wrong format.","Die Antwort hat ein falsches Format"
"There is no available method for selected shipping address.","Für die ausgewählte Methode ist keine Versandadresse verfügbar"
"There is no items in this order","Es gibt keine Artikel in dieser Bestellung"
"Third Party","Dritte Person"
"Title","Titel"
"To Lower","herabsetzen"
"To Upper","hochsetzen"
"Tracking XML URL","Nachverfolgung XML URL"
"UPS","UPS"
"UPS Expedited","UPS Expeditiert"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express in der Frühe"
"UPS Express Plus","USP Express Plus"
"UPS Ground","UPS Boden"
"UPS Letter Envelope","UPS Briefumschlag"
"UPS Next Day Air","UPS Luftfracht am Folgetag"
"UPS Next Day Air Early A.M.","UPS Luftfracht am frühen Morgen des nächsten Tages"
"UPS Next Day Air Saver","UPS Luftfracht Absicherung am Folgetag"
"UPS Saver","UPS Absicherung"
"UPS Second Day Air","UPS Luftfracht am zweiten Tag"
"UPS Second Day Air A.M.","UPS Luftfracht am zweiten Tag Früh"
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Drei Tage Auswahl"
"UPS Today Dedicated Courrier","UPS Heute bestimmter Courrier"
"UPS Today Express","UPS Heute Epress"
"UPS Today Express Saver","UPS Heute Express Absicherung"
"UPS Today Intercity","UPS Heute Intercity"
"UPS Today Standard","UPS Heute Standard"
"UPS Tube","UPS Untergrundbahn"
"UPS Type","UPS Typ"
"UPS Worldwide 10 kilo","UPS Weltweit 10 Kilogramm"
"UPS Worldwide 25 kilo","UPS Weltweit 25 Kilogramm"
"UPS Worldwide Expedited","UPS Weltweit Epeditiert"
"UPS Worldwide Express","UPS Weltweit Express"
"UPS Worldwide Express Plus","UPS Weltweit Express Plus"
"UPS Worldwide Express PlusSM","UPS Weltweit Express PlusSM"
"UPS Worldwide Saver","UPS Weltweit Spar"
"USPS","USPS"
"Unable to retrieve tracking","Nachverfolgung kann nicht abgerufen werden"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Unknown error","Unbekannter Fehler"
"Used only when ""Additional Protection Value"" is set to ""Configuration"". Can contain only numeric amount.","Nur wenn ""Wert des zusätzlichen Schutzes"" auf ""Konfigurieren"" eingestellt ist. Darf nur Zahlenwert enthalten."
"User ID","Benutzerkennung"
"Variable","Variable"
"Waybill barcode information is missing","Frachtbrief Barcodeinformation fehlt"
"Weight Unit","Gewichtseinheit"
"Weight unit is invalid","Gewichtseinheit ist ungültig"
"Width","Breite"
"Worldwide Expedited","Weltweit Expediert"
"Worldwide Express","Weltweit Express"
"Worldwide Express Letter","Weltweit Expressbrief"
"Worldwide Express Plus","Weltweit Express Plus"
"Worldwide Express Plus Letter","Weltweit Express Plus Brief"
"Worldwide Express Saver","Weltweit Express Absicherung"
"Wrong Content Type.","Falscher Inhaltstyp."
"Wrong Region.","Falsche Region."
"Yes","Ja"
"Your Packaging","Ihre Verpackung"
"Zero shipping charge for '%s'","Null Versandkosten für '%s'"
"cm","cm"
"inch","Inch"
