"Actions","Actions"
"Active","Active"
"Add New Rule","Add New Rule"
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"Apply Rules","Apply Rules"
"Attribute Set","Attribute Set"
"Catalog","Catalog"
"Catalog Price Rule","Catalog Price Rule"
"Catalog Price Rules","Catalog Price Rules"
"Category","Category"
"Conditions","Conditions"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Conditions Combination","Conditions Combination"
"Customer Groups","Customer Groups"
"Customer Registered: %s","Customer Registered: %s"
"Customer is a New Buyer: %s","Customer is a New Buyer: %s"
"Date Expire","Date Expire"
"Date From","Date From"
"Date Start","Date Start"
"Date To","Date To"
"Delete Rule","Delete Rule"
"Description","Description"
"Description: %s","Description: %s"
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Expiration Date","Expiration Date"
"Expire at: %s","Expire at: %s"
"From Date","From Date"
"General Information","General Information"
"ID","ID"
"Inactive","Inactive"
"NOT LOGGED IN","NOT LOGGED IN"
"Name: %s","Name: %s"
"New Rule","New Rule"
"No","No"
"Options","Options"
"Priority","Priority"
"Product Attribute","Product Attribute"
"Promotions","Promotions"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Save Rule","Save Rule"
"Save and Apply","Save and Apply"
"Save and Continue Edit","Save and Continue Edit"
"Start Date","Start Date"
"Start at: %s","Start at: %s"
"Status","Status"
"Stop Further Rules Processing","Stop Further Rules Processing"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"The rules have been applied.","The rules have been applied."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog."
"This rule no longer exists.","This rule no longer exists."
"To Date","To Date"
"Type","Type"
"Unable to apply rules.","Unable to apply rules."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update product's %s %s: %s","Update product's %s %s: %s"
"Websites","Websites"
"Wrong rule specified.","Wrong rule specified."
"Yes","Yes"
