"ALL","ALL"
"ANY","ANY"
"Add","Add"
"Apply","Apply"
"Conditions Combination","Conditions Combination"
"Description: %s","Description: %s"
"End Date should be greater than Start Date","End Date should be greater than Start Date"
"Expire at: %s","Expire at: %s"
"FALSE","FALSE"
"If %s of these conditions are %s:","If %s of these conditions are %s:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Name: %s"
"Open Chooser","Open Chooser"
"Perform following actions","Perform following actions"
"Please choose a condition to add...","Please choose a condition to add..."
"Please choose an action to add...","Please choose an action to add..."
"Remove","Remove"
"Start at: %s","Start at: %s"
"TRUE","TRUE"
"by","by"
"contains","contains"
"does not contain","does not contain"
"does not contains","does not contains"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"for","for"
"for greater than","for greater than"
"for or greater than","for or greater than"
"found","found"
"from","from"
"greater than","greater than"
"is","is"
"is not","is not"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"not found","not found"
"not from","not from"
"to","to"
"was","was"
"was not","was not"
