"Action","Action"
"Add Sitemap","Add Sitemap"
"Always","Always"
"CMS Pages Options","CMS Pages Options"
"Categories Options","Categories Options"
"Daily","Daily"
"Edit Sitemap","Edit Sitemap"
"Enabled","Enabled"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server."
"Filename","Filename"
"Frequency","Frequency"
"Generate","Generate"
"Generation Settings","Generation Settings"
"Google Sitemap","Google Sitemap"
"Hourly","Hourly"
"ID","ID"
"Last Time Generated","Last Time Generated"
"Link for Google","Link for Google"
"Monthly","Monthly"
"Never","Never"
"New Sitemap","New Sitemap"
"Path","Path"
"Please create the specified folder ""%s"" before saving the sitemap.","Please create the specified folder ""%s"" before saving the sitemap."
"Please define correct path","Please define correct path"
"Please make sure that ""%s"" is writable by web-server.","Please make sure that ""%s"" is writable by web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed."
"Priority","Priority"
"Products Options","Products Options"
"Sitemap","Sitemap"
"Sitemap generate Warnings","Sitemap generate Warnings"
"Start Time","Start Time"
"Store View","Store View"
"The priority must be between 0 and 1.","The priority must be between 0 and 1."
"The sitemap ""%s"" has been generated.","The sitemap ""%s"" has been generated."
"The sitemap has been deleted.","The sitemap has been deleted."
"The sitemap has been saved.","The sitemap has been saved."
"This sitemap no longer exists.","This sitemap no longer exists."
"Unable to find a sitemap to delete.","Unable to find a sitemap to delete."
"Unable to find a sitemap to generate.","Unable to find a sitemap to generate."
"Unable to generate the sitemap.","Unable to generate the sitemap."
"Valid values range: from 0.0 to 1.0.","Valid values range: from 0.0 to 1.0."
"Weekly","Weekly"
"Yearly","Yearly"
