"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Las reglas del precio de catálogo basadas en el atributo ""%s"" se han desactivado."
"Actions","Acciones"
"Active","Activo"
"Add New Rule","Añadir nueva regla"
"An error occurred while deleting the rule. Please review the log and try again.","Un error ocurrió mientras se eliminaba la regla. Por favor, revise el registro e inténtelo de nuevo."
"An error occurred while saving the rule data. Please review the log and try again.","Un error ocurrió mientras se guardaban los datos de la regla. Por favor, revise el registro e inténtelo de nuevo."
"Apply Rules","Aplicar reglas"
"Attribute Set","Conjunto de atributos"
"Catalog","Catálogo"
"Catalog Price Rule","Regla de Precios"
"Catalog Price Rules","Catálogo de Normas sobre Precios"
"Category","Categoría"
"Conditions","Condiciones"
"Conditions (leave blank for all products)","Condiciones (para todos los productos déjelo en blanco)"
"Conditions Combination","Combinación de condiciones"
"Customer Groups","Grupos de Cliente"
"Customer Registered: %s","Cliente Registrado: %s"
"Customer is a New Buyer: %s","El Cliente es un Nuevo Comprador: %s"
"Date Expire","Fecha de caducidad"
"Date From","Fecha a partir de"
"Date Start","Fecha de inicio"
"Date To","Fecha"
"Delete Rule","Eliminar Regla"
"Description","Descripción"
"Description: %s","Descripción: %s"
"Edit Rule","Editar Regla"
"Edit Rule '%s'","Editar Regla '%s'"
"Expiration Date","Fecha de Caducidad"
"Expire at: %s","Expira en: %s"
"From Date","A partir de la fecha"
"General Information","Información general"
"ID","ID"
"Inactive","Inactivo"
"NOT LOGGED IN","NO CONECTADO"
"Name: %s","Nombre: %s"
"New Rule","Nueva Regla"
"No","No"
"Options","Opciones"
"Priority","Prioridad"
"Product Attribute","Atributos del producto"
"Promotions","Promociones"
"Rule Information","Información sobre la Regla"
"Rule Name","Nombre de la Regla"
"Save Rule","Guardar Regla"
"Save and Apply","Guardar y Aplicar"
"Save and Continue Edit","Guardar y continuar editando"
"Start Date","Fecha de Inicio"
"Start at: %s","Comienza a partir de: %s"
"Status","Estado"
"Stop Further Rules Processing","Detener el Procesamiento de Reglas adicionales"
"The rule has been deleted.","La regla ha sido eliminada."
"The rule has been saved.","La regla ha sido guardada."
"The rules have been applied.","Las reglas han sido aplicadas."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Hay reglas que han sido modificadas pero no aplicadas. Por favor, haga clic en Aplicar Reglas con el fin de ver el efecto inmediato en el catálogo."
"This rule no longer exists.","Esta regla ya no existe."
"To Date","Hasta la fecha"
"Type","Tipo"
"Unable to apply rules.","No se pueden aplicar las reglas."
"Unable to find a rule to delete.","No se puede encontrar una regla para eliminar."
"Update product's %s %s: %s","Actualizar los productos de %s %s: %s"
"Websites","Páginas web"
"Wrong rule specified.","Regla especificada incorrecta."
"Yes","Sí"
