"1.5.0.0 & later","1.5.0.0 y posterior"
"Action","Acción"
"Add Author","Añadir Autor"
"Add Contents Path","Añadir Trayectoria de Contenidos"
"Add PHP Extension dependency","Añadir dependencia de la Extensión PHP"
"Add Package dependency","Añadir dependencia del Paquete"
"Add files","Agregar archivos"
"Authors","Autores"
"Channel","Canal"
"Contents","Contenido"
"Create Extension Package","Crear paquete de extensión"
"Dependencies","Dependencias"
"Description","Descripción"
"Edit Extension","Editar extensión"
"Email","Correo electrónico"
"Extension","Extensión"
"Extensions","Extensiones"
"Failed to create the package.","No se pudo crear el paquete."
"Failed to load the package data.","No se pudo cargar los datos del paquete."
"Failed to save the package.","No se pudo guardar el paquete."
"Files","Archivos"
"Folder","Carpeta"
"Ignore","Ignorar"
"Include","Incluir"
"License","Licencia"
"License URI","Dirección URI de la licencia"
"Load Local Package","Cargar paquete local"
"Load local Package","Cargar Paquete local"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Administrador de Magento Connect"
"Max","Máximo"
"Maximum","Máximo"
"Min","Mínimo"
"Minimum","Mínimo"
"Name","Nombre"
"New Extension","Nueva extensión"
"PHP Version","Versión de PHP"
"Package","Paquete"
"Package Extensions","Extensiones de paquete"
"Package File Name","Nombre de archivo de paquete"
"Package Info","Información de paquete"
"Packages","Paquetes"
"Path","Camino"
"Pre-1.5.0.0","Pre 1.5.0.0"
"Release Info","Información de versión"
"Remove","Eliminar"
"Save As...","Guardar como..."
"Save Data and Create Package","Guardar datos y crear paquete"
"Save package with custom package file name","Guardar paquete con nombre de archivo de paquete personalizado"
"Summary","Resumen"
"Supported releases","Publicaciones soportadas"
"System","Sistema"
"Target","Destino"
"The package %s data has been loaded.","Se cargaron los datos del paquete %s."
"The package data has been saved.","Se guardaron los datos del paquete."
"There was a problem saving package data","Se produjo un problema al guardar los datos del paquete"
"Type","Tipo"
"User","Usuario"
