"%s","%s"
"%s already exist.","%s ya existen."
"%s already exists.","%s ya existe."
"-- Please Select --","-- Seleccionar, por favor --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">¡Aviso!</strong>Al usar CDN, en algunos casos JavaScript puede no funcionar correctamente si CDN no está en tu subdominio"
"A category object is required for determining the product request path.","Se requiere un objeto de categoría para determinar la ruta de solicitud del producto."
"Add Block Names to Hints","Agregar nombres de bloques a la ayuda"
"Add Secret Key to URLs","Agregar clave secreta a las direcciones URL"
"Add Store Code to Urls","Agregar código de tienda a las direcciones URL"
"Admin","Administrar"
"Admin Base URL","Dirección URL básica de administración"
"Admin User Emails","Correos electrónicos de usuario de administración"
"Advanced","Avanzado"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Después de seleccionar una nueva ubicación de almacenamiento multimedia, pulsa el botón Sincronizar para transferir todos los archivos multimedia a esa ubicación. Los archivos multimedia no estarán disponibles en la nueva ubicación hasta que el proceso de sincronización se complete."
"Allow Countries","Permitir países"
"Allow Symlinks","Permitir Symlinks"
"Allowed IPs (comma separated)","Direcciones IP permitidas (separadas por comas)"
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","Tipos de archivo permitidos: ICO, PNG, GIF, JPEG, APNG, SVG. No todos los navegadores son compatibles con todos estos formatos."
"Allows customers to stay logged in when switching between different stores.","Permitir que los clientes sigan con su sesión abierta al pasar de una tienda a otra."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Texto alternativo para el enlace a la siguiente página en el menú de paginación. Si queda en blanco, se utilizará la imagen de flecha predeterminada."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Texto alternativo para el enlace a la página anterior en el menú de paginación. Si queda en blanco, se utilizará la imagen de flecha predeterminada."
"An error occurred while saving. Please review the error log.","Se produjo un error al guardar. Consulte el registro de errores."
"Anchor Text for Next","Texto de ancla para página siguiente"
"Anchor Text for Previous","Texto de ancla para página anterior"
"Anchor symbol (#) is not supported in request path","El símbolo ancla (#) no está soportado en la ruta solicitada"
"Anchor symbol (#) is not supported in url rewrite suffix","El símbolo ancla (#) no está soportado en el sufijo de reescritura de url"
"Are you sure?","¿Está seguro?"
"Auto-redirect to Base URL","Redireccionar automáticamente a la dirección URL básica"
"Back","Volver"
"Backup Options","Opciones de copia de respaldo"
"Base JavaScript URL","Dirección URL básica de JavaScript"
"Base Link URL","Dirección URL básica de enlace"
"Base Media URL","Dirección URL básica multimedia"
"Base Skin URL","Dirección URL básica para apariencias"
"Base URL","Dirección URL básica"
"Before modifying the store view code please make sure that it is not used in index.php.","Antes de modificar el código de vista de tienda, asegúrese de que no se lo utilice en index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Antes de modificar el código del sitio web, asegúrese de que no se lo utilice index.php."
"Block with name ""%s"" already exists","El bloque llamado ""%s"" ya existe"
"Browser Capabilities Detection","Detección de capacidades del navegador"
"CSS Settings","Configuración de CSS"
"Cache Storage Management","Administración de almacenamiento de memoria caché"
"Cache storage may contain additional data. Are you sure that you want flush it?","El almacenamiento de caché puede contener datos adicionales. ¿Estás seguro de que deseas eliminarlo?"
"Can not create invoice. Order was not found.","No se puede crear la factura. No se encontró el pedido."
"Can't retrieve request object","No se puede recuperar el objeto solicitado"
"Can\'t retrieve entity config: %s","No se puede recuperar configuración de entidad: %s"
"Cancel","Cancelar"
"Cannot complete this operation from non-admin area.","No se puede completar esta operación desde una área que no sea de administración."
"Card type does not match credit card number.","El tipo de tarjeta no se ajusta al número de tarjeta de crédito."
"Code","Código"
"Controller file was loaded but class does not exist","Se cargó el archivo de controlador, pero la clase no existe"
"Cookie Domain","Dominio para cookies"
"Cookie Lifetime","Duración de las cookies"
"Cookie Path","Ruta de las cookies"
"Copyright","Copyright"
"Countries Options","Opciones de países"
"Create Store","Crear tienda"
"Create Store View","Crear vista de tienda"
"Create Website","Crear sitio web"
"Credit card number does not match credit card type.","El número de tarjeta de crédito no se ajusta al tipo de tarjeta de crédito."
"Current Package Name","Nombre actual del paquete"
"Custom Admin Path","Personalizar Ruta de Admin"
"Custom Design","Diseño Personalizado"
"Custom Email 1","Correo electrónico personalizado 1"
"Custom Email 2","Correo electrónico personalizado 2"
"Custom Variables","Variables personalizadas"
"Customer Support","Soporte al cliente"
"Dashboard","Panel de control"
"Date From","Fecha a partir de"
"Date To","Fecha"
"Date/time format ""%s"" is not supported.","El formato fecha/hora ""%s"" no se soporta."
"Debug","Depurar"
"Default","Predeterminada"
"Default Country","País predeterminado"
"Default Description","Descripción predeterminada"
"Default Keywords","Palabras clave predeterminadas"
"Default No-route URL","Dirección URL sin ruta predeterminada"
"Default Pages","Páginas predeterminadas"
"Default Robots","Robots predeterminados"
"Default Store","Tienda predeterminada"
"Default Store View","Vista de tienda predeterminada"
"Default Title","Título por Defecto"
"Default Web URL","Dirección URL web predeterminada"
"Delete","Eliminar"
"Delete Store","Eliminar tienda"
"Delete Store View","Eliminar vista de la tienda"
"Delete Website","Eliminar página web"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Eliminar un/una %1$s no eliminará la información asociada con el/la %1$s (ej.: categorías, productos, etc.), pero no será posible recuperar el/la %1$s. Le sugerimos que respalde la base de datos antes de eliminar el/la %1$s."
"Design","Diseño"
"Design Change","Diseñar cambio"
"Developer","Desarrollador"
"Developer Client Restrictions","Restricciones del cliente del desarrollador"
"Disable Email Communications","Desactivar las notificaciones por correo electrónico"
"Disable Modules Output","Desactivar la salida de los módulos"
"Display Demo Store Notice","Mostrar aviso de tienda de demostración"
"Duplicate Of Template Name","Duplicado del nombre de plantilla"
"Edit Design Change","Editar Diseñar cambio"
"Edit Store","Editar tienda"
"Edit Store View","Editar vista de la tienda"
"Edit Website","Editar página web"
"Empty identifier field name","Vaciar el nombre del campo del identificador"
"Empty main table name","Vaciar el nombre de la tabla principal"
"Enable Charts","Activar gráficos"
"Enable Prototype Deprecation Log","Activar registro de degradación del prototipo"
"Enabled","Habilitado"
"Enabled for Admin","Activado para el administrador"
"Enabled for Frontend","Activado para el Frontend"
"Environment Update Time","Tiempo de Actualización del Entorno"
"Error in file: ""%s"" - %s","Error el el archivo ""%s"" - %s"
"Error: Passwords do not match","Error: las contraseñas no coinciden."
"Exceptions Log File Name","Nombre del archivo de registro de excepciones"
"Favicon Icon","Icono de favoritos"
"File %s does not exist","El archivo %s no existe"
"File %s is not readable","El archivo %s no es legible"
"File system","Sistema de archivos"
"First Day of Week","Primer día de la semana"
"Flush Cache Storage","Vaciar memoria caché"
"Flush Magento Cache","Vaciar caché de Magento"
"Footer","Pie de página"
"Forgot Password Email Sender","Remitente del correo de contraseña olvidada"
"Forgot Password Email Template","Plantilla del correo de contraseña olvidada"
"General","General"
"General Contact","Contacto general"
"General Settings","Opciones generales"
"Global","Global"
"HTML Head","Encabezado HTML"
"Header","Encabezado"
"Host","Host"
"How many links to display at once.","Número de enlaces para mostrar a la vez."
"ID Path for Specified Store","Id ruta para tienda especificada"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Si la posición actual del marco no cubre la mayoría de las páginas, se procesará un enlace a la posición actual más/menos este valor."
"Incorrect credit card expiration date.","Fecha de caducidad de la tarjeta de crédito incorrecta"
"Input type ""%value%"" not found in the input types list.","El tipo de entrada ""%value%"" no se encuentra en la lista de tipos de entrada."
"Invalid base url type","El tipo de dirección URL base no es válido."
"Invalid block name to set child %s: %s","Nombre de bloque para establecer %s infantil no válido: %s"
"Invalid block type: %s","Tipo de bloque no válido: %s"
"Invalid block: %s","Bloque no válido: %s"
"Invalid connection","Conexión no válida"
"Invalid layout update handle","El controlador para actualizar el diseño no es válido."
"Invalid messages storage ""%s"" for layout messages initialization","Almacenamiento de mensajes no válido ""%s"" para el diseño de inicialización de mensajes"
"Invalid query","Consulta no válida"
"Invalid transactional email code: ","Código del mensaje transaccional no válido:"
"Invalid website\'s configuration path: %s","Ruta de configuración de la página web no válida: %s"
"JavaScript Settings","Configuración JavaScript"
"Layout","Diseño"
"Leave empty for access from any location.","Déjese en blanco para acceder desde cualquier sitio."
"Locale","Configuración regional"
"Locale Options","Opciones de configuración regional"
"Log Settings","Configuración de registro"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Registro desde Mage::log(). El archivo se encuentra ubicado en {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Registro desde Mage::logException(). El archivo se encuentra ubicado en {{base_dir}}/var/log"
"Login is Case Sensitive","Se distinguen mayúsculas al iniciar sesión."
"Logo Image Alt","Imagen del logotipo alternativa"
"Logo Image Src","Origen de la imagen del logotipo"
"Mail Sending Settings","Configuración del envío de correo"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Asegúrese de que la dirección URL base termina con '/' (barra diagonal), ej.: http://yourdomain/magento/"
"Manage Stores","Gestionar Tiendas"
"Match expressions in the same order as displayed in the configuration.","Haga coincidir las expresiones siguiendo el mismo orden que se muestra en la configuración."
"Maximum length exceeded.","Longitud máxima superada."
"Media Storage","Almacenamiento de Medios"
"Merge CSS Files","Combinar Archivos CSS"
"Merge JavaScript Files","Combinar archivos JavaScript"
"Miscellaneous HTML","Miscelánea HTML"
"Model class does not exist: %s.","La clase de modelo no existe: %s."
"New Design Change","Nuevo cambio de diseño"
"New Store View","Nueva vista de tienda"
"Pagination","Paginación"
"Path ""%value%"" is protected and cannot be used.","La ruta ""%value%"" está protegida y no se puede utilizar."
"Please define flag code.","Defina el código de marcado."
"Please enter 6 or more characters.","Ingrese 6 o más caracteres."
"Please enter a number greater than 0 in this field.","Ingrese un número mayor que 0 en este campo."
"Please enter a number lower than 100.","Por favor, introduzca un número menor que 100."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Por favor, introduzca una Clave de URL válida. Por ejemplo  ""pagina-ejemplo"", ""pagina-ejemplo.html"" o ""otronivel/pagina-ejemplo"""
"Please enter a valid URL. For example http://www.example.com or www.example.com","Ingrese una dirección URL válida. Por ejemplo: http://www.ejemplo.com o www.ejemplo.com"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Por favor, introduzca un identificador-XML válido. Por ejemplo, algo_1, bloque5, id-4."
"Please enter a valid credit card number.","Ingrese un número de tarjeta de crédito válido."
"Please enter a valid date between %s and %s","Por favor, introduzca una fecha válida entre %s y %s"
"Please enter a valid date less than or equal to %s","Por favor, introduzca una fecha válida menor o igual a %s"
"Please enter a valid day (1-%d).","Por favor, introduzca un día válido (1-%d)."
"Please enter a valid full date","Por favor, introduzca una fecha válida completa"
"Please enter a valid month (1-12).","Por favor, introduzca un mes válido (1-12)."
"Please enter a valid social security number. For example 123-45-6789.","Ingrese un número de seguro social válido. Por ejemplo: 123-45-6789."
"Please enter a valid year (1900-%d).","Por favor, introduzca un año válido (1900-%d)."
"Please enter a valid zip code.","Ingrese un código postal válido."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Por favor, introduzca una longitud válida de CSS. Por ejemplo, 100px o 77pt o 20em o .5ex o 50%"
"Please select an option.","Seleccione una opción."
"Please select one of the above options.","Seleccione una de las opciones anteriores."
"Please select one of the options.","Seleccione una de las opciones."
"Please set available and/or protected paths list(s) before validation.","Por favor, indique la(s) lista(s) de rutas disponibles y/o protegidas antes de la validación."
"Please specify payment method.","Especifique un método de pago."
"Please specify shipping method.","Especifique un método de envío."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor, utilice solo letras (a-z o A-Z) o números (0-9) solo en este campo. No están permitidos los espacios u otros caracteres."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Por favor, utilice solo letras (a-z o A-Z) o números (0-9) o espacios y # solo en este campo."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Utilice sólo letras (a-z) o números (0-9) en este campo. No se permiten espacios ni otros caracteres."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Utilice sólo letras (a-z), números (0-9) o guiones bajos (_) en este campo. El primer caracter debe ser una letra."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Utilice este formato de fecha: dd/mm/aaaa. Por ejemplo, 17/03/2006 para el 17 de marzo de 2006."
"Please wait, loading...","Espera, por favor. Cargando...."
"Polls","Encuestas"
"Port (25)","Puerto (25)"
"Profiler","Motor de perfiles"
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","El fichero solicitado no puede incluir accesos de ejecución tranversal (""../"", ""..\ notación)"""
"Resource is not set.","No se estableció el recurso."
"Root Category","Categoría de raíz"
"Sales Representative","Representante de ventas"
"Save Website","Guardar sitio web"
"Security","Seguridad"
"Select Media Database","Selecionar base de datos de medios"
"Sender Email","E-mail del Remitente"
"Session Cookie Management","Gestión de las Cookies de sesión"
"Session Validation Settings","Configuración de validación de sesión"
"Set Return-Path","Establecer ruta de retorno"
"Sort Order","Ordenar Pedido"
"Startup Page","Página de inicio"
"Status","Estado"
"Storage Configuration for Media","Configuración del almacenamiento de medios"
"Store Contact Address","Almacenar información de contacto"
"Store Contact Information","Almacenar información de Contacto"
"Store Contact Telephone","Almacenar teléfono de contacto"
"Store Email Addresses","Almacenar dirección de email"
"Store View","Ver Tienda"
"Store View Information","Ver Información de la Tienda"
"Store view doesn't exist","El nombre de la tienda no existe"
"System","Sistema"
"System Log File Name","Nombre de archivo de registro del sistema"
"Template Settings","Modelo de los ajustes"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","El %s que ha introducido no es válido. Por favor asegurese de que sigue el formato ""http://domain.com/"""
"The store does not exist","La tienda no existe"
"The store has been saved.","La tienda se ha guardado."
"The store view has been saved","La vista de tienda se ha guardado"
"The value is not within the specified range.","El valor no está dentro del rango permitido."
"The website does not exist.","El sitio web no existe."
"The website has been deleted.","El sitio web se eliminó."
"Themes","Temas"
