"""%s"" contains not only digit characters.","""%s"" no solo contiene dígitos."
"""%s"" does not fit the entered date format.","""%s"" no se ajusta al formato de fecha introducido."
"""%s"" exceeds the allowed file size.","""%s"" supera el tamaño de archivo permitido."
"""%s"" exceeds the allowed length.","""%s"" excede la extensión permitida."
"""%s"" has not only alphabetic and digit characters.","""%s"" no solo contiene letras y dígitos."
"""%s"" has not only alphabetic characters.","""%s"" no solo contiene letras."
"""%s"" height exceeds allowed value of %s px.","""%s"" excede la altura permitida para el valor de %s px."
"""%s"" invalid type entered.","""%s"" introducido inválido."
"""%s"" is a required value.","""%s"" es un valor necesario."
"""%s"" is an empty string.","""%s"" es una cadena vacía."
"""%s"" is not a valid URL.","""%s"" no es un URL válido."
"""%s"" is not a valid date.","""%s"" no es una fecha válida."
"""%s"" is not a valid email address.","""%s"" no es una dirección de e-mail válida."
"""%s"" is not a valid file","""%s"" no es un archivo válido"
"""%s"" is not a valid file extension.","""%s"" no es una extensión de archivo válida."
"""%s"" is not a valid file.","""%s"" no es un archivo válido."
"""%s"" is not a valid hostname.","""%s"" no es un servidor válido."
"""%s"" is not a valid image format","""%s"" no es un formato de imagen válido"
"""%s"" length must be equal or greater than %s characters.","La longitud de ""%"" debe ser igual o mayor a los caracteres de %."
"""%s"" length must be equal or less than %s characters.","La longitud de ""%"" debe ser igual o menor a los caracteres de %."
"""%s"" width exceeds allowed value of %s px.","""%s"" el ancho excede el valor permitido de %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' parece ser un servidor DNS pero no puede extraer la parte TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' parece ser un servidor DNS pero no puede hacer coincidir en TLD con la lista"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' parece ser un servidor DNS pero no puede hacer coincidir el esquema del servidor con el TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' parece ser un servidor DNS pero contiene un guión en una posición inválida"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","%value%' parece ser un nombre de servidor DNS pero no se puede descifrar la notación del Punycode introducido"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' parece ser un nombre de red local pero no se permiten los nombres de redes locales"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' parece ser una dirección IP, pero no se permiten direcciones IP"
"'%value%' does not appear to be a valid URI hostname","'%value%' no parece ser un nombre de servidor URI válido"
"'%value%' does not appear to be a valid local network name","'%value%' no parece ser un nombre válido de red local"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' no concuerda con la estructura prevista de un nombre de servidor DNS"
"A joint field with this alias (%s) is already declared","Ya se ha declarado un campo conjunto con este alias (%s)"
"Add Option","Agregar opción"
"An error occurred while loading a record, aborting. Error: %s","Se produjo un error al cargar un registro. Se anulará la operación. Error: %s"
"An error occurred while loading the collection, aborting. Error: %s","Se produjo un error al cargar la recopilación. Se anulará la operación. Error: %s"
"An error occurred while saving a record, aborting. Error: ","Se produjo un error al guardar un registro. Se anulará la operación. Error: %s"
"Attempt to add an invalid object","Intento de añadir un objeto inválido"
"Attribute '%s' used in configurable products","Campo ""%s"" utilizado en productos configurables"
"Attribute Code","Código de atributo"
"Attribute Label","Etiqueta de atributo"
"Attribute Properties","Propiedades de atributo"
"Attribute object is undefined","Objeto de campo indefinido"
"Attribute set with the ""%s"" name already exists.","El atributo fijado con el nombre ""%s"" ya existe."
"Attribute with the same code","Atributo con el mismo código"
"Can\'t create table: %s","No se puede crear la tabla: %s"
"Catalog Input Type for Store Owner","Tipo de entrada de catálogo para el dueño de la tienda"
"Current module EAV entity is undefined","Entidad de módulo EAV actual indefinida"
"Current module pathname is undefined","Módulo URL actual indefinido"
"Data integrity: No header row found for attribute","Integridad de datos: No se ha encontrado una línea de encabezamiento para el campo"
"Date","Fecha"
"Decimal Number","Número decimal"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","La opción de orden predeterminado de lista de productos no existe entre los órdenes de lista de productos disponibles"
"Default Value","Valor predeterminado"
"Default option value is not defined","Valor automático indefinido"
"Delete","Eliminar"
"Dropdown","Desplegar"
"Email","Correo electrónico"
"Entity collection expected.","Se espera una recopilación de entidades."
"Entity collections expected.","Se esperan recopilaciones de entidades."
"Entity instance is not defined","Contenido de la entidad indefinido"
"Entity is not initialized","Entidad no iniciada"
"Entity object is undefined","Objeto de entidad indefinido"
"Failed to load node %s from config","Fallo al cargar el nodo %s de la configuración"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","Para uso interno. Debe ser único, sin espacios. La longitud máxima del código de atributo debe ser menor que los símbolos %s"
"Form Element with the same attribute","Formar elemento con el mismo atributo"
"Form Fieldset with the same code","Formar conjunto de campos con el mismo código"
"Form Type with the same code","Formar tipo con el mismo código"
"Form code is not defined","Código indefinido"
"Frontend label is not defined","Etiqueta inicial indefinida"
"Input Validation for Store Owner","Validación de entrada para el dueño de la tienda"
"Integer Number","Número entero"
"Invalid EAV attribute.","Atributo de EAV no válido."
"Invalid alias, already exists in joint attributes","Alias no válido, ya existe en campos conjuntos"
"Invalid attribute name: %s","Nombre de campo no válido: %s"
"Invalid attribute requested: %s","Se solicitó un atributo no válido: %s"
"Invalid attribute type","Tipo de campo no válido"
"Invalid character encountered in increment ID: %s","Se encontró un caracter no válido en el ID de incremento: %s"
"Invalid date","Fecha no válida"
"Invalid default date","Fecha por defecto no válida"
"Invalid default decimal value","Valor decimal por defecto no válido"
"Invalid entity specified","Se especificó una entidad no válida"
"Invalid entity supplied.","Se suministró una entidad no válida."
"Invalid entity supplied: %s","Entidad indicada no válida: %s"
"Invalid entity type","Tipo de entidad no válido"
"Invalid entity_id, skipping the record.","entity_id no válido. Se omitirá el registro."
"Invalid entity_type specified: %s","Se especificó un entity_type no válido: %s"
"Invalid foreign key","Clave externa no válida"
"Invalid form type.","Tipo de forma no válido."
"Invalid joint fields","Campos de la joint no válidos"
"Invalid store specified","Se especificó una tienda no válida"
"Invalid type given. String expected","Tipo incorrecto introducido. Se esperaba una cadena"
"Joined field with this alias is already declared","Ya se ha declarado un campo de join con este alias"
"Joint field or attribute expression with this alias is already declared","Ya se ha declarado un campo de join o una expresión de atributos con este alias"
"Letters","Letras"
"Letters (a-z, A-Z) or Numbers (0-9)","Letras (a-z, A-Z) o números (0-9)"
"Loaded %d records","Se cargaron %d registros"
"Maximum length of attribute code must be less then %s symbols","La longitud máxima del código de atributo tiene que ser menor de %s símbolos"
"Multiple Select","Elección múltiple"
"No","No"
"No options found in config node %s","No se encontraron opciones en el nodo de configuración %s"
"None","Nada"
"Not shared with other products","No se comparte con otros productos"
"Problem loading the collection, aborting. Error: %s","Se produjo un problema al cargar la recopilación. Se anulará la operación. Error: %s"
"Problem saving the collection, aborting. Error: %s","Se produjo un problema al guardar la recopilación. Se anulará la operación. Error: %s"
"Required","Obligatorio"
"Saved %d record(s).","Se guardaron %d registros."
"Source model ""%s"" not found for attribute ""%s""","No se ha encontrado el modelo fuente ""%s"" para el atributo ""%s"""
"System","Sistema"
"Text Area","Área de Texto"
"Text Field","Campo de Texto"
"The attribute code \'%s\' is reserved by system. Please try another attribute code","El código de atributo \'%s\' está reservado por el sistema. Por favor, prueba con otro código de atributo"
"The value of attribute ""%s"" must be unique","El valor del atributo ""%s"" tiene que ser único"
"The value of attribute ""%s"" must be unique.","El valor del atributo ""%s"" tiene que ser único."
"This attribute is used in configurable products","Este atributo se utiliza en productos configurables"
"URL","URL"
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor único (no se comparte con otros productos)"
"Unknown parameter","Parámetro desconocido"
"Values Required","Valores obligatorios"
"Wrong attribute group ID","ID de grupo de atributos no válido"
"Wrong attribute set ID","ID de conjunto de atributos no válido"
"Wrong entity ID","ID de entidad no válido"
"Wrong type definition for %s","Definición de tipo no válida para %s"
"Yes","Sí"
"Yes/No","Si/No"
