"Express Checkout and Order have been canceled.","El Pedido y la Salida Express se han cancelado."
"Express Checkout has been canceled.","La Salida Express se ha cancelado."
"Fetch","Capturar"
"PayPal Express Checkout (Payflow Edition) Shortcut Wrapper","Contenedor de acceso directo a Pago Express de PayPal (Edición de Flujo de Pago)"
"PayPal Express Checkout Token does not exist.","El símbolo para la Salida Express con Paypal no existe."
"PayPal Express Order Review Form","Formulario para revisar el pedido express de Paypal"
"PayPal Settlement Reports","Informes de Contrato de PayPal"
"Payment has been declined. Please try again.","El pago ha sido rechazado. Vuelva a intentarlo."
"Pending PayPal","Paypal pendiente"
"Reports","Informes"
"Sales","Ventas"
"Solo","Solo"
"Switch/Maestro","Cambiar/Maestro"
"Unable to cancel Express Checkout.","No se ha podido cancelar la Salida Express."
"Unable to initialize Express Checkout review.","No se ha podido iniciar la revisión de Salida Express."
"Unable to place the order.","No ha sido posible realizar el pedido."
"Unable to process Express Checkout approval.","No se ha podido procesar la aprobación de Salida Express."
"Unable to start Express Checkout.","No se ha podido iniciar la Salida Express."
"Unable to update shipping method.","No se ha podido actualizar el método de transporte."
"View","Ver"
"View Transaction","Ver transacción"
"Wrong PayPal Express Checkout Token specified.","Símbolo especificado de Salida Express con Paypal incorrecto."
"You will be redirected to the PayPal website in a few seconds.","Volverá a la página web de Paypal en unos segundos."
