"ALL","TODO"
"ANY","ALGUNOS"
"Add","Agregar"
"Apply","Solicitar"
"Conditions Combination","Combinación de condiciones"
"Customer Groups must be specified.","Se deben especificar los grupos de clientes."
"End Date must be greater than Start Date.","La fecha de cierre debe ser posterior a la fecha de comienzo."
"FALSE","FALSO"
"If %s of these conditions are %s:","Si %s de estas condiciones son %s:"
"Invalid discount amount.","La cantidad del descuento no es válida."
"Open Chooser","Abrir selector"
"Perform following actions","Realizar las siguientes acciones"
"Please choose a condition to add...","Por favor, elige una condición para añadir..."
"Please choose an action to add...","Elija una opción para añadir..."
"Remove","Eliminar"
"TRUE","VERDADERO"
"Websites must be specified.","Se deben especificar las páginas web."
"by","por"
"contains","contiene"
"does not contain","no contiene"
"does not contains","no contiene"
"equals or greater than","igual o mayor que"
"equals or less than","igual o menor que"
"for","para"
"for greater than","para mayor que"
"for or greater than","para o mayor que"
"found","Encontrado."
"from","desde"
"greater than","mayor que"
"is","Es."
"is not","No es."
"is not one of","no es uno de"
"is one of","es uno de"
"less than","menor que"
"not found","No encontrado."
"not from","no desde"
"to","a"
"was","fue"
"was not","no fue"
