" for more information or ","para más información o"
"# of Items (and above)","número de artículos (o más)"
"# of Items vs. Destination","número de artículos vs. destino"
"Allow Shipping to Multiple Addresses","Permitir envío a varias direcciones"
"An error occurred while import table rates.","Ha habido un error al importar los índices de las tablas."
"Calculate Handling Fee","Calcular el gastos de envío"
"Carrier:","Transportista:"
"City","Ciudad"
"Close Window","Cerrar Ventana"
"Condition","Condición"
"Country","País"
"Custom Value","Valor Personalizado"
"Date","Fecha"
"Delivered on:","Enviado el día:"
"Delivered to:","Enviado a:"
"Description","Descripción"
"Displayed Error Message","Mostrado mensaje de error"
"Enabled","Habilitado"
"Error:","Error:"
"Export","Exportar"
"Fixed","Fijo"
"Flat Rate","Tarifa plana"
"Free Shipping","Transporte gratuito"
"Google Sitemap Section","Sección Mapa del Sitio Google"
"Handling Fee","Gastos de Tramitación"
"Import","Importar"
"Include Virtual Products in Price Calculation","Incluir Productos Virtuales en el cálculo del precio"
"Info:","Información:"
"Invalid Table Rate code for type %s: %s","No válido: Tabla de Costes para tipo %s: %s"
"Invalid Table Rate code type: %s","No válido: tipo de código de Tabla de Coste %s"
"Invalid Table Rates File Format","No válido: formato de archivo de Tabla de Costes"
"Local Time","Hora Local"
"Location","Localidad"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Cantidad máxima permitida para el envío a varias direcciones"
"Method Name","Nombre de Método"
"Minimum Order Amount","Pedido mínimo"
"N/A","N/A"
"None","Nada"
"Options","Opciones"
"Order Subtotal (and above)","Subtotal del Pedido"
"Origin","Origen"
"Per Order","Por Pedido"
"Per Package","Por Paquete"
"Percent","Porcentaje"
"Price","Precio"
"Price vs. Destination","Precio vs. Destino"
"Region/State","Región/Provincia"
"Service Type:","Tipo de Servicio:"
"Ship to Applicable Countries","Enviar a los países aplicables"
"Ship to Specific Countries","Enviar a países específicos"
"Shipment #","Envío #"
"Shipment Tracking Popup","Popup de Seguimiento del Envío"
"Shipped or billed on:","Enviado o facturado el día:"
"Shipping Methods","Métodos de envío"
"Shipping Methods Section","Sección de Métodos de Envío"
"Shipping Settings","Ajustes de Envío"
"Shipping Settings Section","Sección de Ajustes de Envío"
"Show Method if Not Applicable","Mostrar el método si no se aplica"
"Signed by:","Firmado por:"
"Sort Order","Ordenar Pedido"
"Status:","Situación:"
"Store Pickup","Recogida en tienda"
"Street Address","Dirección postal"
"Street Address Line 2","Línea 2 de dirección postal"
"Table Rates","Tabla de Costes"
"The shipping module is not available for selected delivery country.","El módulo de envío no está disponible en el país seleccionado"
"The shipping module is not available.","El módulo de envío no está disponible"
"There is no tracking available for this shipment.","No se dispone de seguimiento para este envío"
"There is no tracking available.","No hay seguimiento disponible"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Este método de envío actualmente no está disponible. Si desearía usar este método para sus envíos, póngase en contacto con nosotros."
"This shipping method is not available, please specify ZIP-code","Este método de envío no está disponible, por favor especifique un código postal."
"Title","Título"
"Track:","Seguir:"
"Tracking Information","Información de seguimiento"
"Tracking Number:","Número de seguimiento:"
"Tracking information is currently not available. Please ","La información de seguimiento actualmente no está disponible. Por favor"
"Tracking information is currently unavailable.","La información de seguimiento actualmente no está disponible."
"Type","Tipo"
"Weight (and above)","Peso (o más)"
"Weight vs. Destination","Peso vs Destino"
"Weight:","Peso:"
"ZIP/Postal Code","Código Postal"
"contact us","contáctenos"
"email us at ","envíenos un email a:"
