"3D Secure CAVV","CAVV 3D sécurisé"
"3D Secure Card Validation","Validation carte 3D sécurisée"
"3D Secure Cardholder Validation","Validation porteur de carte 3D sécurisée"
"3D Secure Electronic Commerce Indicator","Indicateur commerce électronique 3D sécurisé"
"3D Secure Verification Result","Résultat vérification 3D sécurisé"
"3D Secure XID","XID 3D sécurisé"
"Card Issuer Liability","Responsabilité de l'émetteur de la carte"
"Card Verification","Vérification carte"
"Enrolled","Enrôlé"
"Enrolled but Authentication Unavailable","Enrôlé mais authentification non disponible"
"Failed","Échec"
"MasterCard SecureCode","Code sûr MasterCard"
"Merchant Liability","Responsabilité du commerçant"
"Not Enrolled","Non enrôlé"
"Order cannot be placed.","Commande ne peut être placée."
"Payment information error. Please start over.","Erreur d'infos de paiement. Veuillez recommencer."
"Please continue with placing order.","Veuillez continuer à faire la commande."
"Please verify the card with the issuer bank before placing the order.","Veuillez vérifier la carte avec la banque émettrice avant de passer la commande."
"Please verify the card with the issuer bank:","Veuillez vérifier la carte avec la banque émettrice"
"Start/Reset Validation...","Démarrer/réinitialiser validation..."
"Successful","Réussi"
"Successful attempt","Tentative réussie"
"The card has failed verification with the issuer bank.","La carte n'a pas réussie sa vérification avec la banque émettrice."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Une mauvaise information de paiement a été soumise ou le temps imparti s'est achevé. Veuillez réessayer."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Une mauvaise information de paiement a été soumise ou temps imparti est achevé. Veuillez réessayer."
"This card has failed validation and cannot be used.","La carte n'a pu être validée et ne peut être utilisée."
"To ensure the security of your transactions","Pour assurer la sécurité de vos transactions"
"Unable to complete","Ne peut compléter"
"Validation failed.","Validation a échouée."
"Verification Failed","Vérification a échouée"
"Verification Successful","Vérification réussie"
"Verification cannot be processed","Vérification ne peut être traitée"
"Verified by Visa","Vérifié par Visa"
