"%s","%s"
"%s already exist.","%s existe déjà."
"%s already exists.","%s existe déjà."
"-- Please Select --","-- Veuillez sélectionner --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Attention !</strong> Lorsque vous utilisez CDN, dans certains cas JavaScript peut ne pas fonctionner correctement si CDN n'est pas votre sous-domaine"
"A category object is required for determining the product request path.","Un objet de catégorie est requis pour déterminer le chemin de requête du produit."
"Add Block Names to Hints","Ajouter des noms de bloc aux conseils"
"Add Secret Key to URLs","Ajouter clé secrète aux URLs"
"Add Store Code to Urls","Ajouter code boutique aux Urls"
"Admin","Admin"
"Admin Base URL","Admin URL base"
"Admin User Emails","Admin courriels utilisateur"
"Advanced","Avancé(e)"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Après avoir sélectionn un nouveau lieu de stockage des médias, appuyez sur le bouton Synchroniser pour transférer tous les médias vers cet emplacement. Les médias ne seront disponibles dans le nouvel emplacement que lorsque la processus sera terminé."
"Allow Countries","Permettre pays"
"Allow Symlinks","Autoriser les Symlinks"
"Allowed IPs (comma separated)","IPs permis (séparés par virgule)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Types de fichiers autorisés : ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Tous les navigateurs ne supportent pas tous ces formats !"
"Allows customers to stay logged in when switching between different stores.","Permettre aux clients de rester connectés lorsqu'ils passent d'une boutique à l'autre."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Texte alternatif pour lien suivant dans pagination menu. Si vide, une image par défaut de flèche sera utilisée."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Texte alternatif pour lien précédent dans pagination menu. Si vide, une image par défaut de flèche sera utilisée."
"An error occurred while saving. Please review the error log.","Une erreur est survenue durant sauvegarde. Veuillez consulter le journal de bord des erreurs."
"Anchor Text for Next","Ancrer texte pour suivant"
"Anchor Text for Previous","Ancrer texte pour précédent"
"Anchor symbol (#) is not supported in request path","Le symbolr d'ancrage (#) n'est pas pris en charge dans la demande de chemin d'accès"
"Anchor symbol (#) is not supported in url rewrite suffix","Le symbole d'ancrage (#) n'est pas pris en charge dans le suffixe de réécriture de l'url"
"Are you sure?","Etes-vous sûr ?"
"Auto-redirect to Base URL","Redirige automatiquement vers base URL"
"Back","Retour"
"Backup Options","Options sauvegarde"
"Base JavaScript URL","JavaScript base URL"
"Base Link URL","Lien base URL"
"Base Media URL","Média base URL"
"Base Secure URL","URL de base sécurisée"
"Base Skin URL","Habillage base URL"
"Base URL","URL de base"
"Base Unsecure URL","URL de base non sécurisée"
"Before modifying the store view code please make sure that it is not used in index.php.","Avant de modifier le code de vue de boutique, vérifiez qu'il n'est pas utilisé dans index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Avant de modifier le code du site internet, vérifiez qu'il n'est pas utilisé dans index.php."
"Block with name ""%s"" already exists","Un bloc avec le nom ""%s"" existe déjà"
"Browser Capabilities Detection","Détection capacités navigateur"
"CSS Settings","Paramètres CSS"
"Cache Storage Management","Gestion magasin de la cache"
"Cache storage may contain additional data. Are you sure that you want flush it?","La mémoire cache peut contenir d'autres données. Êtes-vous sûr de vouloir la supprimer ?"
"Can not create invoice. Order was not found.","Impossible de créer la facture. La commande est introuvable."
"Can't retrieve request object","Ne peut extraire objet de requête"
"Can\'t retrieve entity config: %s","Ne peut pas récupérer la configuration de l'entité : %s"
"Cancel","Annuler"
"Cannot complete this operation from non-admin area.","Ne peut compléter cette opération depuis une zone non-admin."
"Card type does not match credit card number.","Le type de la carte ne correspond pas au numéro de la carte de crédit."
"Code","Code"
"Controller file was loaded but class does not exist","Fichier de contrôle a été chargé mais la classe n'existe pas"
"Cookie Domain","Cookie domaine"
"Cookie Lifetime","Cookie durée de vie"
"Cookie Path","Cookie chemin"
"Cookie Restriction Mode","Mode restriction des cookies"
"Copyright","Copyright"
"Core","Cœur"
"Countries Options","Options pays"
"Country","Pays"
"Create Store","Créer boutique"
"Create Store View","Créer vue boutique"
"Create Website","Créer site internet"
"Credit card number does not match credit card type.","Le numéro de la carte de crédit ne correspond pas au type de la carte de crédit."
"Current Package Name","Nom de paquet actuel"
"Custom Admin Path","Chemin administrateur personnalisé"
"Custom Admin URL","URL d'administration personnalisé"
"Custom Design","Dessin sur mesure"
"Custom Email 1","Courriel 1 sur mesure"
"Custom Email 2","Courriel 2 sur mesure"
"Custom Variables","Variables sur mesure"
"Custom1 Contact Email","Courriel de contact du client1"
"Custom1 Contact Name","Nom de contact du client1"
"Custom2 Contact Email","Courriel de contact du client2"
"Custom2 Contact Name","Nom de contact du client2"
"Customer Support","Aide clientèle"
"Dashboard","Tableau de bord"
"Date From","Date de création"
"Date To","Date de fin"
"Date/time format ""%s"" is not supported.","Le format date/heure ""%s"" n'est pas pris en charge."
"Debug","Déboguer"
"Default","Défaut"
"Default Country","Pays par défaut"
"Default Description","Description par défaut"
"Default Keywords","Mots clés par défaut"
"Default No-route URL","URL pas de route par défaut"
"Default Pages","Pages par défaut"
"Default Robots","Robots par défaut"
"Default Store","Magasin par défaut"
"Default Store View","Vue boutique par défaut"
"Default Title","Titre par défaut"
"Default Web URL","URL internet par défaut"
"Delete","Supprimer"
"Delete Store","Supprimer le magasin"
"Delete Store View","Supprimer la vue du magasin"
"Delete Website","Supprimer le site"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Supprimer un %1$s ne supprimera pas les informations associées (comme les catégories, les produits, etc.) ; le %1$s ne pourra pas être restauré. Nous vous recommandons de créer une sauvegarde de la base de données avant de supprimer le %1$s."
"Design","Design"
"Design Change","Changement de design"
"Developer","Développeur"
"Developer Client Restrictions","Restrictions client développeur"
"Disable Email Communications","Désactiver les communications par email"
"Disable Modules Output","Désactiver les sorties des modules."
"Display Demo Store Notice","Afficher l'avis de magasin de démonstration."
"Duplicate Of Template Name","Dupliquer le nom du modèle."
"Edit Design Change","Éditer les changements de design"
"Edit Store","Éditer le magasin"
"Edit Store View","Éditer la vue du magasin"
"Edit Website","Éditer le site web"
"Empty identifier field name","Nom du champ identifiant vide"
"Empty main table name","Nom du tableau principal vide"
"Enable Charts","Activer les graphiques"
"Enabled","Activé"
"Enabled for Admin","Activé pour l'administrateur"
"Enabled for Frontend","Activer pour le frontend."
"Environment Update Time","Heure de mise à jour de l'environnement"
"Error in file: ""%s"" - %s","Erreur dans le fichier : ""%s"" - %s"
"European Union Countries","Pays de l'Union Européenne"
"Exceptions Log File Name","Nom du fichier de journalisation des exceptions."
"Favicon Icon","Icône favicon"
"File %s does not exist","Le fichier %s n'existe pas"
"File %s is not readable","Le fichier %s est illisible"
"File not found","Impossible de trouver le fichier"
"File system","Système de fichiers"
"File with an extension ""%value%"" is protected and cannot be uploaded","Le fichier avec une ""%valeur%"" d'extension est protégé et ne peut être téléchargé."
"First Day of Week","Premier jour de la semaine"
"Flush Cache Storage","Vider le cache"
"Flush Magento Cache","Vider le cache Magento"
"Footer","Pied de page"
"Forgot Password Email Sender","Mot de passe oublié ? Le recevoir par e-mail"
"Forgot Password Email Template","Oubli du mot de passe du modèle du mail"
"General","Général"
"General Contact","Contact général"
"General Contact Email","Courriel de contact général"
"General Contact Name","Nom de contact général"
"General Settings","Réglages généraux"
"Global","Mondial"
"HTML Head","En-tête HTML"
"HTML tags are not allowed","Les balises HTML ne sont pas autorisées"
"Header","En-tête"
"Host","Hôte"
"How many links to display at once.","Combien de liens afficher en une fois?"
"ID Path for Specified Store","ID Path pour le magasin spécifié."
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Si la position du cadre courant ne couvre pas les pages extrêmes, un lien vers la position courante plus ou moins cette valeur sera rendu."
"Incorrect credit card expiration date.","Date d'expiration de la carte incorrecte."
"Input type ""%value%"" not found in the input types list.","Le type d'entrée ""%value%"" introuvable dans la liste des types d'entrée."
"Invalid base url type","Type d'url de base invalide."
"Invalid block name to set child %s: %s","Nom de bloc invalide pour l'ensemble fille %s : %s"
"Invalid block type: %s","Type de bloc non valable : %s"
"Invalid block: %s","Bloc invalide: %s"
"Invalid connection","Connexion invalide"
"Invalid layout update handle","Gérer la mise à jour invalide de disposition"
"Invalid messages storage ""%s"" for layout messages initialization","Messages invalides mémoire ""%s"" pour l'initialisation des messages de mise en page"
"Invalid query","Requête invalide"
"Invalid transactional email code: ","Code email de transaction invalide:"
"Invalid website\'s configuration path: %s","Chemin de configuration du site invalide: %s"
"JavaScript Settings","Réglages javascript"
"Layout","Disposition"
