"Add","Ajouter"
"Add gift message for shopping cart","Ajouter un message de cadeau au panier d'achat"
"Add gift messages for quote item of shopping cart","Ajouter des messages de cadeau pour l/les élément(s) cité(s) du panier d'achat"
"Add gift messages to products of shopping cart","Ajouter des messages de cadeau aux produits du panier d'achat"
"Add gift options","Ajouter des options de cadeau"
"Add gift options for Individual Items","Ajouter des options de cadeau pour des objets individuels"
"Add gift options for the Entire Order","Ajouter des options de cadeau pour l'ensemble de la commande"
"Add gift options.","Ajouter des options de cadeau."
"Allow Gift Messages for Order Items","Autoriser les messages cadeaux pour les commandes d'objets"
"Allow Gift Messages on Order Level","Autoriser les messages cadeaux au niveau de la commande"
"An error occurred while saving the gift message.","Une erreur est survenue lors de l'enregistrement du message cadeau."
"Are you sure?","Etes-vous sûr ?"
"Cancel","Annuler"
"Do you have any gift items in your order?","Avez-vous des messages cadeaux dans votre commande ?"
"Edit","Modifier"
"From","De"
"Gift Message","Message du cadeau"
"Gift Message API","Message de cadeau interface de programmation"
"Gift Options","Options de cadeau"
"Gift Options for","Options de cadeau pour"
"Gift Options for Individual Items","Options de cadeau pour des objets individuels"
"Gift Options for the Entire Order.","Options de cadeau pour l'ensemble de la commande"
"Gift Options for this address.","Options de cadeau pour cette adresse."
"Item %d of %d","Objet %d de %d"
"Message","Message"
"No","Non"
"OK","OK"
"Save Gift Message","Sauvegarder le message cadeau"
"The gift message has been removed","Le message cadeau a été supprimé"
"The gift message has been saved","Le message cadeau a été enregistré."
"The gift message has been saved.","Le message cadeau a été enregistré."
"To","A"
"Unknown entity type","Type d'entité inconnu"
"Use config","Utiliser la configuration"
"Yes","oui"
"You can leave this box blank if you do not wish to add a gift message for the item.","Vous pouvez laisser cette case vide si vous ne souhaitez pas ajouter de message cadeau pour cet objet."
"You can leave this box blank if you do not wish to add a gift message for this address.","Vous pouvez laisser cette case vide si vous ne souhaitez pas ajouter de message cadeau pour cette adresse."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Vous pouvez laisser cette case vide si vous ne souhaitez pas ajouter de message cadeau pour cette commande."
