"ALL","TOUS"
"ANY","N'IMPORTE LEQUEL"
"Add","Ajouter"
"Apply","Appliquer"
"Conditions Combination","Combinaison de conditions"
"Description: %s","Description: %s"
"End Date should be greater than Start Date","La date de fin doit être postérieure à la date de début."
"Expire at: %s","Expire à: %s"
"FALSE","FAUX"
"If %s of these conditions are %s:","Si %s de ces conditions sont %s:"
"Invalid discount amount.","Montant de réduction invalide"
"MATCHING ALL","APPLICABLE À TOUS"
"MATCHING ANY","APPLICABLE"
"NOT MATCHING ALL","INAPPLICABLE À TOUS"
"NOT MATCHING ANY","INAPPLICABLE"
"Name: %s","Nom: %s"
"Open Chooser","Ouvrir choisisseur"
"Perform following actions","Exécuter les actions suivantes"
"Please choose a condition to add...","Choisissez une condition à ajouter..."
"Please choose an action to add...","Choisissez une action à ajouter..."
"Remove","Supprimer"
"Start at: %s","Commencer à: %s"
"TRUE","VRAI"
"by","par"
"contains","contient"
"does not contain","ne contient pas"
"does not contains","ne contient pas"
"equals or greater than","supérieur ou égal à"
"equals or less than","inférieur ou égal à"
"for","pour"
"for greater than","pour supérieur à"
"for or greater than","pour ou supérieur à"
"found","trouvé"
"from","de"
"greater than","plus grand que"
"is","est"
"is not","n'est pas"
"is not one of","n'est pas un de"
"is one of","est un de"
"less than","inférieur à"
"not found","pas trouvé"
"not from","pas un des"
"to","à"
"was","était"
"was not","n'était pas"
