"""%s"" coupon code is not valid.","Le code du coupon ""%s"" n'est pas valable."
"%s","%s"
"%s / %s rate:","%s / %s taux :"
"%s for %s","%s pour %s"
"%s order(s) cannot be canceled","%s commande(s) ne peuvent pas être annulées"
"%s order(s) have been canceled.","%s commande(s) ont été annulées."
"%s order(s) have been put on hold.","%s commande(s) ont été mise(s) en attente."
"%s order(s) have been released from holding status.","%s commande(s) n'a (n'ont) plus le statut ""En attente""."
"%s order(s) were not put on hold.","%s commande(s) n'ont pas été mises en attente."
"%s order(s) were not released from holding status.","%s commande(s) a (ont) toujours le statut ""En attente""."
"* - Enter custom price excluding tax","* - Entrez le prix personnalisé sans les taxes"
"* - Enter custom price including tax","* - Entrez le prix personnalisé avec les taxes"
"-- Please Select --","-- Veuillez sélectionner --"
"-- Please Select Billing Agreement--","-- Veuillez sélectionner un accord de facturation--"
"About This Order:","A propos de cette commande :"
"About This Profile:","A propos de ce profil :"
"About Your Invoice","Au sujet de votre facture"
"About Your Order","A propos de votre commande"
"About Your Refund","Au sujet de votre remboursement"
"About Your Shipment","Au sujet de votre expédition"
"Accept Payment","Accepter le paiement"
"Accept or Deny Payment","Accepter ou refuser le paiement"
"Account Information","Informations du compte"
"Action","Action"
"Actions","Action"
"Activate","Activer"
"Active","Actif"
"Add","Ajouter"
"Add New Address","Ajouter une nouvelle adresse"
"Add Order Comments","Ajouter commentaires de commande"
"Add Package","Ajouter colis"
"Add Products","Ajouter produits"
"Add Selected Product(s) to Option","Ajouter le(s) produit(s) sélectionné(s) à l'option"
"Add Selected Product(s) to Order","Ajouter le(s) produit(s) sélectionné(s) à la commande"
"Add Selected Product(s) to Package","Ajouter le(s) produits(s) sélectionné(s) au colis"
"Add To Order","Ajouter à la commande"
"Add Tracking Number","Ajouter un numéro de suivi"
"Add comment to order","Ajouter un commentaire à la commande"
"Add new comment to credit memo","Ajouter un nouveau commentaire à la note de crédit"
"Add new comment to shipment","Ajouter un commentaire à l'expédition"
"Add new tracking number","Ajouter un nouveau numéro de suivi"
"Add to Cart","Ajouter au panier"
"Additional Product Info","Informations supplémentaires sur le produit"
"Address","Adresse"
"Address model is not defined.","Le modèle de l'adresse n'est pas défini."
"Adjustment Fee","Ajustement des taxes"
"Adjustment Refund","Ajustement de remboursement"
"Agreement Information","Information sur l'accord"
"Allow Reorder","Autoriser la nouvelle commande"
"Amount","Montant"
"Amount: %s.","Montant : %s."
"An error occurred while assigning order status. Status has not been assigned.","Une erreur s'est produite lors de la détermination de l'état de la commande. L'état n'a pas été déterminé."
"An error occurred while creating shipping label.","Une erreur s'est produite lors de la création de l'étiquette d'expédition."
"An error occurred while saving order status. The status has not been added.","Une erreur s'est produite lors de la sauvegarde de l'état de la commande. L'état n'a pas été ajouté."
"An error occurred while unassigning order status.","Une erreur s'est produite lors du changement d'attribution de l'état de la commande."
"An error occurred while updating the order address. The address has not been changed.","Une erreur s'est produite lors de la mise à jour de l'adresse de la commande. L'adresse n'a pas été modifiée."
"An item option with code %s already exists.","Une option avec le code %s existe déjà."
"Anchor Custom Title","Titre personnalisé"
"Append Comments","Ajouter commentaires"
"Apply","Appliquer"
"Apply Coupon Code","Appliquer code coupon"
"Approved the payment online.","A approuvé le paiement en ligne."
"Are you sure you want to accept this payment?","Voulez-vous vraiment accepter ce paiement ?"
"Are you sure you want to cancel this order?","Voulez-vous vraiment annuler cette commande ?"
"Are you sure you want to delete all items from shopping cart?","Etes-vous certain(e) de vouloir effacer tous les articles du panier?"
"Are you sure you want to deny this payment?","Voulez-vous vraiment refuser ce paiement ?"
"Are you sure you want to do this?","Êtes-vous sûrs de vouloir faire celà?"
"Are you sure you want to send Creditmemo email to customer?","Voulez-vous vraiment envoyer une note de crédit au client par e-mail ?"
"Are you sure you want to send Invoice email to customer?","Voulez-vous vraiment envoyer une facture au client par e-mail ?"
"Are you sure you want to send Shipment email to customer?","Voulez-vous vraiment envoyer l'e-mail d'expédition au client ?"
"Are you sure you want to send order email to customer?","Voulez-vous vraiment envoyer l'e-mail de commande au client ?"
"Are you sure you want to void the payment?","Voulez-vous vraiment annuler le paiement ?"
"Are you sure?","Etes-vous sûr ?"
"Are you sure? This order will be canceled and a new one will be created instead","Êtes-vous sûr ? Cette commande sera supprimée et une nouvelle sera créée à la place."
"Assign Order Status to State","Attribuer l'état de la commande à un État"
"Assign Status to State","Attribuer l'état à un État"
"Assignment Information","Information sur l'attribution"
"At least a payment ID must be set.","Au moins un ID de paiement doit être défini."
"Authorization","Autorisation"
"Authorized amount of %s.","Montant de %s autorisé."
"Authorizing amount of %s is pending approval on gateway.","L'autorisation du paiement de %s est attente d'accord de la passerelle."
"Back","Retour"
"Back to Billing Agreements","Retour aux accords de facturation"
"Back to My Orders","Retour à Mes commandes"
"Back to Recurring Profiles","Retour aux profils récurrents"
"Backordered","Rupture de stock"
"Bestsellers","Meilleures ventes"
"Bill to Name","Facture au nom"
"Billing","Facturation"
"Billing Address","Adresse de facturation"
"Billing Agreement","Accord de facturation"
"Billing Agreement # %s","Accord de facturation # %s"
"Billing Agreement #%s","Accord de facturation #%s"
"Billing Agreement View","Voir l'accord de facturation"
"Billing Agreements","Accords de facturation"
"Billing Last Name","Nom facturation"
"Billing ZIP Code","Code postal facturation"
"Buy %s for price %s","Acheter %s pour le prix de %s"
"CSV","CSV (valeurs séparées par des virgules)"
"Cancel","Annuler"
"Cancel credit memo","Annuler la note de crédit"
"Cancel invoice","Annuler la facture"
"Cancel order","Annuler la commande"
"Canceled","Annulé"
"Canceled order offline.","Commande annulée hors ligne."
"Canceled order online.","Commande annulée en ligne."
"Cannot add order history.","Impossible d'ajouter l'historique des commandes."
"Cannot create an empty shipment.","Impossible de créer un envoi vide."
"Cannot determine the field name.","Impossible de déterminer le nom du champ."
"Cannot do invoice for order.","Impossible d'émettre la facture pour la commande."
"Cannot do shipment for order.","Impossible de procéder à l'expédition pour la commande."
"Cannot get order instance","Ne peut pas obtenir les informations de commande"
"Cannot get the order instance.","Ne peut pas obtenir les informations de commande."
"Cannot register an existing credit memo.","Impossible d'enregistrer une note de crédit existante."
"Cannot register existing invoice","Impossible d'enregistrer une facture existante"
"Cannot register existing shipment","Impossible d'enregistrer un envoi existant"
"Capture","Sauvegarder"
"Capture Amount","Sauvegarder le montant"
"Capture Offline","Sauvegarder hors ligne"
"Capture Online","Sauvegarder en ligne"
"Capture invoice","Sauvegarder facture"
"Captured amount of %s online.","Montant sauvegardé de %s en ligne."
"Capturing amount of %s is pending approval on gateway.","Sauvegarde de %s en attente de vérification par la passerelle."
"Carrier","Transporteur"
"Carrier/Method","Transporteur/méthode"
"Change status, add comments","Changer le statut, ajouter des commentaires"
"Changing address information will not recalculate shipping, tax or other order amount.","Changer les données de l'adresse ne changera pas les coûts d'expédition, les taxes ou les autres frais applicables à la commande."
"Checkout Totals Sort Order","Ordre de tri des totaux de paiements"
"City","Ville"
"Clear Shopping Cart","Vider le panier"
"Click to change shipping method","Cliquez pour changer la méthode d'envoi"
"Close","Fermer"
"Closed","Clos"
"Comma-separated.","Séparé(es) par des virgules."
"Comment","Commenter"
"Comment Text","Commenter texte"
"Comments","Commentaires"
"Comments History","Historique des commentaires"
"Company","Société"
"Complete","Terminer"
"Configure","Configurer"
"Configure and Add to Order","Configurer et ajouter à la commande"
"Contents","Contenu"
"Continue","Continuer"
"Controls whether customer IP is shown in orders, invoices, shipments, credit memos.","Détermine le l'IP du client est affichée dans les commandes, factures, expédition et notes de crédit."
"Country","Pays"
"Coupons","Coupons"
"Create","Créer"
"Create New Customer","Créer nouveau client"
"Create New Order","Créer une nouvelle commande"
"Create New Order Status","Créer un nouvel état de commande"
"Create New Order for %s","Créer une nouvelle commande pour %s"
"Create New Order for %s in %s","Créer une nouvelle commande pour %s dans %s"
"Create New Order for New Customer","Créer une nouvelle commande pour un nouveau client"
"Create New Order for New Customer in %s","Créer une nouvelle commande pour un nouveau client dans %s"
"Create New Status","Créer un nouvel état"
"Create Order","Créer une commande"
"Create Packages","Créer colis"
"Create Shipment","Créer une livraison"
"Create Shipping Label","Créer label d'expédition"
"Create Shipping Label...","Créer étiquette d'expédition..."
"Create new credit memo for order","Créer une nouvelle note de crédit pour la commande"
"Create new invoice for order","Créer une nouvelle facture pour une commande"
"Create new shipment for order","Créer une nouvelle livraison pour la commande"
"Create...","Créer..."
"Created At","Créé à"
"Created billing agreement #%s.","Créer un accord de paiement #%s"
"Created:","Créé:"
"Credit Memo","Avoir"
"Credit Memo #","N° de note de crédit"
"Credit Memo #%1$s | %3$s | %2$s (%4$s)","Avoir #%1$s | %3$s | %2$s (%4$s)"
"Credit Memo Comment Email Sender","Avoir Commentaire Expediteur"
"Credit Memo Comment Email Template","Avoir Commentaire Modèle d'e-mail"
"Credit Memo Comment Email Template for Guest","Avoir Commentaire"
"Credit Memo Comments","Avoir Commentaires"
"Credit Memo Email Sender","Avoir Expediteur"
"Credit Memo Email Template","Avoir Modèle d'e-mail"
"Credit Memo Email Template for Guest","Avoir Modèle d'e-mail pour Invités"
"Credit Memo Update","Avoir Mise à jour"
"Credit Memo Update for Guest","Avoir Mise à jour pour Invités"
"Credit Memos","Avoirs"
"Credit memo canceling problem.","Problème d'annulation de la note de crédit."
"Credit memo cannot be canceled.","La note de crédit ne peut pas être annulée."
"Credit memo has been created automatically","Mémo de crédit a été créé automatiquement."
"Custom Price","Personnaliser le prix"
"Custom Value","Personnaliser la valeur"
"Customer","Client"
"Customer Can Define Start Date","Le client peut définir la date de début"
"Customer Email","Email du client"
"Customer Group","Groupe du client"
"Customer Last Name","Nom du client"
"Customer My Account Order Creditmemo View","Client Mon Compte Commande Avoir Affichage"
"Customer My Account Order History","Client Mon Compte Commande Historique"
"Customer My Account Order Invoice View","Client Mon Compte Commande Facture Affichage"
"Customer My Account Order Shipment View","Client Mon Compte Commande Livraison Affichage"
"Customer My Account Order View","Client Mon Compte Commande Affichage"
"Customer Name","Nom du client"
"Customer\'s Current Activities","Activités en cours du client"
"Customs Value","Valeurs personnalisées"
"Date","Date"
"Date Shipped","Date d'envoi"
"Default Status","État pas défaut"
"Default Template","Modèle par défaut"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Logo par défaut, sera utilisé dans les documents PDF et HTML.<br />(jpeg, tiff, png)"
"Delete","Supprimer"
"Delete Package","Supprimer le colis"
"Denied the payment online.","A refusé le paiement en ligne"
"Deny Payment","Refuser le paiement"
"Description Message","Message descriptif"
"Discount","Discount"
"Discount (%s)","Discount (%s)"
"Discount Amount","Montant de la remise"
"Display Order ID in Header","Afficher l’ID de la commande dans l'en-tête"
"Edit","Modifier"
"Edit Order #%s","Modifier la commande #%s"
"Edit Order %s %s Address","Éditer l'adresse de la commande"
"Edit Order Status","Éditer l'état de la commande"
"Email","Email"
"Email Address","Adresse email"
"Email Copy of Credit Memo","Copie de l'e-mail de la note de crédit"
"Email Copy of Invoice","Copie email de la facture"
"Email Copy of Shipment","Copie de l'e-mail d'expédition"
"Email Order Confirmation","Confirmation de la demande d'email"
"Enable","Activer"
"Enabled","Activé"
"Enter the billing last name and email/ZIP as in the order billing address","Entrer le nom d'expédition et le code postal / email comme dans l'adresse de facturation"
"Entered data is incorrect. Please try again.","Les données saisies sont incorrectes. Veuillez réessayer."
"Error to Show in Shopping Cart","Erreur à afficher dans le panier"
"Excel XML","Excel XML"
"Excl. Tax","H.T."
"Expired","Expiré"
"Explanation","Explication"
"Failed to cancel the billing agreement.","Échec lors de l'annulation de l'accord de facturation."
"Failed to create billing agreement for this order.","Échec de la création de l'accord de facturation pour cette commande."
"Failed to finish billing agreement wizard.","Impossible de terminer l'assistant d'accord de facturation."
"Failed to send the order email.","A échoué d'envoyer la demande d'email"
"Failed to start billing agreement wizard.","Impossible de démarrer l'assistant d'accord de facturation"
"Failed to update the payment.","Échec de la mise à jour du paiement."
"Failed to update the profile.","Échec de la mise à jour du profil."
"Failed to void the payment.","Impossible d'annuler le paiement."
"Fetch","Chercher"
"File extension not known or unsupported type in the following shipment: %s","Extension de fichier inconnue ou type non pris en charge dans l'expédition suivante : %s"
"Find Order By:","Trouver la commande par:"
"First Name","Prénom"
"From","De"
"From Name","De Nom"
"From:","De:"
"G.T. (Base)","G. T. (Base)"
"G.T. (Purchased)","Total général (acheté)"
"General","Général"
"General Information","Informations générales."
"Get Payment Update","Obtenir la mise à jour du paiement"
"Get Update","Obtenir la mise à jour"
"Get shipping methods and rates","Obtenir la méthode d'expédition et les taux"
"Gift Message","Message du cadeau"
"Gift Message for This Order","Message cadeau pour cette commande"
"Gift Message for the Entire Order","Message de cadeau pour l'ensemble de la commande"
"Gift Message for this Order","Message personnalisé pour cette commande"
"Gift Options","Options de cadeau"
"Gift Wrapping for the Entire Order","Emballage cadeau pour l'ensemble de la commande"
"Girth","circonférence"
"Grand Total","Total final"
"Grand Total to be Charged","Grand total à payer"
"Guest","Invité"
"Height","Hauteur"
"Hide Customer IP","Masquer l'IP du client"
"Hold","Mise en attente"
"Hold action is not available.","Le blocage n'est pas disponible."
"Hold order","Bloquer commande."
"ID","ID"
"ID #","Identifiant #"
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %s. Transaction ID: ""%s""","IPN ""Remboursé"". Remboursement effectué par le vendeur. Notification enregistrée pour le montant remboursé de %s. ID de la transaction : ""%s"""
"If empty, the default description above will be used.","Si laissé vide, la description par défaut ci-dessus sera utilisée."
"If empty, the default error above will be used.","Si vide, l'erreur par défaut ci-dessus sera affichée."
"If the invoice was created offline, try creating an offline creditmemo.","Si la facture a été créée hors ligne, essayez de créer une note de crédit hors ligne."
"Incl. Tax","Taxe comprise"
"Information","Renseignements"
"Initial Fee","Frais initiaux."
"Initial Fees","Frais initiaux"
"Initial period payment","Période de paiement initiale"
"Insufficient information to create shipping label(s). Please verify your Store Information and Shipping Settings.","Les informations fournies ne sont pas suffisantes pour créer l'(les) étiquette(s) d'expédition. Veuillez vérifier les informations de votre boutique et les paramètres d'expédition."
"Invalid block: %s.","Bloc invalide : %s."
"Invalid carrier specified.","Le transporteur spécifié est invalide."
"Invalid draw line data. Please define ""lines"" array.","Ligne de données invalide. Veuillez définir un ordre des ""lignes""."
"Invalid entity model","Modèle d'entité invalide"
"Invalid item option format.","Format d'option d'objet invalide."
"Invalid qty to invoice item ""%s""","Qté invalide pour facturer l'article ""%s"""
"Invalid qty to refund item ""%s""","Qté invalide pourrembourser l'article ""%s"""
"Invalid qty to ship for item ""%s""","Qté invalide pour expédier l'article ""%s"""
"Invalid renderer model","Modèle de rendu invalide"
"Invalid request for adding product to quote.","Requête non valide pour l'ajout du produit au devis."
"Invoice","Facture"
"Invoice #","Facture n˚"
"Invoice #%1$s | %2$s | %4$s (%3$s)","Numéro de facture%1$s | %2$s | %4$s (%3$s)"
"Invoice #%s","Factures n˚%s"
"Invoice Comment Email Sender","Facture Commentaire Expediteur"
"Invoice Comment Email Template","Facture Commentaire Modèle d'email"
"Invoice Comment Email Template for Guest","Modèle de courriel de commentaire de facture pour les clients"
"Invoice Comments","Facture Commentaires"
"Invoice Date","Date de la facture"
"Invoice Email Sender","Expéditeur du courriel de facture"
"Invoice Email Template","Modèle d'email de la facture"
"Invoice Email Template for Guest","Facture Modèle d'email pour invité"
"Invoice Update","Mise à jour facture"
"Invoice Update for Guest","Mise à jour facture pour invité"
"Invoice and Packing Slip Design","Conception de la facture et du bordereau de marchandises"
"Invoice and Ship","Facture et Courrier"
"Invoice canceling problem.","Problème d'annulation de la facture"
"Invoice cannot be canceled.","La facture ne peut être annulée."
"Invoice cannot be captured.","La facture ne peut pas être saisie."
"Invoice cannot be voided.","La facture ne peut pas être annulée"
"Invoice capturing problem.","Problème de saisie de la facture."
"Invoice void problem","Problème d'annulation de la facture"
"Invoice will be created without communication with payment gateway.","La facture va être créée sans communication avec une passerelle de payement"
"Invoiced","Facturé"
"Invoices","Factures"
"Is Closed","Est fermé"
"Item","Article"
"Item Status","Statut article"
"Item object is not specified.","L'objet de l'article n'est pas spécifié."
"Item options declaration error.","Erreur de déclaration pour les options de l'article."
"Item ordered qty","Qté d'articles commandés"
