" But cart has some errors.","Mais le panier contient des erreurs."
"""Description"" is more than %d characters long","La ""description"" contient plus de %d caractères"
"""Title"" is more than %d characters long","Le ""titre"" contient plus de %d caractères"
"%1$s has been added to your wishlist.","%1$s a été ajouté à votre liste de souhaits."
"%1$s incl tax.","%1$s TTC."
"%s API Key required.","%s clé API requise."
"%s Application ID required.","ID application %s requis."
"%s Secret Key required.","Clé secrète %s requise."
"%s has been added to your cart.","%s a été ajouté à votre panier."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Inclut plus de pays que ceux listés ci-dessous. En tant que propriétaire de l'application, vous êtes responsables pour respecter les lois spécifiques à votre pays par rapport à la distribution ou vente de votre application dans ce pays, y compris votre pays d'origine.)"
"10:40 AM","10:40"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Une application uniquement consultable (Catalog App) ne supporte pas les fonctions telles que ajouter au panier, ajouter à la liste de souhaits, ou connexion."
"A new password has been sent.","Un nouveau mot de passe a été défini."
"Account","Compte"
"Account confirmation is required. Please check your email for the confirmation link.","Une confirmation du compte est requise. Vous trouverez le lien de confirmation dans l'email qui vous a été envoyé."
"Account information has been saved.","Les informations du compte ont été sauvegardées."
"Action","Action"
"Activate","Activer"
"Activate PayPal Checkout","Activer paiement PayPal"
"Activation Key","Clé d'activation"
"Add App","Ajouter application"
"Add New Template","Ajouter nouveau modèle"
"Add Page","Ajouter page"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste de souhaits"
"Additional Address","Adresse supplémentaire"
"Address","Adresse"
"Address 2","Adresse 2"
"Address data not specified.","Données d'adresse non spécifiées"
"Address does not belong to this customer.","L'adresse n'est pas celle de ce client."
"Address has been deleted.","L'adresse a été supprimée."
"Address has been saved.","L'adresse a été sauvegardée."
"Administrative contact for this app and for app submission issues.","Contact administratif pour cette application et pour les problèmes de soumission d'applications."
"Advanced Settings","Paramètres avancés"
"After submitting the App, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.<br />Upon receiving these credentials, please fill in the corresponding fields.<br />In addition, please accept Urban Airship\'s Terms of Service: <a href=""%2$s"" target=""_blank"">click here</a>.","Après avoir soumis l'Application, veuillez contacter <a href=""mailto:%1$s"">%1$s</a> pour recevoir la Clé, le Secret et le Master Secret de l'Application.<br />Après avoir reçu ces identifiants, veuillez remplir les champs correspondants.<br />En outre, veuillez accepter les Conditions Générales de Service d'Urban Airship : <a href=""%2$s"" target=""_blank"">clicquez ici</a>."
"AirMail Message Queue","File d'attente des messages AirMail"
"AirMail Messages Queue","File d'attente des messages AirMail"
"AirMail Template Preview","Aperçu du modèle AirMail"
"AirMail message","Message AirMail"
"AirMail templates","Modèles AirMail"
"All locations","Tous les emplacements"
"An account with this email address already exists.","Un compte avec cette adresse email existe déjà."
"An error occurred while adding item to wishlist.","Une erreur s'est produite lors de l'ajout d'un article à la liste de souhaits."
"An error occurred while deleting the address.","Une erreur s'est produite lors de la suppression de l'adresse."
"An error occurred while loading category filters.","Une erreur s'est produite lors du chargement des filtres de catégories."
"An error occurred while processing your order. Please contact us or try again later.","Une erreur s'est produite lors du traitement de la commande. Veuillez nous contacter ou réessayer plus tard."
"An error occurred while processing your request.","Une erreur s'est produite lors du traitement de votre demande."
"An error occurred while removing item from wishlist.","Une erreur s'est produite lors du retrait de l'article de la liste de souhaits."
"An error occurred while removing items from wishlist.","Une erreur s'est produite lors du retrait des articles de votre liste de souhaits."
"Analytics","Analytics"
"Android","Android"
"App Background","Arrière-plan application"
"App Background (landscape mode).","Arrière-plan application (mode paysage)."
"App Background (portrait mode).","Arrière-plan application (mode portrait)."
"App Background <br />(landscape mode)","Arrière-plan application <br /> (mode paysage)."
"App Background <br />(portrait mode)","Arrière-plan application <br /> (mode portrait)."
"App Background image missing.","Image manquante dans l'arrière-plan de l'application."
"App Code","Code application"
"App Information","Informations sur l'application"
"App Name","Nom de l'application"
"App Stores","Boutiques de l'application"
"App Submission History","Historique des soumissions d'applications"
"App Title","Titre de l'application"
"App code required.","Code application requis."
"App does not exist.","L’application n'existe pas."
"App has been deleted.","L'application a été supprimée."
"App has been saved.","L'application a été sauvegardée."
"App has been submitted.","L'application a été soumise."
"App model not loaded.","Modèle d'application non chargé."
"App with specified code does not exist.","L'application avec le code spécifié n'existe pas."
"Appears in the info section of your app (example: Copyright 2010 – Your Company, Inc.)","Apparait dans la section info de votre application (exemple : Copyright 2010 – Votre entreprise, Inc.)"
"Application","Application"
"Application Key","Clé de l'application"
"Application Master Secret","Master Secret de L'application"
"Application Name","Nom de l'application"
"Application Secret","Secret de l'application"
"Are you sure you whant to cancel a message?","Êtes-vous sûr de vouloir annuler un message ?"
"Are you sure you whant to delete a message?","Êtes-vous sûr de vouloir supprimer un message ?"
"Are you sure you what to cancel selected records?","Êtes-vous sûr de vouloir annuler les enregistrements sélectionnés?"
"Are you sure you what to delete selected records?","Êtes-vous sûr de vouloir supprimer les enregistrements sélectionnés ?"
"Authentication complete.","Authentification réussie."
