"Actions","Acties"
"An error occurred while marking notification as read.","Er is een fout opgetreden terwijl er een notitie als gelezen werd gemarkeerd."
"An error occurred while marking the messages as read.","Er is een fout opgetreden terwijl de berichten als gelezen werden gemarkeerd"
"An error occurred while removing messages.","Er is een fout opgetreden terwijl de berichten werden verwijderd"
"An error occurred while removing the message.","Er is een fout opgetreden terwijl het bericht werd verwijderd."
"Are you sure?","Weet u het zeker"
"Date Added","Datum toegevoegd"
"Last Update","Laatste update"
"Mark as Read","Markeer als gelezen"
"Mark as read","Markeer als gelezen"
"Message","Bericht"
"Messages Inbox","Berichten inbox"
"Notifications","Notificaties"
"Please select messages.","Selecteer a.u.b. berichten"
"Read Details","Lees details"
"Remove","Verwijderen"
"Severity","Zwaarheid"
"Show List","Laat lijst zien"
"Show Toolbar","Laat werkbalk zien"
"The message has been marked as read.","Dit bericht is gemarkeerd als gelezen"
"The message has been removed.","Dit bericht is verwijderd"
"Total of %d record(s) have been marked as read.","Een totaal van %d bestand(en) is gemarkeerd als gelezen"
"Total of %d record(s) have been removed.","Een totaal van %d bestand(en) zijn verwijderd."
"Unable to proceed. Please, try again.","Niet in staat om door te gaan, probeer a.u.b. opnieuw."
"Update Frequency","Update frequentie"
"Use HTTPS to Get Feed","Gebruik HTTPS om Feed te verkrijgen"
"critical","Kritisch"
"major","groot"
"minor","klein"
"notice","aankondiging"
