" The customer does not exist in the system anymore.","Deze klant staat niet meer in het systeem."
" You will need to navigate to your ","U zult moeten navigeren naar uw"
" [deleted]"," [verwijderd]"
" and "," en "
" and go to the "," en ga naar de "
" sections for your Hosted Checkout Pages."," sectie voor uw Hosted Checkout Pagina's."
"%s (Default Template from Locale)","%s (Standaard sjabloon van Lokale)"
"%s cache type(s) disabled.","%s cache type(s) uitgeschakeld."
"%s cache type(s) enabled.","%s cache type(s) ingeschakeld."
"%s cache type(s) refreshed.","%s cache type(s) herladen."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Voor ""Local Server"" Type moet u het desbetreffende pad naar Magento install var/export of var/import gebruiken, b.v. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Voor VS 2-letter staatsnamen)"
"(If left empty will be auto-generated)","(Indien leeg gelaten wordt dit automatisch gegenereerd)"
"(Leave empty for first spreadsheet)","(Laat leeg voor de eerste spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Producten worden toegevoegd/geüpdatet aan deze winkel, indien de 'winkel' kolom leeg of niet aanwezig is in het import bestand.)"
"(Shift-)Click or drag to change value","(Shift-)Klik of sleep om de waarde te veranderen"
"(Starting with)","(Beginnende met)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Bij 'Nee', worden alleen in kaart gebrachte velden geïmporteerd. Wanneer in kaart gebracht, gebruik kolom1, kolom2, enz.)"
"(You have to increase php memory_limit before changing this value)","(U moet uw PHP memory_limit verhogen voordat u deze waarde verhoogt)"
"(\\t for tab)","(\\t voor tabblad)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Indien een indexeringproces bezig is zal deze worden gestopt en een nieuw proces worden begonnen."
"- Click on any of the time parts to increase it","- Klik op een van de tijd gedeeltes om deze te verhogen"
"- Hold mouse button on any of the above buttons for faster selection.","- Houd de muisknop op een van  de bovenstaande knoppen om sneller te selecteren"
"- Use the %s buttons to select month","- Gebruik de %s knoppen om de maand te selecteren"
"- Use the %s, %s buttons to select year","- Gebruik de %s, %s knoppen om het jaar te selecteren"
"- or Shift-click to decrease it","- of Shift-klik om het te verlagen"
"- or click and drag for faster selection.","- of klik en sleep voor snelle selectie."
"-- Not Selected --","-- Niet geselecteerd --"
"-- Please Select --","-- Selecteer alstublieft --"
"-- Please Select Billing Agreement--","-- Selecteer Factureringsovereenkomst"
"-- Please Select a Category --","-- Selecteer een Categorie --"
"-- Please select --","-- Selecteer a.u.b. --"
"--Please Select--","--Selecteer alstublieft--"
"1 Hour","1 Uur"
"1. set up","1. instellen"
"12 Hours","12 Uur"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Uur"
"2. customize","2. aanpassen"
"24 Hours","24 Uur"
"24h","24u"
"2YTD","2JTD"
"6 Hours","6 Uur"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Pagina niet gevonden.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attention</strong>: Captcha is hoofdletter gevoelig"
"A user with the same user name or email aleady exists.","Er bestaat al een gebruiker met dezelfde naam of hetzelfde e-mailadres."
"API Key","API Sleutel"
"API Key Confirmation","API Sleutel Bevestiging"
"ASCII","ASCII"
"Abandoned Carts","Verlaten winkelwagens"
"About the calendar","Over de kalender"
"Access Denied","Toegang Geweigerd"
"Access denied","Toegang gewijgerd"
"Access denied.","Toegang geweigerd."
"Account Created in:","Account Gecreëerd in:"
"Account Created on (%s):","Account Gecreëerd op (%s):"
"Account Created on:","Account Gecreëerd op:"
"Account Information","Accountinformatie"
"Account Status","Account Status"
"Account status","Account status"
"Action","Actie"
"Actions","Acties"
"Actions XML","Acties XML"
"Active","Actief"
"Add","Toevoegen"
"Add Exception","Voeg uitzondering toe"
"Add Field Mapping","Veldmapping Toevoegen"
"Add Field with URL:","Veld met URL toevoegen:"
"Add New","Nieuwe Toevoegen"
"Add New Image","Nieuw Plaatje Toevoegen"
"Add New Profile","Nieuw Profiel Toevoegen"
"Add New Role","Nieuwe Rol Toevoegen"
"Add New Template","Nieuw Sjabloon Toevoegen"
"Add New URL Rewrite","Voeg Nieuwe URL Herschrijving Toe"
"Add New User","Voeg Nieuwe Gebruiker Toe"
"Add New Variable","Voeg Nieuwe Variabele Toe"
"Add Products","Producten toevoegen"
"Add URL Rewrite","Voeg URL Herschrijving Toe"
"Add URL Rewrite for a Category","Voeg URL Herschrijving toe voor een Categorie"
"Add URL Rewrite for a Product","Voeg URL Herschrijving toe voor een Product"
"Add after","Voeg toe na"
"Additional Cache Management","Extra Cache Beheer"
"Address Type:","Adrestype:"
"Admin","Admin"
"Advanced Admin Section","Geavanceerde Admin Sectie"
"Advanced Profiles","Geavanceerde Profielen"
"Advanced Section","Geavanceerde Sectie"
"All","Alles"
"All Allowed Countries","Alle Toegestane Landen"
"All Cache","Alle Cache"
"All Files","Alle Bestanden"
"All Reviews","Alle Recensies"
"All Store Views","Alle Winkelbezichtigingen"
"All Tags","Alle Labels"
"All Websites","Alle Websites"
"All countries","Alle landen"
"All fields","Alle velden"
"All possible rates were fetched, please click on ""Save"" to apply","Alle mogelijke cijfers zijn opgehaald, klik op ""Save"" om toe te passen"
"All rates were fetched, please click on ""Save"" to apply","Alle cijfers zijn opgehaald, klik op ""Save"" om toe te passen"
"All valid rates have been saved.","Alle geldige aantallen zijn opgeslagen."
"Always (during development)","Altijd (tijdens ontwikkeling)"
"Amounts","Hoeveelheden"
"An error has occured while syncronizing media storages.","Een fout heeft zich voorgedaan tijdens het synchroniseren van het mediageheugen."
"An error occurred while clearing the JavaScript/CSS cache.","Er is een fout opgetreden tijdens het opschonen van de JavaScript/CSS opslagplaats."
"An error occurred while clearing the image cache.","Er is een fout opgetreden tijdens het opschonen van de afbeeldingopslagplaats."
"An error occurred while deleting URL Rewrite.","er is een fout opgetreden tijdens het verwijderen van URL Rewrite."
"An error occurred while deleting email template data. Please review log and try again.","Er is een fout opgetreden tijdens het verwijderen van e-mail sjabloondata. Bekijk de log en probeer opnieuw."
"An error occurred while deleting record(s).","Er is een fout opgetreden tijdens het verwijderen van data."
"An error occurred while deleting this role.","Er is een fout opgetreden tijdens het verwijderen van deze role."
"An error occurred while deleting this set.","Er is een fout opgetreden tijdens het verwijderen van deze set."
"An error occurred while deleting this template.","Er is een fout opgetreden tijdens het verwijderen van dit sjabloon."
"An error occurred while finishing process. Please refresh the cache","Er is een fout opgetreden tijdens het afsluiten. Ververs de opslagplaats."
"An error occurred while rebuilding the CatalogInventory Stock Status.","Er is een fout opgetreden tijdens het herbouwen van de CatalogInventory Stock Status."
"An error occurred while rebuilding the catalog index.","Er is een fout opgetreden tijdens het herbouwen van de catalogus index."
"An error occurred while rebuilding the flat catalog category.","Er is een fout opgetreden tijdens het herbouwen van de flat catalogus categorie."
"An error occurred while rebuilding the flat product catalog.","Er is een fout opgetreden tijdens het herbouwen van de flat product catalogus"
"An error occurred while rebuilding the search index.","Er is een fout opgetreden tijdens het herbouwen van de zoekindex."
"An error occurred while refreshing the Catalog Rewrites.","Er is een fout opgetreden tijdens het verversen van de Catalog Rewrites."
"An error occurred while refreshing the Layered Navigation indices.","Er is een fout opgetreden tijdens het verversen van de Layered Navigation indices."
"An error occurred while refreshing the catalog rewrites.","Een fout heeft zich voorgedaan tijdens het verversen van de catalogus."
"An error occurred while refreshing the layered navigation indices.","Een fout heeft zich voorgedaan tijdens het verversen van de gelaagde navigatie indexen."
"An error occurred while saving URL Rewrite.","Er is een fout opgetreden tijdens het opslaan van URL Rewrite"
"An error occurred while saving account.","Fout voorgekomen bij opslaan van account."
"An error occurred while saving review.","Er is een fout opgetreden tijdens het opslaan van de beoordeling."
"An error occurred while saving the customer.","Fout voorgekomen bij opslaan klant."
"An error occurred while saving this configuration:","Fout voorgekomen bij opslaan van deze configuratie:"
"An error occurred while saving this role.","Fout voorgekomen bij opslaan van deze rol."
"An error occurred while saving this template.","Fout voorgekomen bij opslaan van dit sjabloon."
"An error occurred while updating the selected review(s).","Fout voorgekomen bij het updaten van de geselecteerde beoordeling(en)."
"Any","Iedere"
"Any Attribute Set","Iedere attribuut set"
"Any Group","Iedere groep"
"Any Status","Iedere status"
"Any Store","Iedere winkel"
"Any Type","Ieder type"
"Any Visibility","Iedere zichtbaarheid"
"Any data created since the backup was made will be lost including admin users, customers and orders.","Alle data dat gecreëerd is sinds de backup is gemaakt zal verloren gaan inclusief admin gebruikers, klanten en orders."
"Archive file name:","Archiveer bestandsnaam:"
"Are you sure that you want to delete this template?","Weet je zeker dat je dit sjabloon wilt verwijderen?"
"Are you sure that you want to strip tags?","Weet je zeker dat je de tags wilt verwijderen?"
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
"Are you sure you want to proceed?","Weet u zeker dat u door wilt gaan?"
"Area","Gebied"
"As low as:","Zo laag als:"
"Assigned","Toegewezen"
"Associated Tags","Gerelateerde tags"
"Attribute Set Name:","Attribuut set naam:"
"Attributes","Attributen"
"Automatic","Automatisch"
"Average Order Amount","Gemiddeld Orderbedrag"
"Average Orders","Gemiddelde Orders"
"BINARY","BINAIR"
"Back","Terug"
"Back to Login","Terug naar Inloggen"
"Backup","Backup"
"Backup Name","Backup Naam"
"Backup options","Backup opties"
"Backups","Backups"
"Base currency","Basisvaluta"
"Bcc","Bcc"
"Bestsellers","Bestsellers"
"Billing Address","Facturatieadres"
"Billing Address: ","Factuuradres:"
"Billing Agreement","Facturatieovereenkomst:"
"Billing Agreements","Facturatieovereenkomsten:"
"Block Information","Blok Informatie"
"Both (without and with tax)","Beiden (zonder en met btw)"
"Both IPN and PDT","Zowel IPN als PDT"
"Browse Files...","Blader door Bestanden..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundel met dynamische prijzen kan geen op maat gedefinieerde opties bevatten. Opties zullen niet opgeslagen worden."
"CMS","CMS"
"CRITICAL","KRITIEK"
"CSV","CSV"
"CSV / Tab separated","CSV / Tabel gescheiden"
"Cache Control","Cache-controle"
"Cache Control (beta)","Cache-controle (beta)"
"Cache Management","Beheer cache"
"Cache Type","Cache-type"
"Cancel","Annuleren"
"Cannot add new comment.","Kan geen nieuw commentaar toevoegen."
"Cannot add tracking number.","Kan geen volgnummer toevoegen."
"Cannot create an invoice without products.","Kan geen factuur aanmaken zonder producten."
"Cannot create credit memo for the order.","Kan geen kredietnota voor de order aanmaken."
"Cannot delete the design change.","Kan de ontwerpverandering niet verwijderen."
"Cannot delete tracking number.","Kan volgnummer niet verwijderen."
"Cannot do shipment for the order separately from invoice.","Kan de verzending voor de bestelling niet los van de factuur doen."
"Cannot do shipment for the order.","Kan geen verzending van de bestelling doen."
"Cannot initialize shipment for adding tracking number.","Kan de verzending niet beginnen voor het toevoegen van volgnummer."
"Cannot initialize shipment for delete tracking number.","Kan de verzending niet beginnen voor het verwijderen van volgnummer."
"Cannot load track with retrieving identifier.","Kan het volgen niet laden met het ophalen van id."
"Cannot retrieve tracking number detail.","Kan detail van het volgnummer niet ophalen."
"Cannot save shipment.","Kan verzending niet opslaan."
"Cannot save the credit memo.","Kan kredietnota niet opslaan."
"Cannot send shipment information.","Kan verzendingsinformatie niet verzenden."
