" or ","of"
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' lijkt een DNS hostnaam te zijn maar kan geen TLD deel eruit halen."
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' lijkt een DNS hostnaam te zijn maar komt niet overeen met de TLD in de eigen bekende lijst."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' lijkt een DNS hostnaam te zijn maar kan niet overeenkomen met de hostnaam voor het TLD schema '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' lijkt een DNS hostnaam te zijn maar bevat een liggende streep op een ongeldige positie"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' lijkt een DNS hostnaam te zijn maar de gegeven punycode kan niet worden gedecodeerd"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' lijkt een lokale netwerk naam te zijn maar, lokale netwerk namen zijn niet toegestaan"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' lijkt een IP adres te zijn, maar IP adressen zijn niet toegestaan"
"'%value%' does not appear to be a valid local network name","'%value%' blijkt geen geldige lokale netwerk naam te zijn"
"* Required Fields","* Vereiste velden"
"ALL GROUPS","ALLE GROEPEN"
"Account Dashboard","Account dashboard"
"Account Information","Accountinformatie"
"Account Sharing Options","Account deelopties"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Account bevestiging is vereist. Controleert u uw e-mail voor de bevestigingslink. Om de bevestiging e-mail opnieuw te sturen <a href=""%s"">klik hier</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Account bevestiging is vereist. Controleert u uw e-mail voor de bevestigingslink. Om de bevestiging e-mail opnieuw te sturen <a href=""%s"">klik hier</a>."
"Action","Actie"
"Add New Address","Nieuw adres toevoegen"
"Add New Customer","Nieuwe klant toevoegen"
"Add New Customer Group","Nieuwe klantengroep toevoegen"
"Added From","Toegevoegd Vanuit"
"Additional Address Entries","Verdere adresregels"
"Address","Adres"
"Address Book","Adresboek"
"Address Books","Adresboeken"
"Address Information","Adresgegevens"
"Address Templates","Adrestemplates"
"Addresses","Adressen"
"Admin","Admin"
"All","Alles"
"All Store Views","Alle Winkelbezichtigingen"
"All countries","Alle landen"
"Always optional.","Altijd optioneel."
"Amount","Aantal"
"An error occurred while deleting the address.","Een fout heeft plaats gevonden tijdens het verwijderen van het adres."
"An error occurred while retrieving the option value: %s.","Er is een fout opgetreden bij het ophalen van de optie waarde: %s."
"An error occurred while saving the collection, aborting. Error: %s","Er is een fout opgetreden bij het opslaan van de collectie, afbreken. Fout: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Een ongeldige optie ID is gespecificeerd voor %s (%s), het record overslaan."
"Approved","Goed Gekeurd"
"Are you sure that you want to remove this item?","Weet u zeker dat u dit item wilt verwijderen?"
"Are you sure you want to cancel adding of this address?","Weet u zeker dat u het toevoegen van dit adres wilt annuleren?"
"Are you sure you want to delete this address?","Weet u zeker dat u dit adres wilt verwijderen?"
"Are you sure?","Weet u het zeker?"
"Array of Entity collections is expected.","Array van Entiteitencollecties wordt verwacht."
"Assign a Customer Group","Wijs een Klantgroep Toe"
"Average Sale","Gemiddelde Verkoop"
"Back","Terug"
"Back - link to the previously viewed page","Terug - link naar de hiervoor bekeken pagina"
"Back to Login","Terug naar Inloggen"
"Bad request.","Slecht verzoek."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Gebasseerd op het BTW nr., behoort de klant tot de Klanten Groep %s."
"Bill to Name","Bon op naam"
"Bought From","Gekocht van"
