"Express Checkout and Order have been canceled.","Afdrukken van de afrekening en bestelling is geannuleerd."
"Express Checkout has been canceled.","Afdrukken van de afrekeningen is geannuleerd."
"Fetch","Haal op"
"PayPal Express Checkout (Payflow Edition) Shortcut Wrapper","PayPal Express Checkout (Payflow Edition) Shortcut Wrapper"
"PayPal Express Checkout Token does not exist.","PayPal Express Afrekenen Teken bestaan niet."
"PayPal Express Order Review Form","PayPal Express Bestelling Terugzien Formulier"
"PayPal Settlement Reports","PayPal Overeenstemming Rapporten"
"Payment has been declined. Please try again.","Betaling is afgewezen. Probeer het alstublieft opnieuw."
"Pending PayPal","In afwachting van PayPal"
"Reports","Verslagen"
"Sales","Verkoop"
"Solo","Alleen"
"Switch/Maestro","Switch/Maestro"
"Unable to cancel Express Checkout.","Onmogelijk om Express Checkout te annuleren."
"Unable to initialize Express Checkout review.","Onmogelijk om Express Checkout terug te zien."
"Unable to place the order.","Kan bestelling niet plaatsen."
"Unable to process Express Checkout approval.","Niet mogelijk om Express Checkout door het validatie te halen."
"Unable to start Express Checkout.","Onmogelijk om Express Checkout te beginnen"
"Unable to update shipping method.","Niet in staat om de versturingsmethode de updaten."
"View","Bekijk"
"View Transaction","Transactie bekijken"
"Wrong PayPal Express Checkout Token specified.","Verkeerde PayPal Express Checkout Token gekozen."
"You will be redirected to the PayPal website in a few seconds.","U zult binnen enkele seconden naar de PayPal website worden geleid."
