"ALL","ALLE"
"ANY","ELKE"
"Add","Toevoegen"
"Apply","Toepassen"
"Conditions Combination","Voorwaarden Combinatie"
"Description: %s","Omschrijving: %s"
"End Date should be greater than Start Date","Einddatum moet groter zijn dan Startdatum"
"Expire at: %s","Verloopt op: %s"
"FALSE","VALS"
"If %s of these conditions are %s:","Als %s van deze conditions %s zijn:"
"Invalid discount amount.","Ongeldige hoeveelheid korting."
"MATCHING ALL","BIJ ALLES BEHOREND"
"MATCHING ANY","BIJ ELK BEHOREND"
"NOT MATCHING ALL","NIET BIJ ALLES BEHOREND"
"NOT MATCHING ANY","NIET BIJ ELK BEHOREND"
"Name: %s","Naam: %s"
"Open Chooser","Open Kiezer"
"Perform following actions","Voer volgende acties uit"
"Please choose a condition to add...","Kies een conditie om toe te voegen..."
"Please choose an action to add...","Kies een actie om toe te voegen..."
"Remove","Verwijderen"
"Start at: %s","Begin op: %s"
"TRUE","WAAR"
"by","door"
"contains","bevat"
"does not contain","Bevat niet"
"does not contains","Bevat niet"
"equals or greater than","Gelijk aan of minder dan"
"equals or less than","Gelijk aan of minder dan"
"for","voor"
"for greater than","indien groter dan"
"for or greater than","indien gelijk aan of groter dan"
"found","gevonden"
"from","van"
"greater than","groter dan"
"is","is"
"is not","is niet"
"is not one of","is niet een van de"
"is one of","is een van de"
"less than","minder dan"
"not found","niet gevonden"
"not from","niet van"
"to","naar"
"was","was"
"was not","was niet"
