"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - komt overeen met alles; 'xyz*' - komt overeen met alles dat begint met 'xyz' en niet langer dan %d."
"-- Please Select --","-- Selecteer alstublieft --"
"Add New Class","Voeg Nieuwe Klasse toe"
"Add New Tax Rate","Voeg Nieuwe BTW Waarde toe"
"Add New Tax Rule","Voeg Nieuwe BTW Regel toe"
"After Discount","Na Korting"
"An error occurred while deleting this rate.","Er is een fout opgetreden tijdens het verwijderen van dit tarief."
"An error occurred while deleting this rate. Incorrect rate ID.","Er is een fout opgetreden tijdens het verwijderen van dit tarief. Incorrecte ID van tarief."
"An error occurred while deleting this tax class.","Er is een fout opgetreden tijdens het verwijderen van deze BTW klasse."
"An error occurred while deleting this tax rule.","Er is een fout opgetreden tijdens het verwijderen van dit BTW tarief."
"An error occurred while saving this rate.","Er is een fout opgetreden tijdens het opslaan van dit tarief."
"An error occurred while saving this tax class.","Er is een fout opgetreden tijdens het opslaan van deze BTW klasse."
"An error occurred while saving this tax class. A class with the same name","Er heeft zich een fout voorgedaan bij het opslaan van deze belasting groep. A groep met dezelfde naam"
"An error occurred while saving this tax rule.","Er is een fout opgetreden tijdens het opslaan van deze BTW regel."
"Apply Customer Tax","Pas Klant BTW toe"
"Apply Discount On Prices","Pas Korting toe Op Prijzen"
"Apply Tax On","Pas BTW toe Op"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Korting op de prijs inclusief b.t.w. is berekend op basis van winkel belasting, wanneer Apple Belasting na Korting"" is geselecteerd."
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
"Back","Terug"
"Before Discount","Voor Korting"
"CSV","CSV"
"Calculation Settings","Berekeningsinstellingen"
"Catalog Prices","Catalogusprijzen"
"Class Name","Naam Klasse"
"Code","Code"
"Country","Land"
"County","Land"
"Custom price if available","Aangepaste prijs indien beschikbaar"
"Customer Tax Class","Klant BTW Klasse"
"Customer Tax Class Information","Klant Belastingklasse Informatie"
"Customer Tax Classes","Belastingtarieven klant"
"Default Country","Standaard Land"
"Default Post Code","Standaard Post Code"
"Default State","Standaard Staat"
"Default Tax Destination Calculation","Standaard Belastingbestemming Berekening"
"Delete Class","Verwijder Klasse"
"Delete Rate","Verwijder Tarief"
"Delete Rule","Verwijder Regel"
"Display Full Tax Summary","Laat Volledige Belastingsamenvatting zien"
"Display Prices","Laat Prijzen zien"
"Display Product Prices In Catalog","Laat Product Prijzen in Catalogus zien"
"Display Shipping Amount","Laat Verscheep Hoeveelheid zien"
"Display Shipping Prices","Laat Verscheep Prijs zien"
"Display Subtotal","Laat Subtotaal zien"
"Display Zero Tax Subtotal","Laat Geen Belasting Subtotaal zien"
"Edit Class","Pas Klasse aan"
"Edit Class '%s'","Pas Klasse '%s' aan"
"Edit Rule","Pas Regel aan"
"Edit Tax Rate","Pas Belastingtarief aan"
"Excel XML","Excel XML"
"Excl. Tax","Excl. BTW"
"Excl. Tax:","Excl. Belasting:"
"Excluding Tax","Exclusief Belasting"
"Export Tax Rates","Export Belasting Tarieven"
"Grand Total (Excl. Tax)","Totaal (Ex. Belasting)"
"Grand Total (Excl.Tax)","Algemeen Totaal (Excl. Belasting)"
"Grand Total (Incl. Tax)","Totaal (Incl. Belasting)"
"Grand Total (Incl.Tax)","Algemeen Totaal (Incl. Belasting)"
"Grand Total Excl. Tax","Algemeen Totaal Excl. Belasting"
"Grand Total Incl. Tax","Algemeen Totaal Incl. Belasting"
"Import / Export Tax Rates","Import / Export Belasting Tarieven"
"Import Tax Rates","Import Belasting Tarieven"
"Inc. Tax","Incl. Belasting"
"Incl. Tax","Incl. BTW"
"Incl. Tax:","Incl. Belasting:"
"Include Tax In Grand Total","Neem Belasting mee in Algemeen Totaal"
"Including Tax","Inclusief Belasting"
"Including and Excluding Tax","Inclusief en Exclusief Belasting"
"Invalid file format upload attempt","Ongeldig bestandsformaat upload poging"
"Invalid file upload attempt","Ongeldig bestand upload poging"
"Manage Customer Tax Classes","Manage Klant Belasting Klassen"
"Manage Product Tax Classes","Manage Product Belasting Klassen"
