"%s","%s"
"-- Please Select --","-- Selecteer alstublieft --"
"Actions","Acties"
"Add Layout Update","Voeg Update Layout toe"
"Add New Widget Instance","Voeg Nieuwe Widgets toe"
"All","Alles"
"All Pages","Alle pagina's"
"All Product Types","Alle Product Types"
"Anchor Categories","Anker Categorieën"
"Apply","Toepassen"
"Assign to Store Views","Wijs toe aan Store Views"
"Big Image","Grote Afbeelding"
"Block Reference","Block Referentie"
"CMS","CMS"
"Categories","Categoriën"
"Choose...","Kies..."
"Close","Sluiten"
"Continue","Doorgaan"
"Default Template","Vaststaand Sjabloon"
"Delete","Verwijderen"
"Design Package/Theme","Ontwerp Pakket/Thema"
"Export to:","Exporteer naar:"
"Frontend Properties","Front end Eigenschappen"
"Generic Pages","Generieke Pagina's"
"Images","Afbeeldingen"
"Insert Widget","Voeg Widget in"
"Insert Widget...","Voeg widget in..."
"Layout Updates","Lay-out Updates"
"Manage Widget Instances","Beheer Widget Gevallen"
"New Instance","Nieuw Voorbeeld"
"New Widget Instance","Nieuw Widget Voorbeeld"
"Next page","Volgende pagina"
"Non-Anchor Categories","Niet-Verankerde Categorieën"
"Not Selected","Niet Geselecteerd"
"Open Chooser","Open Kiezer"
"Page","Pagina"
"Please Select Block Reference First","Selecteer Alstublieft Eerst de Blokreferentie"
"Previous page","Vorige pagina"
"Products","Producten"
"Remove Layout Update","Verwijder Lay-out Update"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Select All","Selecteer Alles"
"Select Visible","Selecteer Zichtbaar"
"Settings","Instellingen"
"Sort Order","Sorteer Bestelling"
"Sort Order of widget instances in the same block reference","Sorteer Volgorde van widget instanties in dezelfde blokreferentie"
"Specific %s","Specifieke %s"
"Specified Page","Specifieke Pagina"
"Template","Sjabloon"
"The information in this tab has been changed.","De informatie in deze tab is veranderd."
"The widget instance has been deleted.","De widget instantie is verwijderd."
"The widget instance has been saved.","De widget instantie is opgeslagen."
"This tab contains invalid data. Please solve the problem before saving.","Deze tab bevat ongeldige data. Los alstublieft dit probleem op voor het opslaan."
"Thumbnail","Miniatuur"
"Total %d records found","In totaal %d verslagen gevonden."
"Type","Type"
"Undefined Design Package or Theme.","Ongedefinieerd Ontwerp Pakket of Thema."
"Unselect All","Deselecteer Alles"
"Unselect Visible","Deselecteer Zichtbaar"
"View","Bekijk"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Insertion","Widget Invoeging"
"Widget Instance","Widget instantie"
"Widget Instance Title","Widget instantie titel"
"Widget Options","Widget opties"
"Widget Type","Widget type"
"Widget Type is not specified","Widget type is niet gespecificeerd"
"Widget instance is not full complete to create.","Widget instantie is niet volledig compleet om het aan te maken"
"Widgets","Widgets"
"Wrong widget instance specified.","Verkeerd widget bijvoorbeeld gespecificeerd."
"items selected","geselecteerde artikelen"
"of %s pages","van %s pagina's"
"per page","per pagina"
