"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","Validação de Cartão 3D Secure"
"3D Secure Cardholder Validation","Validação de Portador de Cartão 3D Secure"
"3D Secure Electronic Commerce Indicator","Indicador de Comércio Eletrônico 3D Secure"
"3D Secure Verification Result","Resultado de Verificação 3D Secure"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Responsabilidade do Emissor do Cartão"
"Card Verification","Verificação de Cartão"
"Enrolled","Inscritos"
"Enrolled but Authentication Unavailable","Inscritos mas Autenticação Não Disponível"
"Failed","Falha"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Responsabilidade do Comerciante"
"Not Enrolled","Não Inscrito"
"Order cannot be placed.","Pedido não pode ser realizado."
"Payment information error. Please start over.","Erro de informações de pagamento. Por favor comece de novo."
"Please continue with placing order.","Por favor continuem com a colocação da ordem."
"Please verify the card with the issuer bank before placing the order.","Por favor verifique o cartão com o banco emissor antes de colocar a ordem."
"Please verify the card with the issuer bank:","Por favor verifique o cartão com o banco emissor:"
"Start/Reset Validation...","Iniciar/Reiniciar Validação..."
"Successful","Bem sucedido"
"Successful attempt","Tentativa bem sucedida"
"The card has failed verification with the issuer bank.","O cartão falhou a verificação com o banco emissor."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Houve informações de pagamento erradas apresentadas ou o prazo expirou. Por favor tente novamente."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Houve apresentação de informações erradas de pagamento ou prazo expirou. Por favor, tente novamente."
"This card has failed validation and cannot be used.","A validação do cartão falhou e ele não pode ser utilizado."
"To ensure the security of your transactions","Para garantir a segurança da sua transação"
"Unable to complete","Incapaz de completar"
"Validation failed.","Falha de validação."
"Verification Failed","Falha de Verificação"
"Verification Successful","Sucesso na Verificação"
"Verification cannot be processed","A verificação não pode ser processada"
"Verified by Visa","Verificado pela Visa"
