"1.5.0.0 & later","1.5.0.0 e posterior"
"Action","Ação"
"Add Author","Adicionar autor"
"Add Contents Path","Adicionar sequência de conteúdos"
"Add PHP Extension dependency","Adicionar dependência de Extensão PHP"
"Add Package dependency","Adicionar dependência de Pacote"
"Add files","Adicionar arquivos"
"Authors","Autores"
"Channel","Canal"
"Contents","Conteúdos"
"Create Extension Package","Criar pacote de expansão"
"Dependencies","Dependências"
"Description","Descrição"
"Edit Extension","Editar extensão"
"Email","E-mail"
"Extension","Extensão"
"Extensions","Extensões"
"Failed to create the package.","Ocorreu um erro ao tentar criar o pacote."
"Failed to load the package data.","Ocorreu um erro ao tentar carregar os dados do pacote."
"Failed to save the package.","Ocorreu um erro ao tentar salvar o pacote."
"Files","Arquivos"
"Folder","Pasta"
"Ignore","Ignorar"
"Include","Incluir"
"License","Licença"
"License URI","Licença de URI"
"Load Local Package","Carregar Pacote Local"
"Load local Package","Carregar Pacote Local"
"Magento Connect","Conexão Magento"
"Magento Connect Manager","Gerenciador de Conexão Magento"
"Max","Máximo"
"Maximum","Máximo"
"Min","Min"
"Minimum","Mínimo"
"Name","Nome"
"New Extension","Nova Extensão"
"PHP Version","Versão PHP"
"Package","Embalagem"
"Package Extensions","Extensões da Embalagem"
"Package File Name","Nome do Arquivo do Pacote"
"Package Info","Informação do Pacote"
"Packages","Embalagens"
"Path","Caminho"
"Pre-1.5.0.0","Pré-1.5.0.0"
"Release Info","Informação de Lançamento"
"Remove","Remover"
"Save As...","Salvar Como..."
"Save Data and Create Package","Salvar Dados e Criar Pacote"
"Save package with custom package file name","Salvar pacote com nome do arquivo de pacote personalizado"
"Summary","Sumário"
"Supported releases","Versões suportadas"
"System","Sistema"
"Target","Objetivo"
"The package %s data has been loaded.","Os dados do pacote %s foram carregados."
"The package data has been saved.","Os dados do pacote foram salvos."
"There was a problem saving package data","Houve um problema ao salvar dados do pacote"
"Type","Tipo"
"User","Usuário"
