"%s","%s"
"%s already exist.","%s já existe."
"%s already exists.","%s já existe."
"-- Please Select --","- Por Favor Selecione -"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Aviso!</strong> Ao usar CDN, em alguns casos JavaScript pode não funcionar corretamente se CDN não está na sua subdomínio"
"A category object is required for determining the product request path.","Um objeto da categoria é necessário para determinar o caminho de solicitação do produto."
"Add Block Names to Hints","Adicione Nomes Bloqueados a Dicas"
"Add Secret Key to URLs","Adicione Chave Secreta a URLs"
"Add Store Code to Urls","Adicione Código de Loja a URLs"
"Admin","Admin"
"Admin Base URL","Base de Administração URL"
"Admin User Emails","E-mails do Usuário Administrador"
"Advanced","Avançado"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Depois de selecionar um novo local de armazenamento de mídia, pressione o botão Sincronizar
para transferir todos os mídia para esse local. Os mídia não estarão disponíveis no novo
local até que o processo de sincronização esteja completo."
"Allow Countries","Permitir Países"
"Allow Symlinks","Permitir Symlinks"
"Allowed IPs (comma separated)","IPs Permitidos (separados por vírgula)"
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","Tipos de arquivo permitidos: ICO, PNG, GIF, JPEG, APNG, SVG. Nem todos os navegadores suportam todos esses formatos!"
"Allows customers to stay logged in when switching between different stores.","Permite que os clientes permaneçam ligados enquanto alternam entre diferentes lojas."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Texto alternativo para próximo link no menu de paginação. Se vazio, imagem de seta padrão será usada."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Texto alternativo para link anterior no menu de paginação. Se vazio, imagem de seta padrão será usada."
"An error occurred while saving. Please review the error log.","Ocorreu um erro ao salvar. Por favor analise o registro de erro."
"Anchor Text for Next","Texto Âncora para Seguinte"
"Anchor Text for Previous","Texto Âncora para Anterior"
"Anchor symbol (#) is not supported in request path","Símbolo âncora (#) não é suportado no caminho pedido"
"Anchor symbol (#) is not supported in url rewrite suffix","Símbolo âncora (#) não é suportado no sufixo url reescrito"
"Are you sure?","Tem certeza?"
"Auto-redirect to Base URL","Auto-redirecionado para URL Base"
"Back","Voltar"
"Backup Options","Opções de Backup"
"Base JavaScript URL","URL JavaScript Base"
"Base Link URL","Link URL de Base"
"Base Media URL","URL Mídia Base"
"Base Skin URL","URL Skin Base"
"Base URL","URL Base"
"Before modifying the store view code please make sure that it is not used in index.php.","Antes de modificar o código de exibição da loja certifique-se que não é usado em index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Antes de modificar o código do site por favor certifique-se que não é usado em index.php."
"Block with name ""%s"" already exists","Bloco com o nome ""%s"" já existe"
"Browser Capabilities Detection","Deteção de Capacidades do Navegador"
"CSS Settings","Configurações CSS"
"Cache Storage Management","Gerenciamento de Armazenamento de Cache"
"Cache storage may contain additional data. Are you sure that you want flush it?","Armazenamento na cache pode conter dados adicionais. Tem certeza de que deseja eliminá-lo?"
"Can not create invoice. Order was not found.","Não é possível criar fatura. Ordem não foi encontrada."
"Can't retrieve request object","Não é possível recuperar objeto do pedido"
"Can\'t retrieve entity config: %s","Não é possível recuperar configuração da entidade: %s"
"Cancel","Cancelar"
"Cannot complete this operation from non-admin area.","Não é possível concluir esta operação de área não administrativa."
"Card type does not match credit card number.","Tipo de cartão não corresponde ao número de cartão de crédito."
"Code","Código"
"Controller file was loaded but class does not exist","Controlador de arquivo foi carregado mas a classe não existe"
"Cookie Domain","Domínio de cookie"
"Cookie Lifetime","Duração de cookie"
"Cookie Path","Caminho de cookie"
"Copyright","Direitos autorais"
"Countries Options","Opções de países"
"Create Store","Criar loja"
"Create Store View","Criar visualização de loja"
"Create Website","Criar site"
"Credit card number does not match credit card type.","O número do cartão de crédito não é compatível com o tipo de cartão de crédito."
"Current Package Name","Nome do pacote atual"
"Custom Admin Path","Caminho personalizado de administração"
"Custom Design","Personalizar Design"
"Custom Email 1","E-mail personalizado 1"
"Custom Email 2","E-mail personalizado 2"
"Custom Variables","Variáveis de Personalização."
"Customer Support","Suporte personalizado"
"Dashboard","Painel"
"Date From","Data Inicial"
"Date To","Data Final"
"Date/time format ""%s"" is not supported.","O formato de data/hora ""%s"" não é suportado."
"Debug","Debug"
"Default","Predefinido"
"Default Country","País padrão"
"Default Description","Descrição padrão"
"Default Keywords","Palavras-chave padrão"
"Default No-route URL","URL sem rota padrão"
"Default Pages","Páginas padrão"
"Default Robots","Robots padrão"
"Default Store","Loja padrão"
"Default Store View","Visualização padrão de loja"
"Default Title","Título padrão"
"Default Web URL","URL padrão de rede"
"Delete","Excluir"
"Delete Store","Apagar Loja"
"Delete Store View","Apagar Visão de Loja"
"Delete Website","Apagar Site Web"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Excluir um(a) %1$s não excluirá as informações associadas com o(a) %1$s (ex. categorias, produtos, etc.), mas o(a) %1$s não poderá ser reestabelecido. É aconselhavel criar uma base de dados de backup antes de excluir o(a) %1$s."
"Design","Design"
"Design Change","Alteração de design"
"Developer","Programador"
"Developer Client Restrictions","Restrições de cliente de programador"
"Disable Email Communications","Desativar comunicações de e-mail"
"Disable Modules Output","Desativar saída de módulos"
"Display Demo Store Notice","Exibir demonstração de aviso de loja"
"Duplicate Of Template Name","Nome de duplicata de modelo"
"Edit Design Change","Editar alteração de design"
"Edit Store","Editar loja"
"Edit Store View","Editar visualização de loja"
"Edit Website","Editar site"
