"Authorization","Autorização"
"Card Verification Number","Número de Verificação do Cartão"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo de Cartão de Crédito"
"Credit Card Type: %s","Tipo de Cartão de Crédito: %s"
"Credit Card Types","Tipos de Cartão de Crédito"
"Credit Card Verification","Verificação de Cartão de Crédito"
"Cybersource (SOAP Toolkit)","Cybersource (kit de ferramentas SOAP)"
"Debug","Debug"
"Enabled","Ativado"
"Error in refunding the payment.","Erro na devolução do pagamento."
"Expiration Date","Data de Validade"
"Gateway request error: %s","Erro de solicitação de gateway: %s"
"Invalid transaction id or token","Identificação da transação ou sinal inválido"
"Issue Number","Número de Emissão"
"JCB","JCB"
"Laser","Laser"
"Maestro (International)","Maestro (Internacional)"
"Maestro/Solo(UK Domestic)","Maestro/Solo (Uso doméstico no Reino Unido)"
"Merchant ID","Identificação do comerciante"
"Name on Card","Nome no Cartão"
"Name on the Card: %s","Nome no Cartão: %s"
"New Order Status","Status do Novo Pedido"
"Payment Action","Ação de Pagamento"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"SOAP extension is not enabled. Please contact us.","Extensão SOAP não está ativada. Por favor entre em contato conosco."
"Sale","Venda"
"Security Key","Chave de Segurança"
"Sort Order","Classificar pedido"
"Start Date","Data de início"
"Switch/Solo/Maestro(UK Domestic) Only","Somente Swith/Solo/Maestro (nacional do RU)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Número de emissão do cartão Swith/Solo/Maestro (nacional do RU): %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Data inicial do cartão Swith/Solo/Maestro (nacional do RU): %s/%s"
"Test Mode","Modo de Teste"
"There is an error in processing the payment. Please try again or contact us.","Há um erro no processamento do pagamento. Por favor tente novamente ou entre em contato conosco."
"Title","Título"
"UATP","UATP"
"What is this?","O que é isso?"
"Year","Ano"
