"AUTHENTICATE","AUTENTICAR"
"An error has occurred","Ocorreu um erro"
"Click <a href=""%s"">here</a> to continue shopping.","Clique <a href=""%s"">aqui</a> para continuar as compras."
"Customer was redirected to Protx","O cliente foi redirecionado para o Protx"
"DEFERRED","DIFERIDO"
"Debug","Debug"
"Enabled","Ativado"
"General contact email will be used if left empty.","O e-mail de contato geral será utilizado, caso seja deixado em branco."
"Live","Ao Vivo"
"Mode","Modo"
"New Order Status","Status do Novo Pedido"
"Order total amount does not match protx gross total amount","O valor total do pedido não é compatível com o valor bruto total do protx"
"PAYMENT","PAGAMENTO"
"Payment Action","Ação de Pagamento"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"Protx Standard","Padrão Protx"
"Simulator","Simulador"
"Sort Order","Classificar pedido"
"Store name will be used if left empty.","Nome da loja será usado se deixado vazio."
"Test","Teste"
"The customer has returned from Protx.","O cliente retornou do Protx."
"The order %s was canceled by the customer.","O pedido %s foi cancelado pelo cliente."
"Title","Título"
"Transaction Description","Descrição da Transação"
"Vendor Email","Email do Vendedor"
"Vendor Email Notification","Notificação de Email do Vendedor"
"Vendor Encrypted Password","Senha Encriptada do Vendedor"
"Vendor Name","Nome do Vendedor"
"You will be redirected to protx in a few seconds.","Você será redirecionado para protx em poucos segundos."
"You will be redirected to the Protx website when you place an order.","Você será redirecionado para o site Protx quando você colocar uma ordem."
