"%s - Discounts and Coupons","%s - Descontos e cupons"
"%s - Special Products","%s - Produtos especiais"
"%s RSS Feed","%s RSS Feed"
"%s has reached a quantity of %s.","%s atingiu a quantia de %s."
"%s\'s Wishlist","Lista de presente de %s\"
"Cannot retrieve the wishlist","Não é possível recuperar a lista de presente"
"Catalog","Catálogo"
"Category Feeds","Feeds da categoria"
"Click for price","Clique para o preço"
"Comment: %s<br/>","Comentário: %s<br/>"
"Coupons/Discounts","Cupons/Descontos"
"Current Status: %s<br/>","Status atual: %s<br>"
"Customer Name: %s","Nome do cliente: %s"
"Customer Order Status Notification","Notificação de status do pedido do cliente"
"Details for %s #%s","Detalhes para %s #%s"
"Discount","Desconto"
"Discount (%s)","Desconto (%s)"
"Enable RSS","Habilitar RSS"
"Error in processing xml. %s","Erro ao processar xml. %s"
"From:","De:"
"Get Feed","Receber Feed"
"Gift Message","Mensagem de presente"
"Grand Total","Total geral"
"Low Stock Products","Produtos com estoque reduzido"
"Message:","Mensagem:"
"Miscellaneous Feeds","Feeds diversos"
"New Orders","Novos pedidos"
"New Products","Novos Produtos"
"New Products from %s","Novos produtos de %s"
"Notified Date: %s<br/>","Data de notificação:  %s<br/>"
"Order # %s Notification(s)","Notificação(ões) de pedido(s) # %s"
"Order #%s created at %s","Pedido #%s criado em %s"
"Pending product review(s)","Esperando avaliação(ões) do produto"
"Product: ""%s"" review By: %s","Produto: ""%s"" avaliado Por: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produto: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produtos marcados com %s"
"Purchased From: %s","Comprado de: %s"
"RSS","RSS"
"RSS Feeds","RSS Feeds"
"RSS Feeds List","Lista de RSS Feeds"
"RSS Feeds Section","Seção de Feeds RSS"
"Review: %s <br/>","Avaliação: %s <br/>"
"Rss Config","Configuração de RSS"
"Shipping &amp; Handling","Transporte &amp; Manuseio"
"Special Products","Produtos especiais"
"Store: %s <br/>","Loja: %s <br/>"
"Subtotal","Subtotal"
"Summary of review: %s <br/>","Resumo de avaliação: %s <br/>"
"Tags Products","Produtos com marcas"
"Tax","Taxas"
"There are no Rss Feeds","Não há Rss Feeds"
"To:","Para:"
"Top Level Category","Categoria de nível máximo"
"Total: %s<br/>","Total: %s<br/>"
"Wishlist","Lista de presentes"
"click <a href=""%s"">here</a> to view the review","clique <a href=""%s"">aqui</a> para visualizar a análise"
