"""%s"" coupon code is not valid.","""%s"" o código do cupom não é válido"
"%s","%s"
"%s / %s rate:","%s / %s preço:"
"%s for %s","%s por %s"
"%s order(s) cannot be canceled","%s pedido(s) não pode ser cancelado"
"%s order(s) have been canceled.","%s ordens foram canceladas."
"%s order(s) have been put on hold.","%s ordens foram colocadas em espera."
"%s order(s) have been released from holding status.","%s ordens foram liberadas do estado de espera."
"%s order(s) were not put on hold.","%s pedido(s) não foi colocado em espera"
"%s order(s) were not released from holding status.","%s pedido(s) não foi tirado do estado de espera"
"* - Enter custom price excluding tax","* - Insira preço personalizado sem imposto"
"* - Enter custom price including tax","* - Insira preço personalizado com imposto"
"-- Please Select --","- Por Favor Selecione -"
"-- Please Select Billing Agreement--","-- Por Favor, Escolha o Acordo de Cobrança--"
"About This Order:","Sobre Este Pedido:"
"About This Profile:","Sobre Este Perfil:"
"About Your Invoice","Sobre Sua Fatura"
"About Your Order","Sobre Seu Pedido"
"About Your Refund","Sobre Sua Restituição"
"About Your Shipment","Sobre Seu Pagamento"
"Accept Payment","Pagamento Aceito"
"Accept or Deny Payment","Aceitar ou Recusar Pagamento"
"Account Information","Informações da Conta"
"Action","Ação"
"Actions","Ações"
"Activate","Ativar"
"Active","Ativo"
"Add","Adicionar"
"Add New Address","Adicionar Novo Endereço"
"Add Order Comments","Adicionar Comentários ao Pedido"
"Add Package","Adicionar Pacote"
"Add Products","Adicionar produtos"
"Add Selected Product(s) to Option","Adicionar Produto(s) Selecionado para Opção"
"Add Selected Product(s) to Order","Adicionar Produto(s) Selecionado ao Pedido"
"Add Selected Product(s) to Package","Adicionar Produto(s) Selecionado ao Pacote"
"Add To Order","Adicionar ao Pedido"
"Add Tracking Number","Adicionar Número de Rastreio"
"Add comment to order","Adicionar comentário ao pedido"
"Add new comment to credit memo","Adicionar novo comentário a memorando de crédito"
"Add new comment to shipment","Adicionar novo comentário para pagamento"
"Add new tracking number","Adicionar novo número de rastreio"
"Add to Cart","Adicionar ao carrinho"
"Additional Product Info","Informação Adicional do Produto"
"Address","Endereço"
"Address model is not defined.","Modelo de endereço não definido"
"Adjustment Fee","Taxa de ajustamento"
"Adjustment Refund","Restituição de ajustamento"
"Agreement Information","Informações do acordo"
"Allow Reorder","Permitir rearranjo"
"Amount","Valor"
"Amount: %s.","Total: %s."
"An error occurred while assigning order status. Status has not been assigned.","Ocorreu um erro ao atribuir status da ordem. Status não foi atribuído."
"An error occurred while creating shipping label.","Ocorreu um erro ao criar etiqueta de remessa."
"An error occurred while saving order status. The status has not been added.","Ocorreu um erro ao salvar o estado da encomenda. O status não foi adicionado."
