"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Regras de Preço de Carrinho de Compras baseado em atributo ""%s"" ter sido desativado."
"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar nova regra"
"Apply","Solicitar"
"Apply To","Aplicar a"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra apenas se as seguintes condições forem atendidas (deixe em branco para todos os produtos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar a regra apenas para itens do carrinho correspondendo às seguintes condições (deixe em branco para todos os itens)"
"Apply the rule to cart items matching the following conditions","Aplicar a regra para itens do carrinho correspondendo às seguintes condições"
"Apply to Shipping Amount","Aplicar a Valor de Envio"
"Auto","Auto"
"Buy X get Y free (discount amount is Y)","Compre X obtenha Y grátis (valor do desconto é Y)"
"By Fixed Amount","Por Quantia Fixa"
"By Fixed value","Por Valor Fixo"
"By Percentage","Por Percentagem"
"By Percentage of the Original Price","Por Percentagem do Preço Original"
"Can\'t acquire coupon.","Não é possível adquirir cupons."
"Cart Attribute","Atributo do Carrinho"
"Catalog","Catálogo"
"Conditions","Condições"
"Conditions combination","Combinação de Condições"
"Coupon","Cupom"
"Coupon Code","Código do cupom"
"Customer Groups","Grupos do cliente"
"Customer is new buyer: %s","Cliente é novo comprador: %s"
"Customer registered: %s","Cliente registrado: %s"
"Date Expire","Vencimento"
"Date Start","Data Inicial"
"Default Label","Etiqueta padrão"
"Default Rule Label for All Store Views","Etiqueta de regra padrão para todas as visualizações da loja"
"Delete Rule","Apagar Regra"
"Description","Descrição"
"Description: %s","Descrição: %s"
"Discount Amount","Quantia de Desconto"
"Discount Qty Step (Buy X)","Etapa de Desconto por Quantidade (Comprar X)"
"Edit Rule","Editar regra"
"Edit Rule '%s'","Editar regra ""s%"""
"Expire at: %s","Vence em: %s"
"FOUND","ENCONTRADO"
"Fixed amount discount","Valor de desconto fixo"
"Fixed amount discount for whole cart","Valor de desconto fixo para todo o carrinho"
"For matching items only","Apenas para itens correspondentes"
"For shipment with matching items","Para o envio de itens correspondentes"
"Free Shipping","Frete Grátis"
"From Date","A Partir da Data"
"General Information","Informações gerais"
"ID","Identidade"
"Inactive","Inativo"
"Item totals are not set for rule.","Os totais dos itens não são configurados via de regra."
"Labels","Etiquetas"
"Maximum Qty Discount is Applied To","A Quantidade Máxima de Desconto é Aplicada A"
"NOT FOUND","NÃO ENCONTRADO"
"NOT LOGGED IN","NÃO LIGADO"
"Name: %s","Nome: %s"
"New Rule","Nova Regra"
"No","Não"
"No Coupon","Sem Cupom"
"Number of Uses","Número de Usuários"
"Payment Method","Método de Pagamento"
"Percent of product price discount","Porcentagem do desconto sobre o preço do produto"
"Period","Período"
"Price in cart","Preço no carrinho"
"Priority","Prioridade"
"Product attribute combination","Combinação de atributos do produto"
"Products subselection","Sub-seleção de produtos"
"Promotions","Promoções"
"Public In RSS Feed","Público No Feed RSS"
"Quantity in cart","Quantidade no carrinho"
"Row total in cart","Total de linhas no carrinho"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Sales Discount Amount","Valor do Desconto de Venda"
"Sales Subtotal Amount","Subtotal do Valor de Vendas"
"Sales Total Amount","Total do Valor de Vendas"
"Save Rule","Salvar Regra"
"Save and Continue Edit","Salvar e continuar a editar"
"Shipping Country","País de Envio"
"Shipping Method","Tipo de Frete"
"Shipping Postcode","Código Postal de Envio"
"Shipping Region","Região de Envio"
"Shipping State/Province","Estado/Província de Envio"
"Shopping Cart Price Rule","Regra de Preço de Carrinho de Compras"
"Shopping Cart Price Rules","Regras de Preços de Carrinho de Compras"
"Special Price","Preço Especial"
"Specific Coupon","Cupom Específico"
"Start at: %s","Iniciar em: %s"
"Status","Status"
"Stop Further Rules Processing","Parar Outras Regras de Processamento"
"Store View Specific Labels","Vista das Marcas Específicas da Loja"
"Subtotal","Subtotal"
"Subtotal Amount","Valor Subtotal"
"The rule has been deleted.","A regra foi apagada."
"The rule has been saved.","A regra foi salva."
"This rule no longer exists.","Essa regra não existe mais."
"To Date","Até a Data Atual"
"To Fixed Amount","Para um Valor Fixo"
"To Fixed Value","Para Valor Fixo"
"To Percentage","Para Percentagem"
"To Percentage of the Original Price","Para uma Porcentagem do Preço Original"
"Total","Total"
"Total Amount","Valor Total"
"Total Items Quantity","Quantidade total de itens"
"Total Weight","Peso Total"
"Unable to find a rule to delete.","Incapaz de encontrar uma regra para excluir."
"Update Prices Using the Following Information","Atualizar preços usando as seguintes informações"
"Update prices using the following information","Atualizar preços usando as seguintes informações"
"Update product's %s %s: %s","Atualização dos produtos %s %s: %s"
"Update the Product","Atualizar o Produto"
"Uses per Coupon","Uso por cupom"
"Uses per Customer","Uso por cliente"
"Wrong rule specified.","Especificação de regra incorreta."
"Yes","Sim"
